Date,Hospital_Loc,Senior_Loc,Home,Unknown_Loc
2020-03-18,0,2,0,0
2020-03-19,0,2,0,0
2020-03-20,0,3,0,0
2020-03-21,0,4,0,0
2020-03-22,0,4,0,0
2020-03-23,0,4,2,0
2020-03-24,1,4,3,0
2020-03-25,4,7,4,0
2020-03-26,4,9,8,1
2020-03-27,6,10,9,1
2020-03-28,11,13,11,2
2020-03-29,17,13,14,3
2020-03-30,23,14,19,4
2020-03-31,31,15,21,7
2020-04-01,39,16,22,8
2020-04-02,53,18,24,12
2020-04-03,68,24,29,17
2020-04-04,89,33,31,24
2020-04-05,108,41,34,30
2020-04-06,136,47,38,36
2020-04-07,160,53,43,41
2020-04-08,185,59,52,44
2020-04-09,218,63,61,48
2020-04-10,254,72,67,60
2020-04-11,300,78,70,68
2020-04-12,355,89,75,76
2020-04-13,409,103,85,78
2020-04-14,459,117,94,85
2020-04-15,514,129,105,93
2020-04-16,573,140,110,98
2020-04-17,616,152,118,103
2020-04-18,673,160,124,106
2020-04-19,750,175,130,114
2020-04-20,811,185,134,118
2020-04-21,873,194,138,127
2020-04-22,929,208,150,137
2020-04-23,989,224,156,143
2020-04-24,1041,231,164,161
2020-04-25,1100,251,174,167
2020-04-26,1144,261,184,175
2020-04-27,1196,279,188,185
2020-04-28,1254,294,192,197
2020-04-29,1309,311,206,207
2020-04-30,1346,320,214,219
2020-05-01,1356,325,215,222
