date,ch,chsld,home,intermediate_resource,psr,other,unknown,total
2020-04-30,73,797,99,17,119,8,33,1146
2020-05-01,83,871,104,17,128,9,33,1245
2020-05-02,97,947,117,19,143,11,31,1365
2020-05-03,96,979,119,21,157,11,27,1410
2020-05-04,106,1038,124,21,166,11,22,1488
2020-05-05,111,1088,131,21,178,11,22,1562
2020-05-06,112,1173,134,22,189,12,24,1666
2020-05-07,116,1215,138,24,197,15,22,1727
2020-05-08,127,1245,142,26,201,15,4,1760
2020-05-09,135,1320,148,26,214,16,4,1863
2020-05-10,143,1354,151,28,222,16,5,1919
2020-05-11,156,1404,154,29,238,16,6,2003
2020-05-12,157,1454,158,29,241,18,6,2063
2020-05-13,161,1523,162,29,254,18,7,2154
2020-05-14,162,1542,164,29,257,20,8,2182
2020-05-15,163,1576,166,30,271,20,8,2234
2020-05-16,170,1602,167,33,277,20,7,2276
2020-05-17,170,1612,172,34,279,22,7,2296
2020-05-18,166,1631,179,35,279,26,7,2323
2020-05-19,169,1666,181,36,282,26,7,2367
2020-05-20,171,1702,184,37,284,26,7,2411
