"Date de décès","CHSLD","RPA","Domicile","RI, Autre et Inconnu"
"2020-03-18 00:00:00",1,2,0,0
"2020-03-19 00:00:00",1,2,0,0
"2020-03-20 00:00:00",1,3,0,0
"2020-03-21 00:00:00",1,4,0,0
"2020-03-22 00:00:00",1,4,0,0
"2020-03-23 00:00:00",1,4,2,0
"2020-03-24 00:00:00",2,4,3,0
"2020-03-25 00:00:00",5,7,3,1
"2020-03-26 00:00:00",5,9,7,2
"2020-03-27 00:00:00",7,10,8,2
"2020-03-28 00:00:00",14,13,10,2
"2020-03-29 00:00:00",19,14,13,2
"2020-03-30 00:00:00",26,15,17,2
"2020-03-31 00:00:00",38,16,19,3
"2020-04-01 00:00:00",48,17,20,3
"2020-04-02 00:00:00",66,20,24,4
"2020-04-03 00:00:00",85,27,29,5
"2020-04-04 00:00:00",115,37,32,8
"2020-04-05 00:00:00",144,45,34,10
"2020-04-06 00:00:00",178,51,38,11
"2020-04-07 00:00:00",216,57,43,11
"2020-04-08 00:00:00",251,64,52,12
"2020-04-09 00:00:00",296,70,61,15
"2020-04-10 00:00:00",344,79,66,18
"2020-04-11 00:00:00",396,86,69,23
"2020-04-12 00:00:00",464,97,74,28
"2020-04-13 00:00:00",525,114,84,29
"2020-04-14 00:00:00",583,132,94,32
"2020-04-15 00:00:00",650,148,107,35
"2020-04-16 00:00:00",721,161,112,36
"2020-04-17 00:00:00",774,172,120,40
"2020-04-18 00:00:00",840,182,127,41
"2020-04-19 00:00:00",933,200,133,44
"2020-04-20 00:00:00",1010,212,137,47
"2020-04-21 00:00:00",1098,224,141,50
"2020-04-22 00:00:00",1175,238,155,53
"2020-04-23 00:00:00",1255,256,161,56
"2020-04-24 00:00:00",1329,271,172,60
"2020-04-25 00:00:00",1404,293,183,61
"2020-04-26 00:00:00",1476,305,194,62
"2020-04-27 00:00:00",1544,324,199,67
"2020-04-28 00:00:00",1622,343,208,74
"2020-04-29 00:00:00",1705,367,226,79
"2020-04-30 00:00:00",1775,389,240,86
"2020-05-01 00:00:00",1849,413,247,90
"2020-05-02 00:00:00",1916,436,252,95
"2020-05-03 00:00:00",1972,459,260,100
"2020-05-04 00:00:00",2036,478,272,102
"2020-05-05 00:00:00",2088,500,278,107
"2020-05-06 00:00:00",2137,522,279,113
"2020-05-07 00:00:00",2184,547,290,118
"2020-05-08 00:00:00",2236,559,294,120
"2020-05-09 00:00:00",2280,580,305,126
"2020-05-10 00:00:00",2333,597,308,130
"2020-05-11 00:00:00",2379,612,316,134
"2020-05-12 00:00:00",2421,626,322,139
"2020-05-13 00:00:00",2450,635,326,140
"2020-05-14 00:00:00",2488,650,331,141
"2020-05-15 00:00:00",2530,664,336,146
"2020-05-16 00:00:00",2570,671,343,154
"2020-05-17 00:00:00",2606,677,352,159
"2020-05-18 00:00:00",2643,686,357,161
"2020-05-19 00:00:00",2673,694,366,162
"2020-05-20 00:00:00",2708,698,370,167
"2020-05-21 00:00:00",2734,707,373,170
"2020-05-22 00:00:00",2757,715,380,172
"2020-05-23 00:00:00",2775,719,381,175
"2020-05-24 00:00:00",2782,722,382,176
