date,recovered_qc
2020-06-05,18412
2020-06-06,18714
2020-06-07,18994
2020-06-08,19361
2020-06-09,19841
2020-06-10,20299
2020-06-11,20823
2020-06-12,21281
2020-06-13,21742
2020-06-14,22213
2020-06-15,22350
2020-06-16,22549
2020-06-17,22754
2020-06-18,22972
2020-06-19,23201
2020-06-20,23322
2020-06-21,23506
2020-06-22,23620
2020-06-23,23710
2020-06-24,23786
2020-06-25,na
2020-06-26,na
2020-06-27,na
2020-06-28,24602
2020-06-29,24798
2020-06-30,24949
2020-07-01,25034
2020-07-02,25158
2020-07-03,25280
2020-07-04,25346
2020-07-05,25378
2020-07-06,25458
2020-07-07,25534
2020-07-08,25616
2020-07-09,25675
2020-07-10,25773
2020-07-11,25862
2020-07-12,25911
2020-07-13,26025
2020-07-14,27773
2020-07-15,26253
2020-07-16,49939
2020-07-17,50027
2020-07-18,50050
2020-07-19,50190
2020-07-20,50298
2020-07-21,50373
2020-07-22,50505
2020-07-23,50615
2020-07-24,50703
2020-07-25,50812
2020-07-26,50886
2020-07-27,50886
2020-07-28,50886
