"Date de décès","CHSLD","RPA","Domicile","RI, Autre et Inconnu"
"2020-03-18 00:00:00",1,2,0,0
"2020-03-19 00:00:00",1,2,0,0
"2020-03-20 00:00:00",1,3,0,0
"2020-03-21 00:00:00",1,4,0,0
"2020-03-22 00:00:00",1,4,0,0
"2020-03-23 00:00:00",1,4,2,0
"2020-03-24 00:00:00",2,4,3,0
"2020-03-25 00:00:00",5,7,3,1
"2020-03-26 00:00:00",5,9,7,2
"2020-03-27 00:00:00",7,10,8,2
"2020-03-28 00:00:00",14,13,10,2
"2020-03-29 00:00:00",19,14,13,2
"2020-03-30 00:00:00",26,15,17,2
"2020-03-31 00:00:00",38,16,19,3
"2020-04-01 00:00:00",49,17,20,3
"2020-04-02 00:00:00",67,20,24,4
"2020-04-03 00:00:00",87,27,29,5
"2020-04-04 00:00:00",117,37,32,8
"2020-04-05 00:00:00",146,46,34,10
"2020-04-06 00:00:00",181,53,38,11
"2020-04-07 00:00:00",223,59,43,12
"2020-04-08 00:00:00",262,66,52,12
"2020-04-09 00:00:00",308,72,61,15
"2020-04-10 00:00:00",358,82,66,16
"2020-04-11 00:00:00",411,90,69,21
"2020-04-12 00:00:00",482,103,74,24
"2020-04-13 00:00:00",546,119,84,26
"2020-04-14 00:00:00",608,137,93,28
"2020-04-15 00:00:00",674,153,106,31
"2020-04-16 00:00:00",749,167,111,32
"2020-04-17 00:00:00",804,180,119,37
"2020-04-18 00:00:00",872,192,126,38
"2020-04-19 00:00:00",969,212,132,40
"2020-04-20 00:00:00",1052,225,136,43
"2020-04-21 00:00:00",1144,239,140,46
"2020-04-22 00:00:00",1226,254,154,50
"2020-04-23 00:00:00",1309,275,161,54
"2020-04-24 00:00:00",1390,292,172,58
"2020-04-25 00:00:00",1473,316,182,59
"2020-04-26 00:00:00",1557,329,193,60
"2020-04-27 00:00:00",1639,348,198,68
"2020-04-28 00:00:00",1729,373,209,73
"2020-04-29 00:00:00",1822,401,226,81
"2020-04-30 00:00:00",1903,422,241,90
"2020-05-01 00:00:00",1991,446,249,96
"2020-05-02 00:00:00",2063,475,254,102
"2020-05-03 00:00:00",2127,495,262,109
"2020-05-04 00:00:00",2200,514,275,114
"2020-05-05 00:00:00",2258,540,283,118
"2020-05-06 00:00:00",2315,565,284,125
"2020-05-07 00:00:00",2371,590,296,131
"2020-05-08 00:00:00",2437,604,301,132
"2020-05-09 00:00:00",2492,628,312,138
"2020-05-10 00:00:00",2555,646,317,144
"2020-05-11 00:00:00",2609,666,325,149
"2020-05-12 00:00:00",2657,683,332,156
"2020-05-13 00:00:00",2697,693,336,159
"2020-05-14 00:00:00",2749,713,342,160
"2020-05-15 00:00:00",2801,732,347,165
"2020-05-16 00:00:00",2850,741,355,172
"2020-05-17 00:00:00",2891,748,365,177
"2020-05-18 00:00:00",2931,759,370,181
"2020-05-19 00:00:00",2969,770,379,182
"2020-05-20 00:00:00",3016,777,384,190
"2020-05-21 00:00:00",3048,787,387,196
"2020-05-22 00:00:00",3093,799,396,199
"2020-05-23 00:00:00",3139,807,397,202
"2020-05-24 00:00:00",3176,817,405,205
"2020-05-25 00:00:00",3214,827,410,207
"2020-05-26 00:00:00",3256,837,417,209
"2020-05-27 00:00:00",3284,848,423,213
"2020-05-28 00:00:00",3336,858,430,217
"2020-05-29 00:00:00",3384,863,435,217
"2020-05-30 00:00:00",3404,870,440,218
"2020-05-31 00:00:00",3427,878,444,219
"2020-06-01 00:00:00",3457,881,446,220
"2020-06-02 00:00:00",3476,885,450,220
"2020-06-03 00:00:00",3496,889,458,224
"2020-06-04 00:00:00",3505,892,460,224
"2020-06-05 00:00:00",3521,898,463,225
"2020-06-06 00:00:00",3537,899,467,226
"2020-06-07 00:00:00",3551,904,468,227
"2020-06-08 00:00:00",3562,907,469,227
"2020-06-09 00:00:00",3573,909,473,229
"2020-06-10 00:00:00",3582,912,474,230
"2020-06-11 00:00:00",3599,913,476,231
"2020-06-12 00:00:00",3605,917,477,232
"2020-06-13 00:00:00",3608,918,477,233
"2020-06-14 00:00:00",3610,918,477,233
