date,Ahuntsic–Cartierville,Anjou,Baie-D'Urfé,Beaconsfield,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-Saint-Luc,Dollard-des-Ormeaux,Dorval,Hampstead,Kirkland,Lachine,LaSalle,L'Île-Bizard–Sainte-Geneviève,Mercier–Hochelaga-Maisonneuve,Montréal-Est,Montréal-Nord,Montréal-Ouest,Mont-Royal,Outremont,Pierrefonds–Roxboro,Plateau-Mont-Royal,Pointe-Claire,Rivière-des-Prairies–Pointe-aux-Trembles,Rosemont–La Petite Patrie,Sainte-Anne-de-Bellevue,Saint-Laurent,Saint-Léonard,Senneville,Sud-Ouest,Verdun,Ville-Marie,Villeray–Saint-Michel–Parc-Extension,Westmount,TBC
2020-03-29,54.0,9.0,2.0,10.0,161.0,107.0,17.0,7.0,18.0,7.0,19.0,66.0,5.0,40.0,1.0,26.0,3.0,18.0,56.0,26.0,67.0,11.0,41.0,80.0,2.0,40.0,17.0,0.0,46.0,36.0,67.0,41.0,25.0,487.0
2020-03-30,66.0,14.0,2.0,9.0,182.0,120.0,18.0,10.0,20.0,7.0,22.0,78.0,7.0,62.0,1.0,33.0,3.0,24.0,61.0,27.0,80.0,11.0,51.0,97.0,2.0,49.0,20.0,0.0,56.0,43.0,78.0,56.0,29.0,653.0
2020-03-31,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-04-01,98.0,19.0,5.0,10.0,253.0,147.0,28.0,16.0,22.0,8.0,32.0,119.0,9.0,91.0,5.0,50.0,5.0,31.0,88.0,39.0,120.0,14.0,73.0,133.0,5.0,81.0,37.0,0.0,83.0,77.0,114.0,88.0,33.0,715.0
2020-04-02,106.0,19.0,5.0,10.0,281.0,154.0,30.0,17.0,23.0,8.0,35.0,135.0,9.0,98.0,5.0,55.0,5.0,33.0,95.0,39.0,134.0,15.0,83.0,141.0,5.0,90.0,40.0,0.0,95.0,85.0,117.0,103.0,38.0,735.0
2020-04-03,131.0,26.0,5.0,10.0,323.0,169.0,36.0,23.0,26.0,11.0,45.0,170.0,11.0,126.0,5.0,79.0,5.0,34.0,103.0,45.0,156.0,18.0,102.0,166.0,5.0,103.0,48.0,0.0,107.0,97.0,127.0,126.0,39.0,788.0
2020-04-04,143.0,35.0,5.0,10.0,370.0,192.0,45.0,26.0,27.0,12.0,57.0,204.0,14.0,145.0,5.0,99.0,5.0,36.0,113.0,50.0,168.0,21.0,117.0,181.0,5.0,119.0,67.0,1.0,124.0,105.0,135.0,149.0,44.0,888.0
2020-04-05,176.0,37.0,5.0,10.0,384.0,207.0,50.0,27.0,27.0,12.0,59.0,219.0,15.0,151.0,5.0,117.0,5.0,36.0,113.0,54.0,174.0,23.0,133.0,194.0,5.0,128.0,77.0,1.0,134.0,117.0,140.0,160.0,46.0,938.0
2020-04-06,200.0,42.0,5.0,11.0,428.0,232.0,54.0,31.0,28.0,12.0,71.0,237.0,16.0,182.0,5.0,149.0,5.0,37.0,119.0,56.0,186.0,24.0,148.0,217.0,5.0,141.0,96.0,1.0,162.0,134.0,152.0,185.0,52.0,985.0
2020-04-07,223.0,47.0,5.0,13.0,453.0,241.0,64.0,37.0,28.0,12.0,78.0,267.0,20.0,195.0,5.0,165.0,5.0,38.0,131.0,69.0,203.0,30.0,161.0,227.0,5.0,152.0,103.0,1.0,171.0,141.0,164.0,199.0,55.0,1067.0
2020-04-08,247.0,59.0,5.0,14.0,501.0,262.0,66.0,37.0,29.0,14.0,83.0,286.0,19.0,213.0,6.0,193.0,5.0,44.0,139.0,75.0,220.0,32.0,180.0,247.0,5.0,163.0,124.0,2.0,184.0,154.0,174.0,242.0,57.0,1181.0
2020-04-09,277.0,67.0,5.0,14.0,522.0,264.0,68.0,37.0,29.0,15.0,83.0,298.0,22.0,232.0,7.0,238.0,5.0,44.0,143.0,78.0,232.0,33.0,194.0,260.0,5.0,167.0,139.0,2.0,210.0,174.0,185.0,266.0,57.0,1245.0
