date,cases_mtl_0-4,cases_mtl_5-9,cases_mtl_10-19,cases_mtl_20-29,cases_mtl_30-39,cases_mtl_40-49,cases_mtl_50-59,cases_mtl_60-69,cases_mtl_70-79,cases_mtl_80+,cases_mtl_0-4_per100000,cases_mtl_5-9_per100000,cases_mtl_10-19_per100000,cases_mtl_20-29_per100000,cases_mtl_30-39_per100000,cases_mtl_40-49_per100000,cases_mtl_50-59_per100000,cases_mtl_60-69_per100000,cases_mtl_70-79_per100000,cases_mtl_80+_per100000,cases_mtl_0-4_norm,cases_mtl_5-9_norm,cases_mtl_10-19_norm,cases_mtl_20-29_norm,cases_mtl_30-39_norm,cases_mtl_40-49_norm,cases_mtl_50-59_norm,cases_mtl_60-69_norm,cases_mtl_70-79_norm,cases_mtl_80+_norm,cases_mtl_0-4_per100000_norm,cases_mtl_5-9_per100000_norm,cases_mtl_10-19_per100000_norm,cases_mtl_20-29_per100000_norm,cases_mtl_30-39_per100000_norm,cases_mtl_40-49_per100000_norm,cases_mtl_50-59_per100000_norm,cases_mtl_60-69_per100000_norm,cases_mtl_70-79_per100000_norm,cases_mtl_80+_per100000_norm
2020-03-15,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-16,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-17,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-18,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-19,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-20,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-21,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-22,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-23,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-24,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-25,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-26,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-27,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-28,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-29,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-30,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
2020-03-31,16.0,18.0,87.0,380.0,374.0,357.0,342.0,258.0,140.0,119.0,15.0,17.0,46.0,130.0,125.0,140.0,132.0,126.0,108.0,120.0,0.8,0.9,4.2,18.2,17.9,17.1,16.4,12.3,6.7,5.7,1.5,1.8,4.8,13.5,13.0,14.6,13.8,13.1,11.3,12.6
2020-04-01,16.0,20.0,112.0,462.0,465.0,456.0,418.0,310.0,179.0,197.0,15.0,19.0,60.0,158.0,155.0,179.0,161.0,151.0,138.0,199.0,0.6,0.8,4.3,17.5,17.6,17.3,15.9,11.8,6.8,7.5,1.2,1.6,4.8,12.8,12.6,14.5,13.1,12.2,11.2,16.1
2020-04-02,18.0,20.0,116.0,486.0,495.0,496.0,447.0,321.0,199.0,232.0,16.0,19.0,62.0,166.0,165.0,195.0,173.0,157.0,153.0,235.0,0.6,0.7,4.1,17.2,17.5,17.5,15.8,11.3,7.0,8.2,1.2,1.4,4.6,12.4,12.3,14.5,12.9,11.7,11.4,17.5
2020-04-03,24.0,23.0,128.0,539.0,566.0,560.0,512.0,362.0,244.0,295.0,22.0,22.0,68.0,184.0,189.0,220.0,198.0,177.0,188.0,299.0,0.7,0.7,3.9,16.6,17.4,17.2,15.7,11.1,7.5,9.1,1.4,1.4,4.3,11.7,12.1,14.1,12.6,11.3,12.0,19.1
2020-04-04,25.0,27.0,144.0,601.0,638.0,656.0,576.0,400.0,277.0,361.0,23.0,26.0,77.0,205.0,213.0,258.0,223.0,195.0,214.0,365.0,0.7,0.7,3.9,16.2,17.2,17.7,15.5,10.8,7.5,9.7,1.3,1.4,4.3,11.4,11.8,14.3,12.4,10.9,11.9,20.3
2020-04-05,27.0,29.0,148.0,622.0,667.0,691.0,607.0,433.0,299.0,443.0,25.0,28.0,79.0,212.0,223.0,272.0,234.0,211.0,231.0,448.0,0.7,0.7,3.7,15.7,16.8,17.4,15.3,10.9,7.5,11.2,1.3,1.4,4.0,10.8,11.3,13.8,12.0,10.8,11.8,22.9
2020-04-06,30.0,31.0,154.0,662.0,733.0,763.0,665.0,469.0,340.0,549.0,27.0,30.0,82.0,226.0,245.0,300.0,257.0,229.0,262.0,556.0,0.7,0.7,3.5,15.1,16.7,17.4,15.1,10.7,7.7,12.5,1.2,1.3,3.7,10.2,11.1,13.6,11.6,10.3,11.8,25.1
2020-04-07,34.0,33.0,165.0,696.0,772.0,837.0,708.0,505.0,368.0,646.0,31.0,32.0,88.0,237.0,258.0,329.0,273.0,246.0,284.0,654.0,0.7,0.7,3.5,14.6,16.2,17.6,14.9,10.6,7.7,13.6,1.3,1.3,3.6,9.8,10.6,13.5,11.2,10.1,11.7,26.9
2020-04-08,36.0,33.0,171.0,751.0,846.0,908.0,771.0,551.0,423.0,758.0,33.0,32.0,91.0,256.0,282.0,357.0,298.0,269.0,326.0,767.0,0.7,0.6,3.3,14.3,16.1,17.3,14.7,10.5,8.1,14.4,1.2,1.2,3.4,9.4,10.4,13.2,11.0,9.9,12.0,28.3
2020-04-09,37.0,34.0,177.0,783.0,887.0,966.0,828.0,581.0,446.0,862.0,34.0,33.0,94.0,267.0,296.0,380.0,320.0,283.0,344.0,872.0,0.7,0.6,3.2,14.0,15.8,17.2,14.8,10.4,8.0,15.4,1.2,1.1,3.2,9.1,10.1,13.0,10.9,9.7,11.8,29.9
2020-04-10,39.0,34.0,180.0,804.0,924.0,1007.0,874.0,601.0,467.0,912.0,36.0,33.0,96.0,274.0,308.0,396.0,338.0,293.0,360.0,923.0,0.7,0.6,3.1,13.8,15.8,17.2,15.0,10.3,8.0,15.6,1.2,1.1,3.1,9.0,10.1,12.9,11.0,9.6,11.8,30.2
