,Ahuntsic–Cartierville,Ahuntsic–Cartierville,Ahuntsic–Cartierville,Ahuntsic–Cartierville,Anjou,Anjou,Anjou,Anjou,Baie-D'Urfé,Baie-D'Urfé,Baie-D'Urfé,Baie-D'Urfé,Beaconsfield,Beaconsfield,Beaconsfield,Beaconsfield,Côte-Saint-Luc,Côte-Saint-Luc,Côte-Saint-Luc,Côte-Saint-Luc,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce,Côte-des-Neiges–Notre-Dame-de-Grâce,Dollard-des-Ormeaux,Dollard-des-Ormeaux,Dollard-des-Ormeaux,Dollard-des-Ormeaux,Dorval,Dorval,Dorval,Dorval,Hampstead,Hampstead,Hampstead,Hampstead,Kirkland,Kirkland,Kirkland,Kirkland,L'Île-Bizard–Sainte-Geneviève,L'Île-Bizard–Sainte-Geneviève,L'Île-Bizard–Sainte-Geneviève,L'Île-Bizard–Sainte-Geneviève,LaSalle,LaSalle,LaSalle,LaSalle,Lachine,Lachine,Lachine,Lachine,Mercier–Hochelaga-Maisonneuve,Mercier–Hochelaga-Maisonneuve,Mercier–Hochelaga-Maisonneuve,Mercier–Hochelaga-Maisonneuve,Mont-Royal,Mont-Royal,Mont-Royal,Mont-Royal,Montréal-Est,Montréal-Est,Montréal-Est,Montréal-Est,Montréal-Nord,Montréal-Nord,Montréal-Nord,Montréal-Nord,Montréal-Ouest,Montréal-Ouest,Montréal-Ouest,Montréal-Ouest,Outremont,Outremont,Outremont,Outremont,Pierrefonds–Roxboro,Pierrefonds–Roxboro,Pierrefonds–Roxboro,Pierrefonds–Roxboro,Plateau-Mont-Royal,Plateau-Mont-Royal,Plateau-Mont-Royal,Plateau-Mont-Royal,Pointe-Claire,Pointe-Claire,Pointe-Claire,Pointe-Claire,Rivière-des-Prairies–Pointe-aux-Trembles,Rivière-des-Prairies–Pointe-aux-Trembles,Rivière-des-Prairies–Pointe-aux-Trembles,Rivière-des-Prairies–Pointe-aux-Trembles,Rosemont–La Petite Patrie,Rosemont–La Petite Patrie,Rosemont–La Petite Patrie,Rosemont–La Petite Patrie,Saint-Laurent,Saint-Laurent,Saint-Laurent,Saint-Laurent,Saint-Léonard,Saint-Léonard,Saint-Léonard,Saint-Léonard,Sainte-Anne-de-Bellevue,Sainte-Anne-de-Bellevue,Sainte-Anne-de-Bellevue,Sainte-Anne-de-Bellevue,Senneville,Senneville,Senneville,Senneville,Sud-Ouest,Sud-Ouest,Sud-Ouest,Sud-Ouest,Verdun,Verdun,Verdun,Verdun,Ville-Marie,Ville-Marie,Ville-Marie,Ville-Marie,Villeray–Saint-Michel–Parc-Extension,Villeray–Saint-Michel–Parc-Extension,Villeray–Saint-Michel–Parc-Extension,Villeray–Saint-Michel–Parc-Extension,Westmount,Westmount,Westmount,Westmount
,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases,7day_incidence,7day_per100k_incidence,cases,new_cases
2020-03-29,0,0.0,54,0,0,0.0,9,0,0,0.0,2,0,0,0.0,10,0,0,0.0,107,0,0,0.0,161,0,0,0.0,17,0,0,0.0,7,0,0,0.0,18,0,0,0.0,7,0,0,0.0,5,0,0,0.0,66,0,0,0.0,19,0,0,0.0,40,0,0,0.0,18,0,0,0.0,1,0,0,0.0,26,0,0,0.0,3,0,0,0.0,56,0,0,0.0,26,0,0,0.0,67,0,0,0.0,11,0,0,0.0,41,0,0,0.0,80,0,0,0.0,40,0,0,0.0,17,0,0,0.0,2,0,0,0.0,0,0,0,0.0,46,0,0,0.0,36,0,0,0.0,67,0,0,0.0,41,0,0,0.0,25,0
2020-03-30,0,0.0,66,12,0,0.0,14,5,0,0.0,2,0,0,0.0,9,-1,0,0.0,120,13,0,0.0,182,21,0,0.0,18,1,0,0.0,10,3,0,0.0,20,2,0,0.0,7,0,0,0.0,7,2,0,0.0,78,12,0,0.0,22,3,0,0.0,62,22,0,0.0,24,6,0,0.0,1,0,0,0.0,33,7,0,0.0,3,0,0,0.0,61,5,0,0.0,27,1,0,0.0,80,13,0,0.0,11,0,0,0.0,51,10,0,0.0,97,17,0,0.0,49,9,0,0.0,20,3,0,0.0,2,0,0,0.0,0,0,0,0.0,56,10,0,0.0,43,7,0,0.0,78,11,0,0.0,56,15,0,0.0,29,4
2020-04-01,0,0.0,98,32,0,0.0,19,5,0,0.0,5,3,0,0.0,10,1,0,0.0,147,27,0,0.0,253,71,0,0.0,28,10,0,0.0,16,6,0,0.0,22,2,0,0.0,8,1,0,0.0,9,2,0,0.0,119,41,0,0.0,32,10,0,0.0,91,29,0,0.0,31,7,0,0.0,5,4,0,0.0,50,17,0,0.0,5,2,0,0.0,88,27,0,0.0,39,12,0,0.0,120,40,0,0.0,14,3,0,0.0,73,22,0,0.0,133,36,0,0.0,81,32,0,0.0,37,17,0,0.0,5,3,0,0.0,0,0,0,0.0,83,27,0,0.0,77,34,0,0.0,114,36,0,0.0,88,32,0,0.0,33,4
2020-04-02,0,0.0,106,8,0,0.0,19,0,0,0.0,5,0,0,0.0,10,0,0,0.0,154,7,0,0.0,281,28,0,0.0,30,2,0,0.0,17,1,0,0.0,23,1,0,0.0,8,0,0,0.0,9,0,0,0.0,135,16,0,0.0,35,3,0,0.0,98,7,0,0.0,33,2,0,0.0,5,0,0,0.0,55,5,0,0.0,5,0,0,0.0,95,7,0,0.0,39,0,0,0.0,134,14,0,0.0,15,1,0,0.0,83,10,0,0.0,141,8,0,0.0,90,9,0,0.0,40,3,0,0.0,5,0,0,0.0,0,0,0,0.0,95,12,0,0.0,85,8,0,0.0,117,3,0,0.0,103,15,0,0.0,38,5
2020-04-03,0,0.0,131,25,0,0.0,26,7,0,0.0,5,0,0,0.0,10,0,0,0.0,169,15,0,0.0,323,42,0,0.0,36,6,0,0.0,23,6,0,0.0,26,3,0,0.0,11,3,0,0.0,11,2,0,0.0,170,35,0,0.0,45,10,0,0.0,126,28,0,0.0,34,1,0,0.0,5,0,0,0.0,79,24,0,0.0,5,0,0,0.0,103,8,0,0.0,45,6,0,0.0,156,22,0,0.0,18,3,0,0.0,102,19,0,0.0,166,25,0,0.0,103,13,0,0.0,48,8,0,0.0,5,0,0,0.0,0,0,0,0.0,107,12,0,0.0,97,12,0,0.0,127,10,0,0.0,126,23,0,0.0,39,1
2020-04-04,0,0.0,143,12,0,0.0,35,9,0,0.0,5,0,0,0.0,10,0,0,0.0,192,23,0,0.0,370,47,0,0.0,45,9,0,0.0,26,3,0,0.0,27,1,0,0.0,12,1,0,0.0,14,3,0,0.0,204,34,0,0.0,57,12,0,0.0,145,19,0,0.0,36,2,0,0.0,5,0,0,0.0,99,20,0,0.0,5,0,0,0.0,113,10,0,0.0,50,5,0,0.0,168,12,0,0.0,21,3,0,0.0,117,15,0,0.0,181,15,0,0.0,119,16,0,0.0,67,19,0,0.0,5,0,0,0.0,1,1,0,0.0,124,17,0,0.0,105,8,0,0.0,135,8,0,0.0,149,23,0,0.0,44,5
2020-04-05,122,90.87861745316398,176,33,28,65.42667539022338,37,2,3,78.47240387130526,5,0,0,0.0,10,0,100,308.1854043392505,207,15,223,133.91784770598125,384,14,33,67.48604265935909,50,5,20,105.3740779768177,27,1,9,129.06926717338305,27,0,5,24.812664383901545,12,0,10,54.309455276163575,15,1,153,199.08136312180397,219,15,40,89.90986535997662,59,2,111,81.60324648591424,151,6,18,88.77490629315447,36,0,4,103.8961038961039,5,0,91,108.03238597241018,117,18,2,39.603960396039604,5,0,57,237.95608249144195,113,0,28,40.40578957242016,54,4,107,102.88461538461539,174,6,12,38.24091778202677,23,2,92,86.18832148243912,133,16,114,81.66774124220933,194,13,88,89.04359088517424,128,9,60,76.62345954919864,77,10,3,60.50826946349334,5,0,1,108.57763300760044,1,0,88,112.60252587938734,134,10,81,117.00299007641306,117,12,73,81.86609846360884,140,5,119,82.7233356273418,160,11,21,103.38716029933043,46,2
2020-04-06,146,108.75637826362248,200,24,33,77.11001028133471,42,5,3,78.47240387130526,5,0,1,5.17491202649555,11,1,125,385.2317554240631,232,25,267,160.34110016814796,428,44,37,75.66616904231171,54,4,24,126.44889357218123,31,4,10,143.41029685931449,28,1,5,24.812664383901545,12,0,11,59.74040080377994,16,1,171,222.50269995966326,237,18,52,116.88282496796963,71,12,142,104.39334235134976,182,31,19,93.70684553166305,37,1,4,103.8961038961039,5,0,123,146.02179642424673,149,32,2,39.603960396039604,5,0,63,263.00409117475164,119,6,30,43.29191739902161,56,2,119,114.42307692307692,186,12,13,41.427660930528994,24,1,107,100.24076520240203,148,15,137,98.14456622967262,217,23,101,102.19775772048406,141,13,79,100.88755507311154,96,19,3,60.50826946349334,5,0,1,108.57763300760044,1,0,116,148.43060229555604,162,28,98,141.55917317887014,134,17,85,95.3235393069418,152,12,144,100.10218764989258,185,25,27,132.926348956282,52,6
2020-04-07,157,116.95035196841596,223,23,33,77.11001028133471,47,5,3,78.47240387130526,5,0,4,20.6996481059822,13,2,121,372.9043392504931,241,9,271,162.74321402834494,453,25,46,94.07145340395509,64,10,27,142.2550052687039,37,6,8,114.72823748745161,28,0,5,24.812664383901545,12,0,13,70.60229185901265,20,4,189,245.92403679752255,267,30,56,125.87381150396727,78,7,133,97.7768629065459,195,13,14,69.04714933912014,38,1,4,103.8961038961039,5,0,132,156.70631811382577,165,16,2,39.603960396039604,5,0,70,292.22676797194623,131,12,42,60.60868435863024,69,13,123,118.26923076923077,203,17,19,60.548119821542386,30,6,110,103.05125394639461,161,13,130,93.12988036392292,227,10,103,104.22147569514712,152,11,83,105.9957857097248,103,7,3,60.50826946349334,5,0,1,108.57763300760044,1,0,115,147.15102813783574,171,9,98,141.55917317887014,141,7,86,96.44499271055288,164,12,143,99.40703356899057,199,14,26,128.00315084679008,55,3
