Arrondissement ou ville liée,var,date,value
Ahuntsic–Cartierville,nb_last24h,2020-10-08,14.0
Anjou,nb_last24h,2020-10-08,5.0
Baie D'urfé,nb_last24h,2020-10-08,0.0
Beaconsfield,nb_last24h,2020-10-08,0.0
Côte-des-Neiges–Notre-Dame-de-Grâce,nb_last24h,2020-10-08,26.0
Côte-Saint-Luc,nb_last24h,2020-10-08,9.0
Dollard-des-Ormeaux,nb_last24h,2020-10-08,7.0
Dorval,nb_last24h,2020-10-08,0.0
Hampstead,nb_last24h,2020-10-08,5.0
Kirkland,nb_last24h,2020-10-08,5.0
Lachine,nb_last24h,2020-10-08,6.0
LaSalle,nb_last24h,2020-10-08,14.0
L'Île-Bizard–Sainte-Geneviève,nb_last24h,2020-10-08,5.0
Mercier–Hochelaga-Maisonneuve,nb_last24h,2020-10-08,15.0
Montréal Est,nb_last24h,2020-10-08,5.0
Montréal-Nord,nb_last24h,2020-10-08,23.0
Montréal-Ouest,nb_last24h,2020-10-08,-1.0
Mont-Royal,nb_last24h,2020-10-08,0.0
Outremont,nb_last24h,2020-10-08,0.0
Pierrefonds–Roxboro,nb_last24h,2020-10-08,12.0
Plateau Mont-Royal,nb_last24h,2020-10-08,21.0
Pointe-Claire,nb_last24h,2020-10-08,5.0
Rivière-des-Prairies–Pointe-aux-Trembles,nb_last24h,2020-10-08,18.0
Rosemont–La Petite Patrie,nb_last24h,2020-10-08,18.0
Sainte-Anne-de-Bellevue,nb_last24h,2020-10-08,0.0
Saint-Laurent,nb_last24h,2020-10-08,26.0
Saint-Léonard,nb_last24h,2020-10-08,19.0
Senneville,nb_last24h,2020-10-08,0.0
Sud-Ouest,nb_last24h,2020-10-08,12.0
Verdun,nb_last24h,2020-10-08,7.0
Ville-Marie,nb_last24h,2020-10-08,40.0
Villeray–Saint-Michel–Parc-Extension,nb_last24h,2020-10-08,28.0
Westmount,nb_last24h,2020-10-08,5.0
Territoire à confirmer,nb_last24h,2020-10-08,11.0
Total à Montréal,nb_last24h,2020-10-08,345.0
Ahuntsic–Cartierville,nb_last14days,2020-10-08,255.0
Anjou,nb_last14days,2020-10-08,102.0
Baie D'urfé,nb_last14days,2020-10-08,5.0
Beaconsfield,nb_last14days,2020-10-08,16.0
Côte-des-Neiges–Notre-Dame-de-Grâce,nb_last14days,2020-10-08,364.0
Côte-Saint-Luc,nb_last14days,2020-10-08,124.0
Dollard-des-Ormeaux,nb_last14days,2020-10-08,77.0
Dorval,nb_last14days,2020-10-08,22.0
Hampstead,nb_last14days,2020-10-08,23.0
Kirkland,nb_last14days,2020-10-08,22.0
Lachine,nb_last14days,2020-10-08,55.0
LaSalle,nb_last14days,2020-10-08,101.0
L'Île-Bizard–Sainte-Geneviève,nb_last14days,2020-10-08,20.0
Mercier–Hochelaga-Maisonneuve,nb_last14days,2020-10-08,280.0
Montréal Est,nb_last14days,2020-10-08,10.0
Montréal-Nord,nb_last14days,2020-10-08,303.0
Montréal-Ouest,nb_last14days,2020-10-08,5.0
Mont-Royal,nb_last14days,2020-10-08,27.0
Outremont,nb_last14days,2020-10-08,121.0
Pierrefonds–Roxboro,nb_last14days,2020-10-08,134.0
Plateau Mont-Royal,nb_last14days,2020-10-08,270.0
Pointe-Claire,nb_last14days,2020-10-08,19.0
Rivière-des-Prairies–Pointe-aux-Trembles,nb_last14days,2020-10-08,263.0
Rosemont–La Petite Patrie,nb_last14days,2020-10-08,242.0
Sainte-Anne-de-Bellevue,nb_last14days,2020-10-08,5.0
Saint-Laurent,nb_last14days,2020-10-08,240.0
Saint-Léonard,nb_last14days,2020-10-08,192.0
Senneville,nb_last14days,2020-10-08,5.0
Sud-Ouest,nb_last14days,2020-10-08,180.0
Verdun,nb_last14days,2020-10-08,108.0
Ville-Marie,nb_last14days,2020-10-08,322.0
Villeray–Saint-Michel–Parc-Extension,nb_last14days,2020-10-08,357.0
Westmount,nb_last14days,2020-10-08,25.0
Territoire à confirmer,nb_last14days,2020-10-08,146.0
Total à Montréal,nb_last14days,2020-10-08,4429.0
Ahuntsic–Cartierville,per100k_last14days,2020-10-08,190.0
Anjou,per100k_last14days,2020-10-08,238.3
Baie D'urfé,per100k_last14days,2020-10-08,na
Beaconsfield,per100k_last14days,2020-10-08,82.8
Côte-des-Neiges–Notre-Dame-de-Grâce,per100k_last14days,2020-10-08,218.6
Côte-Saint-Luc,per100k_last14days,2020-10-08,382.1
Dollard-des-Ormeaux,per100k_last14days,2020-10-08,157.5
Dorval,per100k_last14days,2020-10-08,115.9
Hampstead,per100k_last14days,2020-10-08,329.8
Kirkland,per100k_last14days,2020-10-08,109.2
Lachine,per100k_last14days,2020-10-08,123.6
LaSalle,per100k_last14days,2020-10-08,131.4
L'Île-Bizard–Sainte-Geneviève,per100k_last14days,2020-10-08,108.6
Mercier–Hochelaga-Maisonneuve,per100k_last14days,2020-10-08,205.8
Montréal Est,per100k_last14days,2020-10-08,259.7
Montréal-Nord,per100k_last14days,2020-10-08,359.7
Montréal-Ouest,per100k_last14days,2020-10-08,na
Mont-Royal,per100k_last14days,2020-10-08,133.2
Outremont,per100k_last14days,2020-10-08,505.1
Pierrefonds–Roxboro,per100k_last14days,2020-10-08,193.4
Plateau Mont-Royal,per100k_last14days,2020-10-08,259.6
Pointe-Claire,per100k_last14days,2020-10-08,60.5
Rivière-des-Prairies–Pointe-aux-Trembles,per100k_last14days,2020-10-08,246.4
Rosemont–La Petite Patrie,per100k_last14days,2020-10-08,173.4
Sainte-Anne-de-Bellevue,per100k_last14days,2020-10-08,na
Saint-Laurent,per100k_last14days,2020-10-08,242.8
Saint-Léonard,per100k_last14days,2020-10-08,245.2
Senneville,per100k_last14days,2020-10-08,na
Sud-Ouest,per100k_last14days,2020-10-08,230.3
Verdun,per100k_last14days,2020-10-08,156.0
Ville-Marie,per100k_last14days,2020-10-08,361.1
Villeray–Saint-Michel–Parc-Extension,per100k_last14days,2020-10-08,248.2
Westmount,per100k_last14days,2020-10-08,123.1
Territoire à confirmer,per100k_last14days,2020-10-08,na
Total à Montréal,per100k_last14days,2020-10-08,214.4
Ahuntsic–Cartierville,nb_total,2020-10-08,2913.0
Anjou,nb_total,2020-10-08,902.0
Baie D'urfé,nb_total,2020-10-08,33.0
Beaconsfield,nb_total,2020-10-08,87.0
Côte-des-Neiges–Notre-Dame-de-Grâce,nb_total,2020-10-08,2937.0
Côte-Saint-Luc,nb_total,2020-10-08,732.0
Dollard-des-Ormeaux,nb_total,2020-10-08,585.0
Dorval,nb_total,2020-10-08,233.0
Hampstead,nb_total,2020-10-08,95.0
Kirkland,nb_total,2020-10-08,169.0
Lachine,nb_total,2020-10-08,788.0
LaSalle,nb_total,2020-10-08,1473.0
L'Île-Bizard–Sainte-Geneviève,nb_total,2020-10-08,253.0
Mercier–Hochelaga-Maisonneuve,nb_total,2020-10-08,2922.0
Montréal Est,nb_total,2020-10-08,59.0
Montréal-Nord,nb_total,2020-10-08,3114.0
Montréal-Ouest,nb_total,2020-10-08,38.0
Mont-Royal,nb_total,2020-10-08,334.0
Outremont,nb_total,2020-10-08,507.0
Pierrefonds–Roxboro,nb_total,2020-10-08,756.0
Plateau Mont-Royal,nb_total,2020-10-08,1550.0
Pointe-Claire,nb_total,2020-10-08,267.0
Rivière-des-Prairies–Pointe-aux-Trembles,nb_total,2020-10-08,2662.0
Rosemont–La Petite Patrie,nb_total,2020-10-08,2161.0
Sainte-Anne-de-Bellevue,nb_total,2020-10-08,23.0
Saint-Laurent,nb_total,2020-10-08,1548.0
Saint-Léonard,nb_total,2020-10-08,1547.0
Senneville,nb_total,2020-10-08,5.0
Sud-Ouest,nb_total,2020-10-08,1322.0
Verdun,nb_total,2020-10-08,1187.0
Ville-Marie,nb_total,2020-10-08,1584.0
Villeray–Saint-Michel–Parc-Extension,nb_total,2020-10-08,2953.0
Westmount,nb_total,2020-10-08,245.0
Territoire à confirmer,nb_total,2020-10-08,860.0
Total à Montréal,nb_total,2020-10-08,36842.0
Ahuntsic–Cartierville,per100k_total,2020-10-08,2169.9
Anjou,per100k_total,2020-10-08,2107.7
Baie D'urfé,per100k_total,2020-10-08,863.2
Beaconsfield,per100k_total,2020-10-08,450.2
Côte-des-Neiges–Notre-Dame-de-Grâce,per100k_total,2020-10-08,1763.8
Côte-Saint-Luc,per100k_total,2020-10-08,2255.9
Dollard-des-Ormeaux,per100k_total,2020-10-08,1196.3
Dorval,per100k_total,2020-10-08,1227.6
Hampstead,per100k_total,2020-10-08,1362.4
Kirkland,per100k_total,2020-10-08,838.7
Lachine,per100k_total,2020-10-08,1771.2
LaSalle,per100k_total,2020-10-08,1916.6
L'Île-Bizard–Sainte-Geneviève,per100k_total,2020-10-08,1374.0
Mercier–Hochelaga-Maisonneuve,per100k_total,2020-10-08,2148.2
Montréal Est,per100k_total,2020-10-08,1532.5
Montréal-Nord,per100k_total,2020-10-08,3696.8
Montréal-Ouest,per100k_total,2020-10-08,752.5
Mont-Royal,per100k_total,2020-10-08,1647.3
Outremont,per100k_total,2020-10-08,2116.6
Pierrefonds–Roxboro,per100k_total,2020-10-08,1091.0
Plateau Mont-Royal,per100k_total,2020-10-08,1490.4
Pointe-Claire,per100k_total,2020-10-08,850.9
Rivière-des-Prairies–Pointe-aux-Trembles,per100k_total,2020-10-08,2493.8
Rosemont–La Petite Patrie,per100k_total,2020-10-08,1548.1
Sainte-Anne-de-Bellevue,per100k_total,2020-10-08,463.9
Saint-Laurent,per100k_total,2020-10-08,1566.4
Saint-Léonard,per100k_total,2020-10-08,1975.6
Senneville,per100k_total,2020-10-08,na
Sud-Ouest,per100k_total,2020-10-08,1691.6
Verdun,per100k_total,2020-10-08,1714.6
Ville-Marie,per100k_total,2020-10-08,1776.4
Villeray–Saint-Michel–Parc-Extension,per100k_total,2020-10-08,2052.8
Westmount,per100k_total,2020-10-08,1206.2
Territoire à confirmer,per100k_total,2020-10-08,na
Total à Montréal,per100k_total,2020-10-08,1783.5
Ahuntsic–Cartierville,deaths_nb_last14days,2020-10-08,5.0
Anjou,deaths_nb_last14days,2020-10-08,0.0
Baie D'urfé,deaths_nb_last14days,2020-10-08,0.0
Beaconsfield,deaths_nb_last14days,2020-10-08,0.0
Côte-des-Neiges–Notre-Dame-de-Grâce,deaths_nb_last14days,2020-10-08,5.0
Côte-Saint-Luc,deaths_nb_last14days,2020-10-08,5.0
Dollard-des-Ormeaux,deaths_nb_last14days,2020-10-08,0.0
Dorval,deaths_nb_last14days,2020-10-08,0.0
Hampstead,deaths_nb_last14days,2020-10-08,0.0
Kirkland,deaths_nb_last14days,2020-10-08,0.0
Lachine,deaths_nb_last14days,2020-10-08,0.0
LaSalle,deaths_nb_last14days,2020-10-08,0.0
L'Île-Bizard–Sainte-Geneviève,deaths_nb_last14days,2020-10-08,0.0
Mercier–Hochelaga-Maisonneuve,deaths_nb_last14days,2020-10-08,0.0
Montréal Est,deaths_nb_last14days,2020-10-08,0.0
Montréal-Nord,deaths_nb_last14days,2020-10-08,5.0
Montréal-Ouest,deaths_nb_last14days,2020-10-08,0.0
Mont-Royal,deaths_nb_last14days,2020-10-08,0.0
Outremont,deaths_nb_last14days,2020-10-08,5.0
Pierrefonds–Roxboro,deaths_nb_last14days,2020-10-08,0.0
Plateau Mont-Royal,deaths_nb_last14days,2020-10-08,5.0
Pointe-Claire,deaths_nb_last14days,2020-10-08,0.0
Rivière-des-Prairies–Pointe-aux-Trembles,deaths_nb_last14days,2020-10-08,0.0
Rosemont–La Petite Patrie,deaths_nb_last14days,2020-10-08,0.0
Sainte-Anne-de-Bellevue,deaths_nb_last14days,2020-10-08,0.0
Saint-Laurent,deaths_nb_last14days,2020-10-08,0.0
Saint-Léonard,deaths_nb_last14days,2020-10-08,5.0
Senneville,deaths_nb_last14days,2020-10-08,0.0
Sud-Ouest,deaths_nb_last14days,2020-10-08,0.0
Verdun,deaths_nb_last14days,2020-10-08,0.0
Ville-Marie,deaths_nb_last14days,2020-10-08,5.0
Villeray–Saint-Michel–Parc-Extension,deaths_nb_last14days,2020-10-08,5.0
Westmount,deaths_nb_last14days,2020-10-08,0.0
Territoire à confirmer,deaths_nb_last14days,2020-10-08,0.0
Total à Montréal,deaths_nb_last14days,2020-10-08,12.0
Ahuntsic–Cartierville,per100k_total,2020-10-08,na
Anjou,per100k_total,2020-10-08,na
Baie D'urfé,per100k_total,2020-10-08,na
Beaconsfield,per100k_total,2020-10-08,na
Côte-des-Neiges–Notre-Dame-de-Grâce,per100k_total,2020-10-08,na
Côte-Saint-Luc,per100k_total,2020-10-08,na
Dollard-des-Ormeaux,per100k_total,2020-10-08,na
Dorval,per100k_total,2020-10-08,na
Hampstead,per100k_total,2020-10-08,na
Kirkland,per100k_total,2020-10-08,na
Lachine,per100k_total,2020-10-08,na
LaSalle,per100k_total,2020-10-08,na
L'Île-Bizard–Sainte-Geneviève,per100k_total,2020-10-08,na
Mercier–Hochelaga-Maisonneuve,per100k_total,2020-10-08,na
Montréal Est,per100k_total,2020-10-08,na
Montréal-Nord,per100k_total,2020-10-08,na
Montréal-Ouest,per100k_total,2020-10-08,na
Mont-Royal,per100k_total,2020-10-08,na
Outremont,per100k_total,2020-10-08,na
Pierrefonds–Roxboro,per100k_total,2020-10-08,na
Plateau Mont-Royal,per100k_total,2020-10-08,na
Pointe-Claire,per100k_total,2020-10-08,na
Rivière-des-Prairies–Pointe-aux-Trembles,per100k_total,2020-10-08,na
Rosemont–La Petite Patrie,per100k_total,2020-10-08,na
Sainte-Anne-de-Bellevue,per100k_total,2020-10-08,na
Saint-Laurent,per100k_total,2020-10-08,na
Saint-Léonard,per100k_total,2020-10-08,na
Senneville,per100k_total,2020-10-08,na
Sud-Ouest,per100k_total,2020-10-08,na
Verdun,per100k_total,2020-10-08,na
Ville-Marie,per100k_total,2020-10-08,na
