"Date de décès","CHSLD","RPA","Domicile","RI, Autre et Inconnu"
"2020-03-18 00:00:00",1,2,0,0
"2020-03-19 00:00:00",1,2,0,0
"2020-03-20 00:00:00",1,3,0,0
"2020-03-21 00:00:00",1,4,0,0
"2020-03-22 00:00:00",1,4,0,0
"2020-03-23 00:00:00",1,4,2,0
"2020-03-24 00:00:00",2,4,3,0
"2020-03-25 00:00:00",5,7,3,1
"2020-03-26 00:00:00",5,9,7,2
"2020-03-27 00:00:00",7,10,8,2
"2020-03-28 00:00:00",14,13,10,2
"2020-03-29 00:00:00",19,14,13,2
"2020-03-30 00:00:00",26,15,17,2
"2020-03-31 00:00:00",38,16,19,3
"2020-04-01 00:00:00",48,17,20,3
"2020-04-02 00:00:00",66,20,24,4
"2020-04-03 00:00:00",85,27,29,5
"2020-04-04 00:00:00",115,37,32,8
"2020-04-05 00:00:00",144,45,34,10
"2020-04-06 00:00:00",179,51,38,10
"2020-04-07 00:00:00",217,57,43,10
"2020-04-08 00:00:00",252,64,52,11
"2020-04-09 00:00:00",297,71,61,13
"2020-04-10 00:00:00",345,81,66,14
"2020-04-11 00:00:00",399,88,69,19
"2020-04-12 00:00:00",468,101,74,22
"2020-04-13 00:00:00",531,118,84,23
"2020-04-14 00:00:00",589,137,94,25
"2020-04-15 00:00:00",655,153,107,28
"2020-04-16 00:00:00",726,166,112,29
"2020-04-17 00:00:00",778,178,120,33
"2020-04-18 00:00:00",844,188,127,34
"2020-04-19 00:00:00",938,206,133,36
"2020-04-20 00:00:00",1015,218,137,39
"2020-04-21 00:00:00",1103,230,141,42
"2020-04-22 00:00:00",1180,244,154,46
"2020-04-23 00:00:00",1260,263,160,49
"2020-04-24 00:00:00",1335,278,171,53
"2020-04-25 00:00:00",1412,301,181,54
"2020-04-26 00:00:00",1488,313,192,55
"2020-04-27 00:00:00",1558,331,197,61
"2020-04-28 00:00:00",1638,350,207,67
"2020-04-29 00:00:00",1722,376,224,74
"2020-04-30 00:00:00",1793,396,238,83
"2020-05-01 00:00:00",1868,419,245,88
"2020-05-02 00:00:00",1934,443,250,93
"2020-05-03 00:00:00",1990,464,258,100
"2020-05-04 00:00:00",2054,482,270,103
"2020-05-05 00:00:00",2107,504,276,107
"2020-05-06 00:00:00",2158,526,277,113
"2020-05-07 00:00:00",2206,551,288,118
"2020-05-08 00:00:00",2261,563,292,120
"2020-05-09 00:00:00",2306,584,303,126
"2020-05-10 00:00:00",2360,600,307,130
"2020-05-11 00:00:00",2408,614,315,133
"2020-05-12 00:00:00",2452,630,321,138
"2020-05-13 00:00:00",2483,637,325,141
"2020-05-14 00:00:00",2523,654,330,142
"2020-05-15 00:00:00",2565,669,335,147
"2020-05-16 00:00:00",2606,678,342,153
"2020-05-17 00:00:00",2646,683,351,159
"2020-05-18 00:00:00",2684,693,356,162
"2020-05-19 00:00:00",2721,703,365,163
"2020-05-20 00:00:00",2762,710,370,171
"2020-05-21 00:00:00",2792,719,373,177
"2020-05-22 00:00:00",2834,728,381,180
"2020-05-23 00:00:00",2880,733,382,183
"2020-05-24 00:00:00",2908,740,388,185
"2020-05-25 00:00:00",2942,750,393,186
"2020-05-26 00:00:00",2974,758,399,188
"2020-05-27 00:00:00",2989,764,403,191
"2020-05-28 00:00:00",2997,765,403,192
