date,0d,1d,2d,3d
2021-07-18,1,1,1,0
2021-07-19,0,1,0,0
2021-07-20,4,0,0,0
2021-07-21,4,0,1,0
2021-07-22,0,0,1,0
2021-07-23,2,0,0,2
2021-07-24,2,0,1,0
2021-07-25,2,0,2,0
2021-07-26,2,0,0,0
2021-07-27,1,2,0,0
2021-07-28,2,0,0,0
2021-07-29,6,0,0,0
2021-07-30,2,0,3,0
2021-07-31,0,0,2,0
2021-08-01,1,1,1,0
2021-08-02,0,1,0,0
2021-08-03,6,0,2,0
2021-08-04,2,0,1,0
2021-08-05,2,0,2,0
2021-08-06,1,1,0,0
2021-08-07,1,1,0,0
2021-08-08,3,0,6,0
2021-08-09,4,1,5,0
2021-08-10,8,2,6,0
2021-08-11,6,1,3,1
2021-08-12,4,2,3,0
2021-08-13,1,2,3,1
2021-08-14,2,2,1,0
2021-08-15,2,3,2,0
2021-08-16,7,1,2,0
2021-08-17,5,3,1,0
2021-08-18,9,0,5,0
2021-08-19,5,1,0,0
2021-08-20,9,1,4,0
2021-08-21,12,0,2,0
2021-08-22,11,0,2,0
2021-08-23,13,0,1,0
2021-08-24,10,1,5,0
2021-08-25,23,1,5,0
2021-08-26,13,2,4,0
2021-08-27,11,1,4,2
2021-08-28,7,4,2,0
2021-08-29,9,1,0,0
2021-08-30,14,0,6,0
2021-08-31,20,0,4,1
2021-09-01,12,0,8,0
2021-09-02,16,1,7,0
2021-09-03,17,2,5,0
2021-09-04,20,1,7,0
2021-09-05,17,1,7,1
2021-09-06,7,0,7,0
2021-09-07,16,2,8,0
2021-09-08,13,2,5,0
2021-09-09,22,2,8,0
2021-09-10,18,2,9,0
2021-09-11,19,2,11,0
2021-09-12,12,0,10,0
2021-09-13,16,2,6,0
2021-09-14,25,1,10,0
2021-09-15,32,2,3,2
2021-09-16,23,2,10,3
2021-09-17,23,1,8,0
2021-09-18,21,1,7,1
2021-09-19,20,0,4,0
2021-09-20,18,1,13,0
2021-09-21,16,2,9,0
2021-09-22,25,1,11,0
2021-09-23,29,2,8,0
2021-09-24,22,3,9,1
2021-09-25,17,1,17,1
2021-09-26,18,2,10,0
2021-09-27,15,1,6,1
2021-09-28,23,0,15,0
2021-09-29,17,4,15,1
2021-09-30,12,0,9,0
2021-10-01,12,1,19,1
2021-10-02,10,4,13,0
2021-10-03,12,1,10,0
2021-10-04,13,1,10,0
2021-10-05,15,1,11,0
2021-10-06,19,2,10,1
2021-10-07,10,2,7,0
2021-10-08,8,1,8,0
2021-10-09,14,3,7,0
2021-10-10,8,1,7,0
2021-10-11,10,2,7,2
2021-10-12,12,2,11,1
2021-10-13,19,1,10,2
2021-10-14,12,0,13,0
2021-10-15,16,2,12,0
2021-10-16,11,1,11,0
2021-10-17,9,1,8,2
2021-10-18,7,0,4,0
2021-10-19,7,0,13,0
2021-10-20,10,0,7,1
2021-10-21,10,1,15,0
2021-10-22,7,2,12,2
2021-10-23,7,0,6,1
2021-10-24,11,0,8,1
2021-10-25,6,3,2,0
2021-10-26,16,2,11,3
2021-10-27,8,3,8,1
2021-10-28,6,2,11,0
2021-10-29,5,0,13,1
2021-10-30,7,0,12,2
2021-10-31,8,1,8,1
2021-11-01,9,0,9,0
2021-11-02,9,0,12,1
2021-11-03,10,2,16,2
2021-11-04,6,0,11,2
2021-11-05,9,0,12,2
2021-11-06,10,0,6,2
2021-11-07,3,0,7,1
2021-11-08,7,0,18,2
2021-11-09,13,1,14,1
2021-11-10,2,1,9,2
2021-11-11,12,1,16,1
2021-11-12,6,1,16,6
2021-11-13,9,0,7,1
2021-11-14,14,1,7,1
2021-11-15,8,1,12,1
2021-11-16,9,1,13,5
2021-11-17,14,3,15,3
2021-11-18,11,0,14,1
2021-11-19,14,1,16,3
2021-11-20,11,2,11,6
2021-11-21,6,0,8,1
2021-11-22,12,1,13,5
2021-11-23,9,1,24,5
2021-11-24,6,1,22,3
2021-11-25,13,1,21,9
2021-11-26,18,4,20,6
2021-11-27,13,0,21,7
2021-11-28,11,0,16,4
2021-11-29,11,1,16,2
2021-11-30,12,2,22,9
2021-12-01,10,2,25,9
2021-12-02,6,0,20,7
2021-12-03,16,1,27,9
2021-12-04,12,1,23,12
2021-12-05,18,1,20,4
2021-12-06,12,2,22,7
2021-12-07,15,4,26,9
2021-12-08,8,4,39,9
2021-12-09,19,3,41,8
2021-12-10,15,1,38,12
2021-12-11,18,0,38,7
2021-12-12,18,0,37,7
2021-12-13,28,2,49,15
2021-12-14,26,6,46,8
2021-12-15,20,5,41,18
2021-12-16,30,1,58,13
2021-12-17,26,4,64,16
2021-12-18,25,0,39,21
2021-12-19,27,0,36,19
2021-12-20,33,2,56,16
2021-12-21,40,2,88,23
2021-12-22,31,4,76,34
2021-12-23,32,6,86,31
2021-12-24,35,3,77,20
2021-12-25,32,4,67,30
2021-12-26,39,7,75,21
2021-12-27,46,5,93,39
2021-12-28,54,6,110,33
2021-12-29,67,10,151,55
2021-12-30,74,7,146,56
2021-12-31,61,4,143,49
2022-01-01,60,8,124,47
2022-01-02,72,10,130,51
2022-01-03,73,5,115,56
2022-01-04,69,11,166,67
2022-01-05,87,12,170,54
2022-01-06,75,11,176,86
2022-01-07,91,12,167,87
2022-01-08,71,9,140,57
2022-01-09,71,10,140,80
2022-01-10,80,8,172,78
2022-01-11,109,15,146,86
2022-01-12,80,9,142,94
2022-01-13,100,14,158,80
2022-01-14,93,8,184,96
2022-01-15,71,6,132,58
2022-01-16,50,9,83,63
2022-01-17,83,8,115,74
2022-01-18,70,6,134,76
2022-01-19,73,9,133,102
2022-01-20,75,8,118,96
2022-01-21,73,10,115,78
2022-01-22,53,9,91,64
2022-01-23,57,6,72,62
2022-01-24,64,7,92,90
2022-01-25,52,10,84,63
2022-01-26,63,13,96,76
2022-01-27,59,7,84,73
2022-01-28,57,1,68,72
2022-01-29,37,9,54,45
2022-01-30,41,11,44,46
2022-01-31,47,6,63,61
2022-02-01,41,11,58,62
2022-02-02,31,5,62,67
2022-02-03,40,4,64,54
2022-02-04,35,7,65,78
2022-02-05,30,4,37,53
2022-02-06,37,3,35,50
2022-02-07,50,8,38,65
2022-02-08,46,3,38,72
2022-02-09,37,7,42,72
2022-02-10,40,5,34,51
2022-02-11,24,5,41,54
2022-02-12,30,5,23,53
2022-02-13,36,2,24,36
2022-02-14,24,4,30,54
2022-02-15,33,2,40,35
2022-02-16,16,9,24,54
2022-02-17,40,4,23,41
2022-02-18,21,0,36,60
2022-02-19,16,3,32,42
2022-02-20,19,2,22,41
2022-02-21,22,4,29,46
2022-02-22,22,6,19,47
2022-02-23,21,3,20,61
2022-02-24,12,1,26,43
2022-02-25,25,5,21,43
2022-02-26,13,0,15,39
2022-02-27,17,0,13,31
2022-02-28,20,4,10,44
2022-03-01,9,2,13,44
2022-03-02,22,4,21,42
2022-03-03,19,3,26,36
2022-03-04,17,4,18,53
2022-03-05,22,1,13,42
2022-03-06,11,3,12,40
2022-03-07,7,2,12,44
2022-03-08,20,0,15,41
2022-03-09,13,2,14,35
2022-03-10,9,2,20,43
2022-03-11,12,1,20,43
2022-03-12,9,2,6,38
2022-03-13,6,3,5,28
2022-03-14,11,3,12,31
2022-03-15,14,2,20,32
2022-03-16,8,3,21,52
2022-03-17,16,2,17,62
2022-03-18,15,0,17,50
2022-03-19,9,0,17,30
2022-03-20,8,2,15,53
2022-03-21,10,2,23,52
2022-03-22,19,4,26,62
2022-03-23,14,1,18,41
2022-03-24,14,4,26,76
2022-03-25,13,4,23,64
2022-03-26,16,3,23,47
2022-03-27,15,2,16,53
2022-03-28,14,7,17,67
2022-03-29,18,1,23,56
2022-03-30,21,3,32,61
2022-03-31,19,0,22,83
2022-04-01,25,4,17,72
2022-04-02,5,2,7,16
