date,sequenced,sequenced_mtl,presumptive,presumptive_total,presumptive_total_mtl,screened_total,new_sequenced,new_presumptive,new_screened,new_cases,new_cases_mtl
2021-02-14,11,12,0,na,na,na,0,0.0,na,728,316.0
2021-02-15,16,12,83,na,na,na,5,83.0,na,669,328.0
2021-02-16,16,12,135,na,na,na,0,52.0,na,800,383.0
2021-02-17,16,12,173,na,na,na,0,38.0,na,900,416.0
2021-02-18,16,12,236,na,na,na,0,63.0,na,800,353.0
2021-02-19,23,19,286,na,na,na,7,50.0,na,769,334.0
2021-02-20,23,19,329,na,na,na,0,43.0,na,728,330.0
2021-02-21,23,19,415,na,na,na,0,86.0,na,666,416.0
2021-02-22,23,19,484,na,na,na,0,69.0,na,739,360.0
2021-02-23,23,19,602,na,na,na,0,118.0,na,806,410.0
2021-02-24,34,29,772,na,na,na,11,170.0,na,858,384.0
2021-02-25,34,29,874,na,na,na,0,102.0,na,815,414.0
2021-02-26,34,29,984,na,na,na,0,110.0,na,858,352.0
2021-02-27,137,85,1083,na,na,na,103,99.0,na,737,317.0
2021-02-28,137,85,1134,na,na,9349.0,0,51.0,na,613,303.0
2021-03-01,137,85,1095,na,na,9951.0,0,98.0,602.0,588,256.0
2021-03-02,137,85,1220,1357.0,na,10709.0,0,125.0,758.0,729,338.0
2021-03-03,137,85,1353,1490.0,na,11559.0,0,133.0,850.0,707,319.0
2021-03-04,194,118,1462,1656.0,na,12327.0,57,166.0,768.0,798,345.0
2021-03-05,194,118,1576,1770.0,na,13035.0,0,114.0,708.0,749,338.0
2021-03-06,194,118,1700,1894.0,na,13821.0,0,124.0,786.0,707,329.0
2021-03-07,255,172,1732,1987.0,na,14319.0,61,93.0,498.0,579,276.0
2021-03-08,255,172,1543,1798.0,na,11973.0,0,-189.0,-2346.0,650,291.0
2021-03-09,335,193,1570,1905.0,na,12584.0,80,107.0,611.0,792,368.0
2021-03-10,341,195,1712,2053.0,1007.0,13371.0,6,148.0,787.0,738,341.0
2021-03-11,343,197,1847,2190.0,1082.0,14076.0,2,137.0,705.0,753,360.0
2021-03-12,343,197,1968,2311.0,1134.0,14790.0,0,121.0,714.0,775,354.0
2021-03-13,343,197,2083,2426.0,1178.0,15367.0,0,115.0,577.0,674,296.0
2021-03-14,343,197,2245,2588.0,1256.0,16021.0,0,162.0,654.0,594,247.0
2021-03-15,522,315,2179,2701.0,1339.0,16389.0,179,113.0,368.0,561,245.0
2021-03-16,541,327,2352,2893.0,1421.0,17176.0,19,192.0,787.0,703,316.0
2021-03-17,541,327,2548,3089.0,1536.0,17883.0,0,196.0,707.0,702,318.0
2021-03-18,541,327,2730,3271.0,1625.0,18565.0,0,182.0,682.0,764,317.0
2021-03-19,542,328,2949,3491.0,1726.0,19367.0,1,220.0,802.0,775,297.0
2021-03-20,542,328,3109,3651.0,1795.0,19873.0,0,160.0,506.0,648,264.0
2021-03-21,542,328,3373,3915.0,1921.0,20680.0,0,264.0,807.0,712,320.0
2021-03-22,704,463,3423,4127.0,1995.0,21276.0,162,212.0,596.0,656,240.0
2021-03-23,704,464,3664,4368.0,2101.0,21997.0,0,241.0,721.0,783,307.0
2021-03-24,704,464,3978,4682.0,2226.0,22854.0,0,314.0,857.0,945,351.0
2021-03-25,704,464,4453,5157.0,2369.0,23937.0,0,475.0,1083.0,950,313.0
2021-03-26,705,465,4860,5565.0,2544.0,24859.0,1,408.0,922.0,1009,367.0
2021-03-27,705,465,5413,6118.0,2686.0,26094.0,0,553.0,1235.0,917,280.0
2021-03-28,705,465,5775,6480.0,2746.0,26736.0,0,362.0,642.0,891,269.0
2021-03-29,1134,739,5814,6948.0,2874.0,27626.0,429,468.0,890.0,864,305.0
2021-03-30,1134,739,6341,7475.0,3008.0,28544.0,0,527.0,918.0,1025,348.0
2021-03-31,1139,743,6961,8100.0,3188.0,29597.0,5,625.0,1053.0,1271,393.0
2021-04-01,1139,743,7648,8787.0,3394.0,30786.0,0,687.0,1189.0,1314,388.0
2021-04-02,1592,994,7966,9558.0,3513.0,31981.0,453,771.0,1195.0,1282,361.0
2021-04-03,1592,994,8745,10337.0,3695.0,33204.0,0,779.0,1223.0,1154,302.0
2021-04-04,1592,994,9435,11027.0,3848.0,34328.0,0,690.0,1124.0,1252,348.0
2021-04-05,1592,994,10117,11709.0,3987.0,35369.0,0,682.0,1041.0,1168,300.0
2021-04-06,1592,994,10444,12036.0,4107.0,35977.0,0,327.0,608.0,1270,299.0
2021-04-07,1598,996,11579,13177.0,4278.0,37485.0,6,1141.0,1508.0,1609,370.0
2021-04-08,1598,996,12610,14208.0,4483.0,na,0,1031.0,na,1683,na
