date,negative_tests_qc,cases_qc,new_cases_qc,deaths_qc,new_deaths_qc,Hospitalisations,icu_qc,Personnes testées,active_cases_qc,Tests (Volumétrie),Hospitalisations (nouvelle méthode),Unnamed: 12,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,Unnamed: 31,CHSLD,RPA,Domicile,Autres - Inconnu,Unnamed: 36,Montréal et Laval,Régions à proximité,Autres régions,Unnamed: 40,Cas Labo,Cas Lien Épi,Cas Total,Cumul Labo,Cumul Épi,NV CHSLD,NV RPA,NV Dom,NV Autres,Moy mobile Décès,Inc Hors-SI,Inc SI,Moy. mobile (cas),Analyses nég (Nouv.),Cas labo (Nouv.),Cas labo (ancien),hospitalisations_all,hospitalisations_qc,new_negative_tests_qc
2020-02-27,91.0,1,,,,0.0,,92,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,
2020-02-28,104.0,1,0.0,,0.0,0.0,,105,1.0,,,,0.0,0.0,0.1323698573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0219437367,,1.0,0.0,1.0,1.0,0.0,,,,,,,,,,,1.0,0.0,0.0,13.0
2020-02-29,138.0,1,0.0,,0.0,0.0,,139,1.0,,,,0.0,0.0,0.1323698573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0219437367,,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,1.0,0.0,0.0,34.0
2020-03-01,189.0,1,0.0,,0.0,0.0,,190,1.0,,,,0.0,0.0,0.1323698573,0.0,0.0,0.04841074777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.03986601829,0.0,0.0219437367,,0.0,1.0,1.0,1.0,1.0,,,,,,,,1.3,,,1.0,0.0,0.0,51.0
2020-03-02,203.0,1,0.0,,0.0,0.0,,204,1.0,,,,0.0,0.0,0.1323698573,0.0,0.0,0.1452322433,0.0,0.0,0.0,0.0,1.111135803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.1195980549,0.0,0.0438874734,,3.0,0.0,3.0,4.0,1.0,,,,,,,,1.4,,,4.0,0.0,0.0,14.0
2020-03-03,203.0,1,0.0,,0.0,0.0,,204,1.0,,,,0.0,0.0,0.1323698573,0.0,0.0,0.1452322433,0.0,0.0,0.0,0.0,1.111135803,0.0,0.0,0.0,0.1594977734,0.06979579843,0.0,0.0,,,,,,,0.1195980549,0.0,0.08777494678999999,,2.0,0.0,2.0,6.0,1.0,,,,,,,,1.6,,,6.0,0.0,0.0,0.0
2020-03-04,242.0,2,1.0,,0.0,0.0,,244,2.0,,,,0.0,0.0,0.1323698573,0.0,0.0,0.1452322433,0.0,0.0,0.0,0.0,1.111135803,0.0,0.0,0.0,0.1594977734,0.2093873953,0.0,0.0,,,,,,,0.1195980549,0.0,0.1316624202,,2.0,0.0,2.0,8.0,1.0,,,,,,,,1.6,,,8.0,0.0,0.0,39.0
2020-03-05,260.0,3,1.0,,0.0,0.0,,263,3.0,,,,0.0,0.0,0.1323698573,0.0,0.0,0.1452322433,0.0,0.0,0.0,0.0,1.111135803,0.0,0.0,0.0,0.1594977734,0.2791831937,0.0,0.0,,,,,,,0.1195980549,0.06786277062000001,0.1316624202,,1.0,0.0,1.0,9.0,1.0,,,,,,,,1.6,,,9.0,0.0,0.0,18.0
2020-03-06,303.0,3,0.0,,0.0,0.0,,306,3.0,,,,0.0,0.0,0.1323698573,0.0,0.0,0.1452322433,0.0,0.0,0.0,0.0,1.111135803,0.0,0.0,0.0,0.3189955468,0.3489789922,0.0,0.0,,,,,,,0.1195980549,0.1357255412,0.15360615689999998,,2.0,0.0,2.0,11.0,1.0,,,,,,,,1.3,,,11.0,0.0,0.0,43.0
2020-03-07,340.0,4,1.0,,0.0,0.0,,344,4.0,,,,0.0,0.0,0.1323698573,0.0,0.0,0.1452322433,0.0,0.0,0.0,0.0,1.111135803,0.0,0.0,0.0,0.3189955468,0.3489789922,0.0,0.0,,,,,,,0.1195980549,0.1357255412,0.15360615689999998,,0.0,0.0,0.0,11.0,1.0,,,,,,,,1.3,,,11.0,0.0,0.0,37.0
