date,mtl_doses,qc_doses,mtl_new_doses,qc_new_doses,mtl_percent_vaccinated,qc_percent_vaccinated
2020-12-16,1155,2582,na,na,0.027957206835403942,0.015118737127554712
2020-12-17,1347,3305,192,723,0.03260463862102953,0.019352217740731342
2020-12-18,1531,4020,184,715,0.03705842741558739,0.023538854861645992
2020-12-19,1646,4716,115,696,0.03984204541218605,0.02761423868843843
2020-12-20,1761,4831,115,115,0.042625663408784716,0.028287613889704417
2020-12-21,2110,5273,349,442,0.05107333889411456,0.03087571683717893
2020-12-22,2908,7229,798,1956,0.07038922725312093,0.04232895069523355
2020-12-23,3666,11171,758,3942,0.08873690065678863,0.0654110815073252
2020-12-26,4143,17316,477,6145,0.1002828639992022,0.1013927390010602
2020-12-27,4353,19643,210,2327,0.10536599251473018,0.1150183398127642
2020-12-28,5153,22500,800,2857,0.12473029162150348,0.13174732198682454
2020-12-29,6053,25315,900,2815,0.14651512811662346,0.1482303758265095
2020-12-30,6857,29250,804,3935,0.16597624871893055,0.17127151858287193
2021-01-02,6907,28762,50,-488,0.16718651741310392,0.16841406555489102
2021-01-03,6907,30473,0,1711,0.16718651741310392,0.17843271746242245
2021-01-04,7531,32763,624,2290,0.18229067071638708,0.1918416671224148
2021-01-05,9735,38984,2204,6221,0.2356393147555475,0.2282683377926386
2021-01-06,12722,48632,2987,9648,0.3079407665454623,0.284761589460589
2021-01-07,17809,62602,5087,13970,0.4310735034906569,0.3665620378230752
2021-01-08,21904,75123,4095,12521,0.5301945095434527,0.4398779586496099
2021-01-09,24280,84387,2376,9264,0.5877064778905694,0.4941227226889851
2021-01-10,26263,92452,1983,8065,0.6357057343014837,0.5413468183255957
2021-01-11,28600,99510,2337,7058,0.6922736930671453,0.5826744893737295
2021-01-12,30068,107365,1468,7855,0.7278071819280743,0.6286689433384631
2021-01-13,31669,115704,1601,8339,0.7665599855155043,0.6774974285850467
2021-01-14,34032,127073,2363,11369,0.8237572840021359,0.7440678865258559
2021-01-15,36162,137856,2130,10783,0.8753147303739198,0.807207058658475
2021-01-16,37593,146694,1431,8838,0.9099526204011605,0.8589574067348997
