date,sequenced,presumptive,new_sequenced,new_presumptive,new_cases
2021-02-14,11,0,0,0,728
2021-02-15,16,83,5,83,669
2021-02-16,16,135,0,52,800
2021-02-17,16,173,0,38,900
2021-02-18,16,236,0,63,800
2021-02-19,23,286,7,50,769
2021-02-20,23,329,0,43,728
2021-02-21,23,415,0,86,666
2021-02-22,23,484,0,69,739
2021-02-23,23,602,0,118,806
2021-02-24,34,772,11,170,858
2021-02-25,34,874,0,102,815
2021-02-26,34,984,0,110,858
2021-02-27,137,1083,103,99,737
2021-02-28,137,1134,0,51,613
2021-03-01,137,1095,0,98,588
2021-03-02,137,1220,0,125,729
2021-03-03,137,1353,0,133,707
2021-03-04,194,1462,57,109,798
2021-03-05,194,1576,0,114,749
2021-03-06,194,1700,0,124,707
2021-03-07,255,1732,61,32,579
2021-03-08,255,1543,0,-189,650
2021-03-09,335,1570,80,27,792
2021-03-10,341,1712,6,142,738
2021-03-11,343,1847,2,135,753
2021-03-12,343,1968,0,121,775
2021-03-13,343,2083,0,115,674
