date,hospitalisations,icu,hospitalisations (old),tests,hospitalisations_all
2020-02-27,,,0,,0
2020-02-28,,,0,,0
2020-02-29,,,0,,0
2020-03-01,,,0,,0
2020-03-02,,,0,,0
2020-03-03,,,0,,0
2020-03-04,,,0,,0
2020-03-05,,,0,,0
2020-03-06,,,0,,0
2020-03-07,,,0,,0
2020-03-08,,,0,353,0
2020-03-09,,,0,68,0
2020-03-10,,,0,145,0
2020-03-11,,,0,225,0
2020-03-12,,,0,377,0
2020-03-13,,,0,287,0
2020-03-14,,,0,695,0
2020-03-15,,0,2,811,2
2020-03-16,,0,5,1157,5
2020-03-17,,4,2,1459,2
2020-03-18,,4,3,2246,3
2020-03-19,,6,4,3597,4
2020-03-20,,10,9,3990,9
2020-03-21,,13,11,3995,11
2020-03-22,,20,25,4434,25
2020-03-23,,31,36,3952,36
2020-03-24,,35,43,4024,43
2020-03-25,,43,63,5394,63
2020-03-26,,50,91,5299,91
2020-03-27,,57,107,6119,107
2020-03-28,,72,120,5773,120
2020-03-29,,78,157,6856,157
2020-03-30,,82,204,7511,204
2020-03-31,,82,225,7569,225
2020-04-01,,96,269,6493,269
2020-04-02,,107,334,7182,334
2020-04-03,,130,348,7743,348
2020-04-04,,154,371,4990,371
2020-04-05,,164,369,3978,369
2020-04-06,,164,419,4805,419
2020-04-07,,181,451,5394,451
2020-04-08,,196,483,4968,483
2020-04-09,,186,547,5508,547
2020-04-10,,146,612,5267,612
2020-04-11,,156,634,6923,634
2020-04-12,,166,664,6230,664
2020-04-13,,161,730,7016,730
2020-04-14,,190,737,7174,737
2020-04-15,,187,788,6562,788
2020-04-16,,196,822,6707,822
2020-04-17,,193,879,6363,879
2020-04-18,,183,917,5898,917
2020-04-19,,198,970,5379,970
2020-04-20,,201,1022,6336,1022
2020-04-21,,199,1077,5963,1077
2020-04-22,,207,1203,8598,1203
2020-04-23,,227,1233,6600,1233
2020-04-24,,208,1297,7630,1297
2020-04-25,,204,1312,6339,1312
2020-04-26,,210,1328,7013,1328
2020-04-27,,217,1402,6413,1402
2020-04-28,,222,1423,7118,1423
2020-04-29,,213,1464,8801,1464
2020-04-30,,218,1491,8613,1491
2020-05-01,,222,1509,9672,1509
2020-05-02,,216,1532,7809,1532
2020-05-03,,217,1548,7955,1548
2020-05-04,,218,1599,6937,1599
2020-05-05,,213,1621,9117,1621
2020-05-06,,222,1605,9452,1605
2020-05-07,,206,1616,10033,1616
2020-05-08,,203,1623,10831,1623
2020-05-09,,198,1627,9042,1627
2020-05-10,,192,1640,8995,1640
2020-05-11,,184,1650,8981,1650
2020-05-12,,194,1672,11302,1672
2020-05-13,,190,1639,11363,1639
2020-05-14,,191,1627,13169,1627
2020-05-15,,185,1603,12054,1603
2020-05-16,,182,1580,13435,1580
2020-05-17,,176,1586,10203,1586
2020-05-18,,178,1599,9582,1599
2020-05-19,1359,183,,11608,1359
2020-05-20,1325,175,,12506,1325
2020-05-21,1305,171,,14572,1305
2020-05-22,1282,167,,15375,1282
2020-05-23,1262,170,,13533,1262
2020-05-24,1244,179,,12121,1244
2020-05-25,1220,181,,10112,1220
2020-05-26,1192,182,,12972,1192
2020-05-27,1150,177,,14949,1150
2020-05-28,1088,171,,13868,1088
2020-05-29,1027,165,,13853,1027
2020-05-30,1023,170,,12985,1023
2020-05-31,1019,161,,9458,1019
2020-06-01,1011,158,,9646,1011
2020-06-02,985,155,,12444,985
2020-06-03,932,144,,12490,932
2020-06-04,895,129,,10789,895
2020-06-05,849,127,,12657,849
2020-06-06,840,126,,9576,840
2020-06-07,857,119,,6924,857
2020-06-08,844,117,,7995,844
2020-06-09,797,117,,9676,797
2020-06-10,757,114,,9101,757
2020-06-11,733,107,,9493,733
2020-06-12,686,102,,9480,686
2020-06-13,684,85,,7079,684
2020-06-14,689,82,,5200,689
2020-06-15,641,77,,6812,641
2020-06-16,618,72,,8889,618
2020-06-17,572,65,,9803,572
2020-06-18,512,62,,9876,512
2020-06-19,467,62,,8290,467
2020-06-20,460,61,,7742,460
2020-06-21,463,57,,5880,463
2020-06-22,459,56,,6185,459
2020-06-23,448,52,,7917,448
2020-06-24,437,50,,8113,437
2020-06-25,430,48,,7323,430
2020-06-26,413,45,,9091,413
2020-06-27,412,43,,7788,412
2020-06-28,410,45,,5424,410
2020-06-29,397,38,,6770,397
2020-06-30,389,33,,8879,389
2020-07-01,379,32,,8681,379
2020-07-02,361,31,,7918,361
2020-07-03,348,27,,7919,348
2020-07-04,345,26,,6268,345
2020-07-05,352,25,,5318,352
2020-07-06,321,26,,7302,321
2020-07-07,304,27,,9279,304
2020-07-08,281,27,,10504,281
2020-07-09,293,24,,12034,293
2020-07-10,291,22,,11277,291
2020-07-11,286,20,,10118,286
2020-07-12,284,21,,8215,284
2020-07-13,274,21,,9660,274
2020-07-14,265,20,,12041,265
2020-07-15,257,20,,14383,257
2020-07-16,244,16,,14525,244
2020-07-17,233,15,,16466,233
2020-07-18,233,18,,13358,233
2020-07-19,234,17,,10834,234
2020-07-20,232,15,,11843,232
2020-07-21,219,16,,14310,219
2020-07-22,207,14,,16342,207
2020-07-23,208,12,,16953,208
2020-07-24,194,12,,15218,194
2020-07-25,187,10,,12774,187
2020-07-26,193,7,,10877,193
2020-07-27,185,8,,13498,185
2020-07-28,181,9,,15194,181
2020-07-29,190,18,,18255,190
2020-07-30,174,15,,17032,174
2020-07-31,159,18,,16733,159
2020-08-01,155,17,,13918,155
2020-08-02,154,18,,10325,154
2020-08-03,148,21,,12429,148
2020-08-04,148,19,,16293,148
2020-08-05,146,19,,16472,146
2020-08-06,133,19,,18077,133
2020-08-07,132,23,,16650,132
2020-08-08,134,22,,14636,134
2020-08-09,136,21,,9305,136
2020-08-10,130,21,,11649,130
2020-08-11,131,20,,16239,131
2020-08-12,126,23,,17137,126
2020-08-13,126,25,,17890,126
2020-08-14,124,25,,15765,124
2020-08-15,124,25,,11809,124
2020-08-16,120,25,,9762,120
2020-08-17,118,27,,12276,118
2020-08-18,120,26,,15783,120
2020-08-19,121,25,,17062,121
2020-08-20,113,23,,17833,113
2020-08-21,108,16,,14303,108
2020-08-22,103,14,,12096,103
2020-08-23,103,12,,8680,103
2020-08-24,106,12,,10773,106
2020-08-25,98,12,,15707,98
2020-08-26,100,15,,16197,100
2020-08-27,100,17,,16377,100
2020-08-28,100,17,,14098,100
2020-08-29,100,16,,11861,100
2020-08-30,94,18,,10236,94
2020-08-31,90,20,,11762,90
2020-09-01,86,20,,15891,86
2020-09-02,77,20,,17166,77
2020-09-03,81,18,,20219,81
2020-09-04,74,17,,17329,74
2020-09-05,81,18,,14050,81
2020-09-06,84,18,,12097,84
2020-09-07,87,15,,13663,87
2020-09-08,96,14,,17857,96
2020-09-09,104,12,,22961,104
2020-09-10,108,12,,24857,108
2020-09-11,106,16,,22180,106
2020-09-12,102,19,,21723,102
2020-09-13,102,19,,18360,102
2020-09-14,107,23,,21115,107
2020-09-15,101,26,,23823,101
2020-09-16,104,29,,27515,104
2020-09-17,103,30,,27165,103
2020-09-18,97,31,,30293,97
2020-09-19,104,31,,23090,104
2020-09-20,115,30,,22065,115
2020-09-21,137,28,,25634,137
2020-09-22,145,30,,27667,145
2020-09-23,153,31,,28523,153
2020-09-24,166,33,,30659,166
2020-09-25,172,45,,31242,172
2020-09-26,172,41,,25842,172
2020-09-27,171,37,,22718,171
2020-09-28,200,41,,25763,200
2020-09-29,209,43,,30549,209
2020-09-30,217,46,,31442,217
2020-10-01,236,49,,30762,236
2020-10-02,247,60,,30620,247
2020-10-03,251,64,,27184,251
2020-10-04,280,62,,21685,280
2020-10-05,310,67,,24124,310
2020-10-06,322,62,,30086,322
2020-10-07,331,68,,29573,331
2020-10-08,337,67,,31480,337
2020-10-09,342,73,,26886,342
2020-10-10,335,72,,21808,335
2020-10-11,350,75,,19646,350
2020-10-12,351,85,,18943,351
2020-10-13,375,80,,23386,375
2020-10-14,377,83,,29784,377
2020-10-15,381,87,,28028,381
2020-10-16,393,85,,24287,393
2020-10-17,404,88,,20595,404
2020-10-18,406,92,,17932,406
2020-10-19,429,100,,20202,429
2020-10-20,434,94,,26379,434
2020-10-21,413,101,,26288,413
2020-10-22,404,99,,26581,404
2020-10-23,421,93,,26032,421
2020-10-24,420,97,,21007,420
2020-10-25,416,93,,18578,416
2020-10-26,436,91,,19614,436
2020-10-27,437,89,,27010,437
2020-10-28,431,78,,26642,431
2020-10-29,434,81,,27993,434
2020-10-30,421,82,,25279,421
2020-10-31,412,84,,22487,412
2020-11-01,418,81,,17057,418
2020-11-02,441,85,,19597,441
2020-11-03,458,81,,25563,458
2020-11-04,456,82,,28925,456
2020-11-05,462,77,,29776,462
2020-11-06,445,78,,26951,445
2020-11-07,450,77,,21884,450
2020-11-08,464,76,,19848,464
2020-11-09,452,82,,21851,452
2020-11-10,489,84,,28078,489
2020-11-11,497,86,,28916,497
2020-11-12,498,85,,29846,498
2020-11-13,501,82,,29512,501
2020-11-14,498,89,,26864,498
2020-11-15,504,87,,21685,504
2020-11-16,538,100,,23289,538
2020-11-17,552,100,,30045,552
2020-11-18,550,101,,33422,550
2020-11-19,528,96,,31696,528
2020-11-20,547,99,,31469,547
2020-11-21,539,103,,26091,539
2020-11-22,536,98,,21378,536
2020-11-23,559,96,,21697,559
2020-11-24,562,93,,31323,562
2020-11-25,585,90,,32144,585
2020-11-26,579,90,,31484,579
2020-11-27,585,93,,28679,585
2020-11-28,573,92,,24064,573
2020-11-29,599,94,,21555,599
2020-11-30,621,98,,24081,621
2020-12-01,641,99,,33469,641
2020-12-02,638,99,,33582,638
2020-12-03,664,97,,36097,664
2020-12-04,658,96,,30974,658
2020-12-05,676,102,,31206,676
2020-12-06,713,105,,25279,713
2020-12-07,721,114,,27674,721
2020-12-08,723,121,,34484,723
2020-12-09,735,113,,36265,735
2020-12-10,748,123,,38716,748
2020-12-11,731,129,,38662,731
2020-12-12,757,123,,32572,757
2020-12-13,768,122,,25552,768
2020-12-14,834,125,,30984,834
2020-12-15,847,128,,38352,847
2020-12-16,868,134,,37128,868
2020-12-17,870,141,,39721,870
2020-12-18,863,142,,36362,863
2020-12-19,864,146,,32116,864
2020-12-20,902,146,,27322,902
2020-12-21,918,137,,33046,918
2020-12-22,925,142,,36991,925
2020-12-23,906,146,,40024,906
2020-12-24,820,138,,32837,820
2020-12-25,793,133,,25009,793
2020-12-26,936,149,,19679,936
2020-12-27,974,150,,20377,974
2020-12-28,983,148,,26114,983
2020-12-29,1059,152,,36496,1059
2020-12-30,1010,165,,36092,1010
2020-12-31,950,167,,30196,950
2021-01-01,909,166,,23471,909
2021-01-02,1046,179,,21865,1046
2021-01-03,1106,188,,21620,1106
2021-01-04,1123,194,,28487,1123
2021-01-05,1191,202,,36519,1191
2021-01-06,1178,202,,39258,1178
2021-01-07,1196,207,,38620,1196
2021-01-08,1186,206,,35547,1186
2021-01-09,1177,203,,28839,1177
2021-01-10,1225,211,,25858,1225
2021-01-11,1276,221,,28528,1276
2021-01-12,1287,229,,35797,1287
2021-01-13,1293,230,,38932,1293
2021-01-14,1265,231,,37291,1265
2021-01-15,1247,227,,35727,1247
2021-01-16,1245,215,,28594,1245
2021-01-17,1274,217,,22472,1274
2021-01-18,1288,212,,25104,1288
2021-01-19,1251,216,,35209,1251
2021-01-20,1237,216,,37072,1237
2021-01-21,1214,212,,39191,1214
2021-01-22,1167,216,,35042,1167
2021-01-23,1108,219,,28669,1108
2021-01-24,1104,217,,21835,1104
2021-01-25,1107,217,,28081,1107
2021-01-26,1069,221,,36075,1069
2021-01-27,1052,212,,37303,1052
2021-01-28,1008,209,,35428,1008
2021-01-29,962,201,,33039,962
2021-01-30,945,191,,27329,945
2021-01-31,961,183,,22387,961
2021-02-01,932,178,,26978,932
2021-02-02,929,177,,35094,929
2021-02-03,895,175,,32935,895
2021-02-04,872,168,,34315,872
2021-02-05,823,159,,33777,823
2021-02-06,805,158,,24529,805
2021-02-07,809,160,,19827,809
2021-02-08,795,145,,25318,795
2021-02-09,770,148,,33653,770
2021-02-10,731,143,,33188,731
2021-02-11,712,137,,34395,712
2021-02-12,682,130,,30749,682
2021-02-13,673,132,,24295,673
2021-02-14,668,136,,19063,668
2021-02-15,637,134,,25819,637
2021-02-16,636,130,,31558,636
2021-02-17,618,129,,30126,618
2021-02-18,596,127,,33068,596
2021-02-19,580,120,,27518,580
2021-02-20,567,119,,22701,567
2021-02-21,572,117,,19081,572
2021-02-22,560,120,,23554,560
2021-02-23,525,130,,34181,525
2021-02-24,511,122,,34787,511
2021-02-25,501,119,,32233,501
2021-02-26,487,112,,30695,487
2021-02-27,484,117,,23795,484
2021-02-28,490,122,,19073,490
2021-03-01,507,121,,21811,507
2021-03-02,498,120,,28595,498
2021-03-03,511,115,,27933,511
2021-03-04,506,111,,28566,506
2021-03-05,492,109,,25978,492
2021-03-06,485,107,,22372,485
2021-03-07,482,108,,18483,482
2021-03-08,466,110,,22398,466
2021-03-09,469,112,,29655,469
2021-03-10,452,111,,29175,452
2021-03-11,444,106,,29507,444
2021-03-12,445,106,,28466,445
2021-03-13,447,100,,23159,447
2021-03-14,457,96,,18232,457
2021-03-15,442,91,,23432,442
2021-03-16,425,107,,31945,425
2021-03-17,418,101,,33670,418
2021-03-18,405,99,,32943,405
2021-03-19,406,99,,31995,406
2021-03-20,399,102,,24609,399
2021-03-21,399,114,,21447,399
2021-03-22,406,113,,25675,406
2021-03-23,390,118,,35129,390
