date,sequenced,sequenced_mtl,presumptive,presumptive_total,presumptive_total_mtl,screened_total,new_sequenced,new_presumptive,new_screened,new_cases,new_cases_mtl
2021-02-14,11,12,0,na,na,na,0,0.0,na,728,316
2021-02-15,16,12,83,na,na,na,5,83.0,na,669,328
2021-02-16,16,12,135,na,na,na,0,52.0,na,800,383
2021-02-17,16,12,173,na,na,na,0,38.0,na,900,416
2021-02-18,16,12,236,na,na,na,0,63.0,na,800,353
2021-02-19,23,19,286,na,na,na,7,50.0,na,769,334
2021-02-20,23,19,329,na,na,na,0,43.0,na,728,330
2021-02-21,23,19,415,na,na,na,0,86.0,na,666,416
2021-02-22,23,19,484,na,na,na,0,69.0,na,739,360
2021-02-23,23,19,602,na,na,na,0,118.0,na,806,410
2021-02-24,34,29,772,na,na,na,11,170.0,na,858,384
2021-02-25,34,29,874,na,na,na,0,102.0,na,815,414
2021-02-26,34,29,984,na,na,na,0,110.0,na,858,352
2021-02-27,137,85,1083,na,na,na,103,99.0,na,737,317
2021-02-28,137,85,1134,na,na,9349.0,0,51.0,na,613,303
2021-03-01,137,85,1095,na,na,9951.0,0,98.0,602.0,588,256
2021-03-02,137,85,1220,1357.0,na,10709.0,0,125.0,758.0,729,338
2021-03-03,137,85,1353,1490.0,na,11559.0,0,133.0,850.0,707,319
2021-03-04,194,118,1462,1656.0,na,12327.0,57,166.0,768.0,798,345
2021-03-05,194,118,1576,1770.0,na,13035.0,0,114.0,708.0,749,338
2021-03-06,194,118,1700,1894.0,na,13821.0,0,124.0,786.0,707,329
2021-03-07,255,172,1732,1987.0,na,14319.0,61,93.0,498.0,579,276
2021-03-08,255,172,1543,1798.0,na,11973.0,0,-189.0,-2346.0,650,291
2021-03-09,335,193,1570,1905.0,na,12584.0,80,107.0,611.0,792,368
2021-03-10,341,195,1712,2053.0,1007.0,13371.0,6,148.0,787.0,738,341
2021-03-11,343,197,1847,2190.0,1082.0,14076.0,2,137.0,705.0,753,360
2021-03-12,343,197,1968,2311.0,1134.0,14790.0,0,121.0,714.0,775,354
2021-03-13,343,197,2083,2426.0,1178.0,15367.0,0,115.0,577.0,674,296
2021-03-14,343,197,2245,2588.0,1256.0,16021.0,0,162.0,654.0,594,247
2021-03-15,522,315,2179,2701.0,1339.0,16389.0,179,113.0,368.0,561,245
2021-03-16,541,327,2352,2893.0,1421.0,17176.0,19,192.0,787.0,703,316
2021-03-17,541,327,2548,3089.0,1536.0,17883.0,0,196.0,707.0,702,318
2021-03-18,541,327,2730,3271.0,1625.0,18565.0,0,182.0,682.0,764,317
2021-03-19,542,328,2949,3491.0,1726.0,19367.0,1,220.0,802.0,775,297
2021-03-20,542,328,3109,3651.0,1795.0,19873.0,0,160.0,506.0,648,264
2021-03-21,542,328,3373,3915.0,1921.0,20680.0,0,264.0,807.0,712,320
2021-03-22,704,463,3423,4127.0,1995.0,21276.0,162,212.0,596.0,656,240
2021-03-23,704,464,3664,4368.0,2101.0,21997.0,0,241.0,721.0,783,307
2021-03-24,704,464,3978,4682.0,2226.0,22854.0,0,314.0,857.0,945,351
2021-03-25,704,464,4453,5157.0,2369.0,23937.0,0,475.0,1083.0,950,313
2021-03-26,705,465,4860,5565.0,2544.0,24859.0,1,408.0,922.0,1009,367
2021-03-27,705,465,5413,6118.0,2686.0,26094.0,0,553.0,1235.0,917,280
2021-03-28,705,465,5775,6480.0,2746.0,26736.0,0,362.0,642.0,891,269
2021-03-29,1134,739,5814,6948.0,2874.0,27626.0,429,468.0,890.0,864,305
2021-03-30,1134,739,6341,7475.0,3008.0,28544.0,0,527.0,918.0,1025,348
2021-03-31,1139,743,6961,8100.0,3188.0,29597.0,5,625.0,1053.0,1271,393
2021-04-01,1139,743,7648,8787.0,3394.0,30786.0,0,687.0,1189.0,1314,388
2021-04-02,1592,994,7966,9558.0,3513.0,31981.0,453,771.0,1195.0,1282,361
2021-04-03,1592,994,8745,10337.0,3695.0,33204.0,0,779.0,1223.0,1154,302
2021-04-04,1592,994,9435,11027.0,3848.0,34328.0,0,690.0,1124.0,1252,348
2021-04-05,1592,994,10117,11709.0,3987.0,35369.0,0,682.0,1041.0,1168,300
2021-04-06,1592,994,10444,12036.0,4107.0,35977.0,0,327.0,608.0,1270,299
2021-04-07,1598,996,11579,13177.0,4278.0,37485.0,6,1141.0,1508.0,1609,370
2021-04-08,1598,996,12610,14208.0,4483.0,38940.0,0,1031.0,1455.0,1683,392
2021-04-09,1598,996,13847,15445.0,4636.0,40575.0,0,1237.0,1635.0,1754,428
2021-04-10,1598,996,14575,16173.0,5024.0,41780.0,0,728.0,1205.0,1535,330
2021-04-11,1614,1004,15102,16716.0,5159.0,42695.0,16,543.0,915.0,1599,358
2021-04-12,1614,1004,15830,17444.0,5282.0,43780.0,0,728.0,1085.0,1599,300
2021-04-13,1614,1004,16630,18244.0,5410.0,44908.0,0,800.0,1128.0,1559,313
2021-04-14,2476,1445,16751,19227.0,5688.0,46341.0,862,983.0,1433.0,1513,390
2021-04-15,2744,1616,17066,19810.0,5809.0,47175.0,268,583.0,834.0,1527,355
2021-04-16,2744,1616,18225,20969.0,6043.0,48733.0,0,1159.0,1558.0,1537,375
2021-04-17,2744,1616,19247,21991.0,6314.0,50176.0,0,1022.0,1443.0,1344,336
2021-04-18,2744,1616,20077,22821.0,6453.0,51301.0,0,830.0,1125.0,1092,287
2021-04-19,2744,1616,20769,23513.0,6647.0,52285.0,0,692.0,984.0,1136,224
2021-04-20,3443,1892,20917,24360.0,6826.0,53400.0,699,847.0,1115.0,1217,246
2021-04-21,3514,1960,21610,25124.0,6978.0,54405.0,71,764.0,1005.0,1248,307
2021-04-22,3574,1994,22189,25763.0,7157.0,na,60,639.0,na,1043,258
2021-04-23,3574,1994,23011,26585.0,7441.0,na,0,822.0,na,1106,291
2021-04-24,3574,1994,23527,27101.0,7558.0,na,0,516.0,na,1014,256
2021-04-25,3574,1994,24169,27743.0,7717.0,na,0,642.0,na,889,223
2021-04-26,3574,1994,24899,28473.0,7804.0,na,0,730.0,na,899,195
2021-04-27,3593,2001,25563,29156.0,7978.0,na,19,683.0,na,1094,294
2021-04-28,3593,2001,26448,30041.0,8184.0,na,0,885.0,na,1042,273
2021-04-29,3963,2140,26716,30679.0,8374.0,na,370,638.0,na,1041,297
2021-04-30,3963,2140,27555,31518.0,8618.0,na,0,839.0,na,1101,308
2021-05-01,3963,2140,28207,32170.0,8784.0,na,0,652.0,na,1006,277
2021-05-02,4230,2278,28408,32638.0,8883.0,na,267,468.0,na,798,206
2021-05-03,4230,2278,29010,33240.0,9044.0,na,0,602.0,na,797,190
2021-05-04,4240,2283,29624,33864.0,9206.0,na,10,624.0,na,915,255
2021-05-05,4240,2283,30275,34515.0,9381.0,na,0,651.0,na,907,212
2021-05-06,4549,2447,30693,35242.0,9625.0,na,309,727.0,na,919,194
2021-05-07,4549,2447,31405,35954.0,9790.0,na,0,712.0,na,958,204
2021-05-08,4549,2447,32043,36592.0,9972.0,na,0,638.0,na,960,282
2021-05-09,4549,2447,32545,37094.0,10100.0,na,0,502.0,na,662,189
2021-05-10,5310,2754,32211,37521.0,10183.0,na,761,427.0,na,660,168
2021-05-11,5315,2757,32832,38147.0,10406.0,na,5,626.0,na,745,205
2021-05-12,5534,2886,33257,38791.0,10636.0,na,219,644.0,na,781,202
