date,Regroupement,Croisement,Nom,new_doses_1d,new_doses_2d,total_doses_1d,total_doses_2d,new_doses,total_doses,perc_1d,perc_2d,cvac_cum_tot_ade_p,per_quo_1_n,per_quo_2_n,per_cum_1_n,per_cum_2_n,vac_quo_tot_m
2020-12-14,Région,RSS06,06 - Montréal,145,0,145,0,145,145,0.007041746999999999,0.0,0.00232999,136.0,0.0,136.0,0.0,
2020-12-15,Région,RSS06,06 - Montréal,360,0,505,0,360,505,0.025319222000000002,0.0,0.0057473080000000005,353.0,0.0,489.0,0.0,
2020-12-16,Région,RSS06,06 - Montréal,283,0,788,0,283,788,0.039972268,0.0,0.007093524,283.0,0.0,772.0,0.0,
2020-12-17,Région,RSS06,06 - Montréal,275,0,1063,0,275,1063,0.054211094,0.0,0.00802552,275.0,0.0,1047.0,0.0,
2020-12-18,Région,RSS06,06 - Montréal,138,0,1201,0,138,1201,0.061356395999999994,0.0,0.009061071,138.0,0.0,1185.0,0.0,
2020-12-19,Région,RSS06,06 - Montréal,80,0,1281,0,80,1281,0.0654986,0.0,0.009630624,80.0,0.0,1265.0,0.0,
2020-12-20,Région,RSS06,06 - Montréal,78,0,1359,0,78,1359,0.06953724900000001,0.0,0.010303732,78.0,0.0,1343.0,0.0,
2020-12-21,Région,RSS06,06 - Montréal,319,0,1678,0,319,1678,0.08574362099999999,0.0,0.014135271000000001,313.0,0.0,1656.0,0.0,
2020-12-22,Région,RSS06,06 - Montréal,570,0,2248,0,570,2248,0.11422127300000001,0.0,0.02366234,550.0,0.0,2206.0,0.0,
2020-12-23,Région,RSS06,06 - Montréal,475,0,2723,0,475,2723,0.138246056,0.0,0.02682077,464.0,0.0,2670.0,0.0,
2020-12-24,Région,RSS06,06 - Montréal,194,0,2917,0,194,2917,0.148187346,0.0,0.028477652000000003,192.0,0.0,2862.0,0.0,
2020-12-25,Région,RSS06,06 - Montréal,0,0,2917,0,0,2917,0.148187346,0.0,0.028477652000000003,0.0,0.0,2862.0,0.0,
2020-12-26,Région,RSS06,06 - Montréal,225,0,3142,0,225,3142,0.159837294,0.0,0.030652309,225.0,0.0,3087.0,0.0,
2020-12-27,Région,RSS06,06 - Montréal,193,0,3335,0,193,3335,0.169830361,0.0,0.031739638,193.0,0.0,3280.0,0.0,
2020-12-28,Région,RSS06,06 - Montréal,591,0,3926,0,591,3926,0.20048267,0.0,0.036813837,592.0,0.0,3872.0,0.0,
2020-12-29,Région,RSS06,06 - Montréal,544,0,4470,0,544,4470,0.228908545,0.0,0.040179377999999995,549.0,0.0,4421.0,0.0,
2020-12-30,Région,RSS06,06 - Montréal,574,0,5044,0,574,5044,0.258732413,0.0,0.044735802000000005,576.0,0.0,4997.0,0.0,
2020-12-31,Région,RSS06,06 - Montréal,38,0,5082,0,38,5082,0.260855293,0.0,0.044891135,41.0,0.0,5038.0,0.0,
2021-01-01,Région,RSS06,06 - Montréal,6,0,5088,0,6,5088,0.261269513,0.0,0.04499469,8.0,0.0,5046.0,0.0,
2021-01-02,Région,RSS06,06 - Montréal,12,0,5100,0,12,5100,0.26225328600000003,0.0,0.04499469,19.0,0.0,5065.0,0.0,
2021-01-03,Région,RSS06,06 - Montréal,13,0,5113,0,13,5113,0.26318528199999996,0.0,0.04499469,18.0,0.0,5083.0,0.0,
2021-01-04,Région,RSS06,06 - Montréal,576,1,5689,1,577,5690,0.292698485,0.0,0.055194867,570.0,0.0,5653.0,0.0,
2021-01-05,Région,RSS06,06 - Montréal,1912,0,7601,1,1912,7602,0.39029916600000003,0.0,0.081238975,1885.0,0.0,7538.0,0.0,
2021-01-06,Région,RSS06,06 - Montréal,2712,2,10313,3,2714,10316,0.529114775,5.17775e-05,0.11297861199999999,2681.0,1.0,10219.0,1.0,
2021-01-07,Région,RSS06,06 - Montréal,4099,0,14412,3,4099,14415,0.737415855,0.000103555,0.16941614100000002,4023.0,1.0,14242.0,2.0,
2021-01-08,Région,RSS06,06 - Montréal,3773,1,18185,4,3774,18189,0.9315298870000001,0.00015533299999999998,0.218294147,3749.0,1.0,17991.0,3.0,
