date,Regroupement,Croisement,Nom,new_doses_1d,new_doses_2d,total_doses_1d,total_doses_2d,new_doses,total_doses,perc_1d,perc_2d,cvac_cum_tot_ade_p,per_quo_1_n,per_quo_2_n,per_cum_1_n,per_cum_2_n,vac_quo_tot_m
2020-12-14,Région,RSS99,Ensemble du Québec,291,0,291,0,291,291,0.003023751,0.0,0.0005529816999999999,257.0,0.0,257.0,0.0,
2020-12-15,Région,RSS99,Ensemble du Québec,1171,0,1462,0,1171,1462,0.0163423743,0.0,0.0017648351999999998,1132.0,0.0,1389.0,0.0,
2020-12-16,Région,RSS99,Ensemble du Québec,950,0,2412,0,950,2412,0.0277314443,0.0,0.0025648939000000003,968.0,0.0,2357.0,0.0,
2020-12-17,Région,RSS99,Ensemble du Québec,906,0,3318,0,906,3318,0.0386145949,0.0,0.0032472968,925.0,0.0,3282.0,0.0,697.0
2020-12-18,Région,RSS99,Ensemble du Québec,727,0,4045,0,727,4045,0.0473917088,0.0,0.0042356046,746.0,0.0,4028.0,0.0,728.0
2020-12-19,Région,RSS99,Ensemble du Québec,720,0,4765,0,720,4765,0.055909980199999994,0.0,0.0049650698,724.0,0.0,4752.0,0.0,850.0
2020-12-20,Région,RSS99,Ensemble du Québec,115,0,4880,0,115,4880,0.0573453795,0.0,0.0051415533,122.0,0.0,4874.0,0.0,1251.0
2020-12-21,Région,RSS99,Ensemble du Québec,507,0,5387,0,507,5387,0.0632987571,0.0,0.0062004545,506.0,0.0,5380.0,0.0,1554.0
2020-12-22,Région,RSS99,Ensemble du Québec,2024,0,7411,0,2024,7411,0.086300443,0.0,0.0101066231,1955.0,0.0,7335.0,0.0,1450.0
2020-12-23,Région,RSS99,Ensemble du Québec,3760,0,11171,0,3760,11171,0.1303271993,0.0,0.0148952094,3742.0,0.0,11077.0,0.0,1794.0
2020-12-24,Région,RSS99,Ensemble du Québec,3024,0,14195,0,3024,14195,0.1654003582,0.0,0.0177189458,2981.0,0.0,14058.0,0.0,2104.0
2020-12-25,Région,RSS99,Ensemble du Québec,0,0,14195,0,0,14195,0.1655062483,0.0,0.0177189458,9.0,0.0,14067.0,0.0,2391.0
2020-12-26,Région,RSS99,Ensemble du Québec,3131,0,17326,0,3131,17326,0.2020853999,0.0,0.021130960499999997,3109.0,0.0,17176.0,0.0,2440.0
2020-12-27,Région,RSS99,Ensemble du Québec,2282,0,19608,0,2282,19608,0.22904031670000002,0.0,0.023766447799999996,2291.0,0.0,19467.0,0.0,2342.0
2020-12-28,Région,RSS99,Ensemble du Québec,2517,0,22125,0,2517,22125,0.25888956329999996,0.0,0.0272137593,2537.0,0.0,22004.0,0.0,1959.0
2020-12-29,Région,RSS99,Ensemble du Québec,2364,0,24489,0,2364,24489,0.2873387073,0.0,0.0299904334,2418.0,0.0,24422.0,0.0,1960.0
2020-12-30,Région,RSS99,Ensemble du Québec,3076,0,27565,0,3076,27565,0.32414140469999997,0.0,0.0337789464,3128.0,0.0,27550.0,0.0,1604.0
2020-12-31,Région,RSS99,Ensemble du Québec,345,0,27910,0,345,27910,0.3285181961,0.0,0.0339318988,372.0,0.0,27922.0,0.0,1498.0
2021-01-01,Région,RSS99,Ensemble du Québec,8,0,27918,0,8,27918,0.32904764670000003,0.0,0.0339554299,45.0,0.0,27967.0,0.0,1533.0
2021-01-02,Région,RSS99,Ensemble du Québec,634,0,28552,0,634,28552,0.3370129364,0.0,0.034743723,677.0,0.0,28644.0,0.0,2048.0
2021-01-03,Région,RSS99,Ensemble du Québec,1539,0,30091,0,1539,30091,0.35567312759999997,0.0,0.0362379501,1586.0,0.0,30230.0,0.0,3144.0
2021-01-04,Région,RSS99,Ensemble du Québec,2762,0,32853,0,2762,32853,0.38849906289999997,1.17656e-05,0.040508851400000004,2790.0,1.0,33020.0,1.0,5061.0
2021-01-05,Région,RSS99,Ensemble du Québec,5971,1,38824,1,5972,38825,0.4581512268,9.41245e-05,0.050968441600000004,5920.0,7.0,38940.0,8.0,6975.0
2021-01-06,Région,RSS99,Ensemble du Québec,10743,2,49567,3,10745,49570,0.5825721109,0.0003059048,0.06451061059999999,10575.0,18.0,49515.0,26.0,8139.0
2021-01-07,Région,RSS99,Ensemble du Québec,13766,1,63333,4,13767,63337,0.7397248056999999,0.0005529816999999999,0.0866651756,13357.0,21.0,62872.0,47.0,8929.0
2021-01-08,Région,RSS99,Ensemble du Québec,13406,2,76739,6,13408,76745,0.8947361670999999,0.0007765275,0.10512535210000001,13175.0,19.0,76047.0,66.0,9585.0
2021-01-09,Région,RSS99,Ensemble du Québec,8782,1,85521,7,8783,85528,0.9970613140000001,0.0008118242,0.1155731767,8697.0,3.0,84744.0,69.0,9873.0
2021-01-10,Région,RSS99,Ensemble du Québec,7064,1,92585,8,7065,92593,1.0801850536,0.000870652,0.1223854407,7065.0,5.0,91809.0,74.0,9647.0
2021-01-11,Région,RSS99,Ensemble du Québec,7355,1,99940,9,7356,99949,1.1661089983,0.0009883077000000001,0.1311154923,7303.0,10.0,99112.0,84.0,9373.0
2021-01-12,Région,RSS99,Ensemble du Québec,7983,5,107923,14,7988,107937,1.2599864672,0.0011294946,0.1380924743,7979.0,12.0,107091.0,96.0,9057.0
2021-01-13,Région,RSS99,Ensemble du Québec,9155,5,117078,19,9160,117097,1.3681355704,0.0012236191,0.1463754343,9192.0,8.0,116283.0,104.0,9012.0
2021-01-14,Région,RSS99,Ensemble du Québec,11849,2,128927,21,11851,128948,1.5080752388999998,0.0013412748000000002,0.1561643871,11894.0,10.0,128177.0,114.0,9022.0
2021-01-15,Région,RSS99,Ensemble du Québec,11187,7,140114,28,11194,140142,1.641214409,0.0018589598000000001,0.16469442410000001,11316.0,44.0,139493.0,158.0,9492.0
2021-01-16,Région,RSS99,Ensemble du Québec,8462,5,148576,33,8467,148609,1.7415158782,0.0023648792,0.17167140600000003,8525.0,43.0,148018.0,201.0,9830.0
2021-01-17,Région,RSS99,Ensemble du Québec,7141,0,155717,33,7141,155750,1.8240513393,0.0024354726,0.1781424686,7015.0,6.0,155033.0,207.0,10162.0
2021-01-18,Région,RSS99,Ensemble du Québec,10633,8,166350,41,10641,166391,1.9476486334999998,0.0027884396999999996,0.1878372968,10505.0,30.0,165538.0,237.0,10438.0
2021-01-19,Région,RSS99,Ensemble du Québec,10352,2,176702,43,10354,176745,2.0707164772,0.0029413921,0.1966379418,10460.0,13.0,175998.0,250.0,10544.0
2021-01-20,Région,RSS99,Ensemble du Québec,11481,4,188183,47,11485,188230,2.2096325413,0.0031296411,0.2056150704,11807.0,16.0,187805.0,266.0,10551.0
2021-01-21,Région,RSS99,Ensemble du Québec,13773,13,201956,60,13786,202016,2.3770683428,0.0036355606,0.2151569462,14231.0,43.0,202036.0,309.0,9828.0
2021-01-22,Région,RSS99,Ensemble du Québec,11928,6,213884,66,11934,213950,2.5185728319,0.0040826522,0.22322812600000003,12027.0,38.0,214063.0,347.0,8951.0
2021-01-23,Région,RSS99,Ensemble du Québec,8513,4,222397,70,8517,222467,2.6192390336,0.0041885423,0.22906384789999998,8556.0,9.0,222619.0,356.0,8061.0
2021-01-24,Région,RSS99,Ensemble du Québec,2080,2,224477,72,2082,224549,2.6440761482,0.004341494699999999,0.2305345439,2111.0,13.0,224730.0,369.0,6961.0
