date,mtl_doses,qc_doses,mtl_new_doses,qc_new_doses,mtl_percent_vaccinated,qc_percent_vaccinated,qc_new_doses_received,qc_doses_received,qc_percent_used
2020-12-14,0.0000,0,0.0000,0.0000,0.0000,0.0000,4875,4875,0.0000
2020-12-15,0.0000,0,0.0000,0.0000,0.0000,0.0000,0,4875,0.0000
2020-12-16,1155.0000,2582,0.0000,0.0000,0.0559,0.0302,0,4875,52.9641
2020-12-17,1347.0000,3305,192.0000,723.0000,0.0652,0.0387,0,4875,67.7949
2020-12-18,1531.0000,4020,184.0000,715.0000,0.0741,0.0471,0,4875,82.4615
2020-12-19,1646.0000,4716,115.0000,696.0000,0.0797,0.0552,0,4875,96.7385
2020-12-20,1761.0000,4831,115.0000,115.0000,0.0853,0.0566,0,4875,99.0974
2020-12-21,2110.0000,5273,349.0000,442.0000,0.1021,0.0618,49725,54600,9.6575
2020-12-22,2908.0000,7229,798.0000,1956.0000,0.1408,0.0847,0,54600,13.2399
2020-12-23,3666.0000,11171,758.0000,3942.0000,0.1775,0.1308,0,54600,20.4597
2020-12-24,3666.0000,11171,0.0000,0.0000,0.1775,0.1308,0,54600,20.4597
2020-12-25,3666.0000,11171,0.0000,0.0000,0.1775,0.1308,0,54600,20.4597
2020-12-26,4143.0000,17316,477.0000,6145.0000,0.2006,0.2028,0,54600,31.7143
2020-12-27,4353.0000,19643,210.0000,2327.0000,0.2107,0.2300,0,54600,35.9762
2020-12-28,5153.0000,22500,800.0000,2857.0000,0.2495,0.2635,1400,56000,40.1786
2020-12-29,6053.0000,25315,900.0000,2815.0000,0.2930,0.2965,0,56000,45.2054
2020-12-30,6857.0000,29250,804.0000,3935.0000,0.3320,0.3425,32075,88075,33.2103
2020-12-31,6857.0000,29250,0.0000,0.0000,0.3320,0.3425,0,88075,33.2103
2021-01-01,6857.0000,29250,0.0000,0.0000,0.3320,0.3425,0,88075,33.2103
2021-01-02,6907.0000,28762,50.0000,-488.0000,0.3344,0.3368,0,88075,32.6563
2021-01-03,6907.0000,30473,0.0000,1711.0000,0.3344,0.3569,0,88075,34.5989
2021-01-04,7531.0000,32763,624.0000,2290.0000,0.3646,0.3837,0,88075,37.1990
2021-01-05,9735.0000,38984,2204.0000,6221.0000,0.4713,0.4565,0,88075,44.2623
2021-01-06,12722.0000,48632,2987.0000,9648.0000,0.6159,0.5695,26070,114145,42.6055
2021-01-07,17809.0000,62602,5087.0000,13970.0000,0.8621,0.7331,0,114145,54.8443
2021-01-08,21904.0000,75123,4095.0000,12521.0000,1.0604,0.8798,1230,115375,65.1120
2021-01-09,24280.0000,84387,2376.0000,9264.0000,1.1754,0.9882,0,115375,73.1415
2021-01-10,26263.0000,92452,1983.0000,8065.0000,1.2714,1.0827,0,115375,80.1317
2021-01-11,28600.0000,99510,2337.0000,7058.0000,1.3845,1.1654,0,115375,86.2492
2021-01-12,30068.0000,107365,1468.0000,7855.0000,1.4556,1.2573,40950,156325,68.6806
2021-01-13,31669.0000,115704,1601.0000,8339.0000,1.5331,1.3550,5850,162175,71.3452
2021-01-14,34032.0000,127073,2363.0000,11369.0000,1.6475,1.4881,0,162175,78.3555
2021-01-15,36162.0000,137856,2130.0000,10783.0000,1.7506,1.6144,10610,172785,79.7847
2021-01-16,37593.0000,146694,1431.0000,8838.0000,1.8199,1.7179,23390,196175,74.7771
2021-01-17,38822.0000,153539,1229.0000,6845.0000,1.8794,1.7981,0,196175,78.2663
2021-01-18,40224.0000,164053,1402.0000,10514.0000,1.9473,1.9212,24375,220550,74.3836
2021-01-19,41685.0000,174260,1461.0000,10207.0000,2.0180,2.0407,16575,237125,73.4887
2021-01-20,43610.0000,186210,1925.0000,11950.0000,2.1112,2.1807,975,238100,78.2066
2021-01-21,45987.0000,200627,2377.0000,14417.0000,2.2263,2.3495,0,238100,84.2617
2021-01-22,48768.0000,210252,2781.0000,9625.0000,2.3609,2.4622,0,238100,88.3041
2021-01-23,50265.0000,218755,1497.0000,8503.0000,2.4334,2.5618,0,238100,91.8753
2021-01-24,50957.0000,220715,692.0000,1960.0000,2.4669,2.5848,0,238100,92.6984
2021-01-25,51758.0000,224879,801.0000,4164.0000,2.5056,2.6335,0,238100,94.4473
2021-01-26,52879.0000,229219,1121.0000,4340.0000,2.5599,2.6843,0,238100,96.2701
2021-01-27,53841.0000,232986,962.0000,3767.0000,2.6065,2.7285,0,238100,97.8522
2021-01-28,54667.0000,236057,826.0000,3071.0000,2.6465,2.7644,0,238100,99.1420
2021-01-29,54787.0000,238143,120.0000,2086.0000,2.6523,2.7889,0,238100,100.0180
2021-01-30,54787.0000,238227,0.0000,84.0000,2.6523,2.7898,0,238100,100.0530
2021-01-31,54787.0000,239023,0.0000,796.0000,2.6523,2.7992,0,238100,100.3880
2021-02-01,56799.0000,240830,2012.0000,1807.0000,2.7497,2.8203,18525,256625,93.8451
2021-02-02,56832.0000,241546,33.0000,716.0000,2.7513,2.8287,0,256625,94.1241
2021-02-03,59063.0000,243955,2231.0000,2409.0000,2.8593,2.8569,0,256625,95.0628
2021-02-04,63411.0000,248673,4348.0000,4718.0000,3.0698,2.9122,0,256625,96.9013
2021-02-05,68178.0000,253904,4767.0000,5231.0000,3.3005,2.9734,38200,294825,86.1202
2021-02-06,70627.0000,256550,2449.0000,2646.0000,3.4191,3.0044,0,294825,87.0177
2021-02-07,71446.0000,259188,819.0000,2638.0000,3.4588,3.0353,0,294825,87.9125
2021-02-08,72265.0000,262594,819.0000,3406.0000,3.4984,3.0752,0,294825,89.0678
2021-02-09,72771.0000,266590,506.0000,3996.0000,3.5229,3.1220,15600,310425,85.8790
2021-02-10,74119.0000,272332,1348.0000,5742.0000,3.5882,3.1892,0,310425,87.7288
2021-02-11,76091.0000,280612,1972.0000,8280.0000,3.6836,3.2862,0,310425,90.3961
2021-02-12,78333.0000,290953,2242.0000,10341.0000,3.7922,3.4073,0,310425,93.7273
2021-02-13,78685.0000,293944,352.0000,2991.0000,3.8092,3.4423,0,310425,94.6908
2021-02-14,78750.0000,294886,65.0000,942.0000,3.8123,3.4534,0,310425,94.9943
2021-02-15,79499.0000,297694,749.0000,2808.0000,3.8486,3.4863,0,310425,95.8988
