date,Regroupement,Croisement,Nom,new_doses_1d,new_doses_2d,vac_quo_3_n,total_doses_1d,total_doses_2d,vac_cum_3_n,new_doses,total_doses,perc_1d,perc_2d,cvac_cum_tot_ade_p,per_quo_1_n,per_quo_2_n,per_cum_1_n,per_cum_2_n,vac_quo_tot_m
2020-12-14,Région,RSS99,Ensemble du Québec,294,0,0,294,0,0,294,294,0.0029637827,0.0,0.0005600849,254.0,0.0,254.0,0.0,
2020-12-15,Région,RSS99,Ensemble du Québec,1173,0,0,1467,0,0,1173,1467,0.0161374467,0.0,0.0017502654000000001,1129.0,0.0,1383.0,0.0,
2020-12-16,Région,RSS99,Ensemble du Québec,949,0,0,2416,0,0,949,2416,0.0274558294,0.0,0.002543719,970.0,0.0,2353.0,0.0,
2020-12-17,Région,RSS99,Ensemble du Québec,911,0,0,3327,0,0,911,3327,0.0383658169,0.0,0.0032204883,935.0,0.0,3288.0,0.0,698.0
2020-12-18,Région,RSS99,Ensemble du Québec,727,0,0,4054,0,0,727,4054,0.0472805018,0.0,0.0042006369,764.0,0.0,4052.0,0.0,730.0
2020-12-19,Région,RSS99,Ensemble du Québec,720,0,0,4774,0,0,720,4774,0.0557517862,0.0,0.0049240798999999995,726.0,0.0,4778.0,0.0,851.0
2020-12-20,Région,RSS99,Ensemble du Québec,115,0,0,4889,0,0,115,4889,0.057245345999999996,0.0,0.0050991064,128.0,0.0,4906.0,0.0,1253.0
2020-12-21,Région,RSS99,Ensemble du Québec,512,0,0,5401,0,0,512,5401,0.0632895958,0.0,0.0061375972,518.0,0.0,5424.0,0.0,1555.0
2020-12-22,Région,RSS99,Ensemble du Québec,2025,0,0,7426,0,0,2025,7426,0.08578634,0.0,0.009906502,1928.0,0.0,7352.0,0.0,1451.0
2020-12-23,Région,RSS99,Ensemble du Québec,3761,0,0,11187,0,0,3761,11187,0.1294729636,0.0,0.014573876299999998,3744.0,0.0,11096.0,0.0,1796.0
2020-12-24,Région,RSS99,Ensemble du Québec,3025,0,0,14212,0,0,3025,14212,0.1640348704,0.0,0.0173743009,2962.0,0.0,14058.0,0.0,2106.0
2020-12-25,Région,RSS99,Ensemble du Québec,0,0,0,14212,0,0,0,14212,0.1641748916,0.0,0.0173743009,12.0,0.0,14070.0,0.0,2392.0
2020-12-26,Région,RSS99,Ensemble du Québec,3132,0,0,17344,0,0,3132,17344,0.20033537420000003,0.0,0.0207698157,3099.0,0.0,17169.0,0.0,2441.0
2020-12-27,Région,RSS99,Ensemble du Québec,2284,0,0,19628,0,0,2284,19628,0.2271961134,0.0,0.0233835453,2302.0,0.0,19471.0,0.0,2342.0
2020-12-28,Région,RSS99,Ensemble du Québec,2519,1,0,22147,1,0,2520,22148,0.2570323037,0.0,0.026802397000000002,2557.0,0.0,22028.0,0.0,1959.0
2020-12-29,Région,RSS99,Ensemble du Québec,2364,0,0,24511,1,0,2364,24512,0.2856199714,0.0,0.029579484700000002,2450.0,0.0,24478.0,0.0,1961.0
2020-12-30,Région,RSS99,Ensemble du Québec,3070,0,0,27581,1,0,3070,27582,0.32231720199999997,0.0,0.033360057900000004,3145.0,0.0,27623.0,0.0,1604.0
2020-12-31,Région,RSS99,Ensemble du Québec,346,0,0,27927,1,0,346,27928,0.3269612394,0.0,0.033511747599999996,398.0,0.0,28021.0,0.0,1498.0
2021-01-01,Région,RSS99,Ensemble du Québec,8,0,0,27935,1,0,8,27936,0.3277780299,0.0,0.0335350845,70.0,0.0,28091.0,0.0,1533.0
2021-01-02,Région,RSS99,Ensemble du Québec,635,0,0,28570,1,0,635,28571,0.335864256,0.0,0.0343168697,693.0,0.0,28784.0,0.0,2048.0
2021-01-03,Région,RSS99,Ensemble du Québec,1542,0,0,30112,1,0,1542,30113,0.3546504376,0.0,0.035810429500000004,1610.0,0.0,30394.0,0.0,3146.0
2021-01-04,Région,RSS99,Ensemble du Québec,2763,0,0,32875,1,0,2763,32876,0.38740373689999996,1.16684e-05,0.0399527242,2807.0,1.0,33201.0,1.0,5066.0
2021-01-05,Région,RSS99,Ensemble du Québec,5972,1,0,38847,2,0,5973,38849,0.4557574338,0.0001050159,0.0500109158,5858.0,8.0,39059.0,9.0,6980.0
2021-01-06,Région,RSS99,Ensemble du Québec,10754,1,0,49601,3,0,10755,49604,0.5781126515,0.0003500531,0.0631495745,10486.0,21.0,49545.0,30.0,8145.0
2021-01-07,Région,RSS99,Ensemble du Québec,13782,1,0,63383,4,0,13783,63387,0.7307357917,0.0006300955000000001,0.08460782800000001,13080.0,24.0,62625.0,54.0,8933.0
