date,Regroupement,Croisement,Nom,new_doses_1d,new_doses_2d,vac_quo_3_n,total_doses_1d,total_doses_2d,vac_cum_3_n,new_doses,total_doses,perc_1d,perc_2d,cvac_cum_tot_ade_p,per_quo_1_n,per_quo_2_n,per_cum_1_n,per_cum_2_n,vac_quo_tot_m
2020-12-14,Région,RSS06,06 - Montréal,143,0,0,143,0,0,143,143,0.0065828349,0.0,0.0023657063,128.0,0.0,128.0,0.0,
2020-12-15,Région,RSS06,06 - Montréal,359,0,0,502,0,0,359,502,0.0248913447,0.0,0.005759980600000001,356.0,0.0,484.0,0.0,
2020-12-16,Région,RSS06,06 - Montréal,286,0,0,788,0,0,286,788,0.0399598653,0.0,0.0070971189,293.0,0.0,777.0,0.0,
2020-12-17,Région,RSS06,06 - Montréal,282,0,0,1070,0,0,282,1070,0.055079814299999995,0.0,0.0080228301,294.0,0.0,1071.0,0.0,
2020-12-18,Région,RSS06,06 - Montréal,140,0,0,1210,0,0,140,1210,0.0631540728,0.0,0.009102826500000001,157.0,0.0,1228.0,0.0,
2020-12-19,Région,RSS06,06 - Montréal,79,0,0,1289,0,0,79,1289,0.0675254866,0.0,0.0096685388,85.0,0.0,1313.0,0.0,
2020-12-20,Région,RSS06,06 - Montréal,80,0,0,1369,0,0,80,1369,0.0719483289,0.0,0.0102856796,86.0,0.0,1399.0,0.0,
2020-12-21,Région,RSS06,06 - Montréal,321,0,0,1690,0,0,321,1690,0.088251131,0.0,0.013937095900000002,317.0,0.0,1716.0,0.0,
2020-12-22,Région,RSS06,06 - Montréal,571,0,0,2261,0,0,571,2261,0.1157138956,0.0,0.0227313519,534.0,0.0,2250.0,0.0,
2020-12-23,Région,RSS06,06 - Montréal,476,0,0,2737,0,0,476,2737,0.1401423847,0.0,0.025714199,475.0,0.0,2725.0,0.0,
2020-12-24,Région,RSS06,06 - Montréal,189,0,0,2926,0,0,189,2926,0.1501194939,0.0,0.0271541942,194.0,0.0,2919.0,0.0,
2020-12-25,Région,RSS06,06 - Montréal,0,0,0,2926,0,0,0,2926,0.1507366347,0.0,0.0271541942,12.0,0.0,2931.0,0.0,
2020-12-26,Région,RSS06,06 - Montréal,223,0,0,3149,0,0,223,3149,0.1624623094,0.0,0.0292627585,228.0,0.0,3159.0,0.0,
2020-12-27,Région,RSS06,06 - Montréal,195,0,0,3344,0,0,195,3344,0.17331370140000002,0.0,0.0303427548,211.0,0.0,3370.0,0.0,
2020-12-28,Région,RSS06,06 - Montréal,587,0,0,3931,0,0,587,3931,0.205302165,0.0,0.0351770243,622.0,0.0,3992.0,0.0,
2020-12-29,Région,RSS06,06 - Montréal,560,0,0,4491,0,0,560,4491,0.23636491739999999,0.0,0.0386227269,604.0,0.0,4596.0,0.0,
2020-12-30,Région,RSS06,06 - Montréal,564,0,0,5055,0,0,564,5055,0.2672733846,0.0,0.043251282800000006,601.0,0.0,5197.0,0.0,
2020-12-31,Région,RSS06,06 - Montréal,39,0,0,5094,0,0,39,5094,0.2705133737,0.0,0.0434055679,63.0,0.0,5260.0,0.0,
