date,0d,1d,2d
2021-07-18,1,1,1
2021-07-19,0,1,0
2021-07-20,4,0,0
2021-07-21,4,0,1
2021-07-22,0,0,1
2021-07-23,2,0,1
2021-07-24,2,0,1
2021-07-25,3,0,2
2021-07-26,2,0,0
2021-07-27,3,2,0
2021-07-28,2,0,0
2021-07-29,5,0,0
2021-07-30,2,0,2
2021-07-31,0,0,2
2021-08-01,1,1,1
2021-08-02,0,1,0
2021-08-03,6,0,2
2021-08-04,2,0,1
2021-08-05,2,0,2
2021-08-06,2,1,0
2021-08-07,1,1,0
2021-08-08,4,0,6
2021-08-09,4,1,6
2021-08-10,7,2,6
2021-08-11,8,0,4
2021-08-12,4,2,3
2021-08-13,1,2,4
2021-08-14,2,2,1
2021-08-15,3,3,2
2021-08-16,7,1,2
2021-08-17,5,3,1
2021-08-18,8,0,4
2021-08-19,5,1,0
2021-08-20,9,1,4
2021-08-21,11,0,3
2021-08-22,13,0,2
2021-08-23,13,0,1
2021-08-24,11,1,5
2021-08-25,24,1,4
2021-08-26,13,2,4
2021-08-27,10,1,6
2021-08-28,7,3,2
2021-08-29,9,1,0
2021-08-30,16,0,6
2021-08-31,21,0,5
2021-09-01,14,0,8
2021-09-02,18,1,7
2021-09-03,17,2,5
2021-09-04,20,1,6
2021-09-05,18,1,7
2021-09-06,7,0,7
2021-09-07,17,2,7
2021-09-08,16,2,5
2021-09-09,23,1,8
2021-09-10,19,2,9
2021-09-11,22,2,11
2021-09-12,12,0,10
2021-09-13,18,2,7
2021-09-14,26,1,10
2021-09-15,33,2,3
2021-09-16,25,2,13
2021-09-17,25,1,8
2021-09-18,22,1,7
2021-09-19,20,0,4
2021-09-20,21,1,12
2021-09-21,19,2,8
2021-09-22,25,1,10
2021-09-23,31,2,8
2021-09-24,23,4,10
2021-09-25,17,1,17
2021-09-26,18,1,10
2021-09-27,17,1,6
2021-09-28,25,0,15
2021-09-29,17,4,16
2021-09-30,12,0,9
2021-10-01,14,1,18
2021-10-02,12,3,13
2021-10-03,13,1,10
2021-10-04,13,1,10
2021-10-05,15,1,9
2021-10-06,21,1,10
2021-10-07,10,2,7
2021-10-08,8,1,8
2021-10-09,14,3,7
2021-10-10,9,1,7
2021-10-11,9,3,8
2021-10-12,13,2,10
2021-10-13,21,1,11
2021-10-14,13,0,12
2021-10-15,17,2,10
2021-10-16,11,1,9
2021-10-17,9,1,10
2021-10-18,8,0,4
2021-10-19,7,0,13
2021-10-20,10,0,8
2021-10-21,8,1,15
2021-10-22,9,2,13
2021-10-23,8,0,7
2021-10-24,11,0,9
2021-10-25,7,2,1
2021-10-26,14,2,14
2021-10-27,9,2,7
2021-10-28,4,2,8
2021-10-29,6,0,15
2021-10-30,8,0,12
2021-10-31,10,1,9
2021-11-01,9,0,9
2021-11-02,8,1,9
2021-11-03,9,1,18
2021-11-04,5,0,12
2021-11-05,11,0,10
2021-11-06,11,0,6
2021-11-07,4,0,7
2021-11-08,6,0,19
2021-11-09,12,1,14
2021-11-10,3,1,10
2021-11-11,12,1,12
2021-11-12,5,1,19
2021-11-13,11,0,7
2021-11-14,15,1,8
2021-11-15,7,0,9
2021-11-16,11,1,15
2021-11-17,13,1,17
2021-11-18,11,0,14
2021-11-19,15,1,18
2021-11-20,11,2,14
2021-11-21,5,0,8
2021-11-22,12,1,18
2021-11-23,9,0,26
2021-11-24,6,1,21
2021-11-25,11,1,24
2021-11-26,19,3,24
2021-11-27,13,0,26
2021-11-28,11,0,20
2021-11-29,12,0,18
2021-11-30,11,1,30
2021-12-01,7,1,31
2021-12-02,7,0,24
2021-12-03,17,0,32
2021-12-04,12,1,28
2021-12-05,19,0,23
2021-12-06,12,2,24
2021-12-07,16,3,29
2021-12-08,9,4,42
2021-12-09,17,2,43
2021-12-10,16,1,46
2021-12-11,18,0,44
2021-12-12,19,0,42
2021-12-13,26,2,62
2021-12-14,26,5,50
2021-12-15,21,4,52
2021-12-16,28,1,66
2021-12-17,28,4,73
2021-12-18,26,0,53
2021-12-19,27,0,53
2021-12-20,34,2,63
2021-12-21,43,2,103
2021-12-22,34,4,103
2021-12-23,33,6,102
2021-12-24,36,2,95
2021-12-25,39,3,87
2021-12-26,46,6,92
2021-12-27,47,5,123
2021-12-28,61,4,136
2021-12-29,68,9,200
2021-12-30,82,6,189
2021-12-31,68,3,180
2022-01-01,68,6,170
2022-01-02,84,11,174
2022-01-03,77,6,164
2022-01-04,78,11,219
2022-01-05,94,11,214
2022-01-06,89,10,248
2022-01-07,94,12,224
2022-01-08,74,9,188
2022-01-09,71,9,203
2022-01-10,84,8,219
2022-01-11,112,12,206
2022-01-12,85,10,213
2022-01-13,90,12,201
2022-01-14,100,6,229
2022-01-15,81,6,160
2022-01-16,47,8,107
