date,0d,1d,2d
2021-07-18,42,17,6
2021-07-19,49,23,6
2021-07-20,65,30,11
2021-07-21,63,24,15
2021-07-22,71,38,16
2021-07-23,74,28,13
2021-07-24,48,25,9
2021-07-25,45,16,8
2021-07-26,63,32,15
2021-07-27,91,35,10
2021-07-28,90,30,12
2021-07-29,70,22,9
2021-07-30,151,43,27
2021-07-31,99,25,24
2021-08-01,90,30,14
2021-08-02,123,43,28
2021-08-03,129,38,26
2021-08-04,177,56,34
2021-08-05,206,56,33
2021-08-06,173,60,36
2021-08-07,154,49,46
2021-08-08,170,32,34
2021-08-09,189,53,54
2021-08-10,221,89,50
2021-08-11,281,81,61
2021-08-12,275,87,62
2021-08-13,274,87,42
2021-08-14,269,62,37
2021-08-15,246,50,58
2021-08-16,263,66,49
2021-08-17,287,62,64
2021-08-18,350,79,63
2021-08-19,372,95,75
2021-08-20,356,80,91
2021-08-21,278,55,60
2021-08-22,229,64,58
2021-08-23,292,76,68
2021-08-24,415,60,99
2021-08-25,431,93,105
2021-08-26,436,98,106
2021-08-27,382,73,70
2021-08-28,361,67,92
2021-08-29,263,44,96
2021-08-30,407,54,100
2021-08-31,482,65,133
2021-09-01,540,63,129
2021-09-02,519,91,142
2021-09-03,449,73,143
2021-09-04,462,60,123
2021-09-05,347,52,106
2021-09-06,398,44,120
2021-09-07,487,39,124
2021-09-08,552,58,171
2021-09-09,660,65,210
2021-09-10,635,73,215
2021-09-11,452,57,189
2021-09-12,435,40,138
2021-09-13,442,38,160
2021-09-14,545,46,159
2021-09-15,598,48,189
2021-09-16,578,65,198
2021-09-17,563,47,183
2021-09-18,463,38,208
2021-09-19,446,32,159
2021-09-20,431,27,140
2021-09-21,468,31,158
2021-09-22,505,51,206
2021-09-23,498,30,199
2021-09-24,560,45,180
2021-09-25,427,19,165
2021-09-26,333,24,123
2021-09-27,338,19,140
2021-09-28,407,26,167
2021-09-29,465,38,213
2021-09-30,391,25,183
2021-10-01,397,34,168
2021-10-02,312,25,117
2021-10-03,274,16,133
2021-10-04,319,19,121
2021-10-05,332,21,156
2021-10-06,380,24,181
2021-10-07,452,25,184
2021-10-08,394,22,190
2021-10-09,383,25,150
2021-10-10,280,11,125
2021-10-11,276,18,151
2021-10-12,385,26,167
2021-10-13,423,13,180
2021-10-14,459,25,221
2021-10-15,444,25,215
2021-10-16,293,18,165
2021-10-17,229,13,103
2021-10-18,267,12,113
2021-10-19,287,13,147
2021-10-20,287,14,114
2021-10-21,242,14,147
2021-10-22,310,20,152
2021-10-23,259,7,127
2021-10-24,182,6,130
2021-10-25,248,12,143
2021-10-26,257,19,170
2021-10-27,284,24,154
2021-10-28,358,23,175
2021-10-29,359,25,234
2021-10-30,314,9,188
2021-10-31,300,9,193
2021-11-01,277,16,180
2021-11-02,335,12,181
2021-11-03,355,27,229
2021-11-04,391,21,227
2021-11-05,386,18,232
2021-11-06,370,19,225
2021-11-07,274,16,164
2021-11-08,315,10,196
2021-11-09,492,27,217
2021-11-10,427,17,234
2021-11-11,430,29,254
2021-11-12,467,23,240
2021-11-13,348,13,199
2021-11-14,300,11,176
2021-11-15,338,18,205
2021-11-16,451,15,282
2021-11-17,449,13,297
2021-11-18,392,17,336
2021-11-19,462,25,331
2021-11-20,380,24,286
2021-11-21,396,21,276
2021-11-22,426,16,263
2021-11-23,547,20,328
2021-11-24,581,24,413
2021-11-25,704,17,436
2021-11-26,581,13,419
2021-11-27,432,12,359
2021-11-28,399,19,323
2021-11-29,480,21,397
2021-11-30,683,19,497
2021-12-01,714,28,544
2021-12-02,767,27,612
2021-12-03,796,30,645
2021-12-04,721,23,568
2021-12-05,572,14,524
2021-12-06,647,21,541
2021-12-07,829,24,699
2021-12-08,943,32,928
2021-12-09,1004,36,930
2021-12-10,1023,49,1048
2021-12-11,821,27,840
2021-12-12,736,46,788
2021-12-13,899,71,1211
2021-12-14,1071,80,1592
2021-12-15,1206,117,2093
2021-12-16,1247,129,2627
2021-12-17,1298,168,2850
2021-12-18,1239,222,3203
2021-12-19,1009,228,3124
2021-12-20,1292,274,4565
2021-12-21,1518,343,6125
2021-12-22,1878,441,8669
2021-12-23,1792,441,9731
2021-12-24,1712,406,8881
2021-12-25,1675,400,8435
2021-12-26,1579,457,8587
2021-12-27,2007,528,10285
2021-12-28,2368,625,12016
2021-12-29,2934,840,14579
2021-12-30,2833,805,14344
2021-12-31,2672,765,12739
2022-01-01,2502,736,12106
2022-01-02,2329,687,11898
2022-01-03,2314,607,10793
2022-01-04,2820,743,13354
2022-01-05,3150,786,13947
2022-01-06,2815,687,12540
2022-01-07,2168,570,9727
2022-01-08,1779,391,7608
2022-01-09,1415,294,6272
2022-01-10,1579,290,6371
2022-01-11,1187,258,5555
2022-01-12,1112,239,5562
2022-01-13,1001,210,4869
2022-01-14,1001,201,4491
2022-01-15,673,172,3915
2022-01-16,635,139,3233
2022-01-17,808,162,3613
2022-01-18,858,192,4292
2022-01-19,780,160,3916
2022-01-20,762,171,3654
2022-01-21,706,156,3160
