date,0d,1d,2d,3d
2021-07-18,38,17,6,0
2021-07-19,41,23,6,0
2021-07-20,52,29,11,0
2021-07-21,43,24,15,0
2021-07-22,59,38,16,0
2021-07-23,60,28,13,0
2021-07-24,37,25,9,0
2021-07-25,39,16,8,0
2021-07-26,48,32,14,0
2021-07-27,78,35,10,0
2021-07-28,74,30,12,0
2021-07-29,60,22,9,0
2021-07-30,130,43,27,0
2021-07-31,86,25,24,0
2021-08-01,80,30,14,0
2021-08-02,98,43,28,0
2021-08-03,106,38,26,0
2021-08-04,151,56,34,0
2021-08-05,167,57,33,0
2021-08-06,140,60,36,0
2021-08-07,141,49,46,0
2021-08-08,156,32,34,0
2021-08-09,158,52,54,0
2021-08-10,193,89,50,0
2021-08-11,241,81,61,0
2021-08-12,243,87,62,0
2021-08-13,220,87,42,0
2021-08-14,244,61,36,0
2021-08-15,226,50,58,0
2021-08-16,236,66,49,0
2021-08-17,253,62,64,0
2021-08-18,313,79,63,0
2021-08-19,339,97,74,0
2021-08-20,302,80,92,0
2021-08-21,232,54,60,0
2021-08-22,208,64,58,0
2021-08-23,243,76,68,1
2021-08-24,362,61,99,0
2021-08-25,388,92,105,0
2021-08-26,403,100,107,0
2021-08-27,347,73,70,0
2021-08-28,333,67,92,0
2021-08-29,243,44,96,0
2021-08-30,370,55,100,0
2021-08-31,447,65,132,1
2021-09-01,498,64,128,1
2021-09-02,483,91,142,0
2021-09-03,407,72,143,0
2021-09-04,435,60,123,0
2021-09-05,319,52,105,0
2021-09-06,367,44,120,0
2021-09-07,456,39,125,0
2021-09-08,536,58,171,0
2021-09-09,618,66,208,1
2021-09-10,597,73,214,0
2021-09-11,427,56,190,0
2021-09-12,414,40,138,0
2021-09-13,418,38,160,0
2021-09-14,518,46,157,0
2021-09-15,562,49,189,0
2021-09-16,549,65,197,3
2021-09-17,535,47,182,0
2021-09-18,430,38,208,0
2021-09-19,426,32,159,0
2021-09-20,410,27,138,2
2021-09-21,444,31,158,0
2021-09-22,485,50,206,0
2021-09-23,481,30,198,1
2021-09-24,536,45,179,1
2021-09-25,412,19,165,0
2021-09-26,312,24,123,0
2021-09-27,319,19,139,1
2021-09-28,383,26,166,1
2021-09-29,443,38,211,2
2021-09-30,376,25,183,1
2021-10-01,378,34,168,0
2021-10-02,292,25,117,0
2021-10-03,262,17,131,1
2021-10-04,304,19,119,2
2021-10-05,323,21,155,0
2021-10-06,366,25,179,1
2021-10-07,432,25,184,1
2021-10-08,376,21,189,1
2021-10-09,362,25,148,1
2021-10-10,270,11,125,0
2021-10-11,266,17,151,0
2021-10-12,364,26,165,2
2021-10-13,401,13,179,0
2021-10-14,438,25,221,0
2021-10-15,421,26,214,0
2021-10-16,286,18,164,1
2021-10-17,222,13,104,0
2021-10-18,256,11,112,1
2021-10-19,270,13,146,0
2021-10-20,282,13,114,0
2021-10-21,231,14,147,0
2021-10-22,298,20,151,1
2021-10-23,242,7,128,1
2021-10-24,170,6,128,3
2021-10-25,234,12,141,2
2021-10-26,248,19,166,3
2021-10-27,262,24,154,0
2021-10-28,350,23,171,3
2021-10-29,344,24,233,2
2021-10-30,298,9,185,3
2021-10-31,292,9,193,1
2021-11-01,273,16,177,3
2021-11-02,327,12,179,1
2021-11-03,340,27,225,4
2021-11-04,378,21,224,2
2021-11-05,369,18,222,9
2021-11-06,349,19,220,3
2021-11-07,259,16,160,4
2021-11-08,299,9,193,4
2021-11-09,459,26,213,5
2021-11-10,400,17,229,5
2021-11-11,404,30,250,3
2021-11-12,442,23,237,5
2021-11-13,321,13,196,2
2021-11-14,283,11,176,1
2021-11-15,325,17,199,6
2021-11-16,432,15,277,5
2021-11-17,433,13,292,4
2021-11-18,369,17,325,11
2021-11-19,449,25,331,1
2021-11-20,355,25,285,2
2021-11-21,374,21,271,3
2021-11-22,415,16,257,6
2021-11-23,528,20,321,8
2021-11-24,556,24,412,4
2021-11-25,675,18,429,6
2021-11-26,557,13,410,8
2021-11-27,414,12,353,5
2021-11-28,379,18,322,2
2021-11-29,458,21,393,6
2021-11-30,658,20,485,13
2021-12-01,688,28,538,6
2021-12-02,734,25,603,13
2021-12-03,757,30,640,8
2021-12-04,688,23,566,4
2021-12-05,557,14,516,9
2021-12-06,624,20,530,11
2021-12-07,800,24,683,16
2021-12-08,898,32,913,15
2021-12-09,959,35,914,20
2021-12-10,993,49,1034,16
2021-12-11,782,27,822,19
2021-12-12,705,45,771,16
2021-12-13,829,71,1187,25
2021-12-14,984,79,1562,32
2021-12-15,1115,118,2054,48
2021-12-16,1117,130,2587,47
2021-12-17,1180,168,2793,62
2021-12-18,1104,224,3138,71
2021-12-19,878,228,3049,81
2021-12-20,1107,276,4470,109
2021-12-21,1297,341,5979,162
2021-12-22,1526,439,8464,249
2021-12-23,1391,445,9450,342
2021-12-24,1284,411,8593,353
2021-12-25,1278,402,8145,344
2021-12-26,1189,460,8228,436
2021-12-27,1504,533,9753,596
2021-12-28,1739,624,11265,831
2021-12-29,2215,848,13458,1184
2021-12-30,2146,811,12968,1430
2021-12-31,1994,768,11443,1373
2022-01-01,1922,738,10818,1327
2022-01-02,1791,689,10752,1212
2022-01-03,1730,608,9581,1262
2022-01-04,2036,747,11868,1573
