date,Regroupement,Croisement,Nom,new_doses_1d,new_doses_2d,new_doses_3d,total_doses_1d,total_doses_2d,total_doses_3d,new_doses,total_doses,perc_1d,perc_2d,cvac_cum_tot_ade_p,per_quo_1_n,per_quo_2_n,per_cum_1_n,per_cum_2_n,vac_quo_tot_m
2020-12-14,Région,RSS99,Ensemble du Québec,293,0,0,293,0,0,293,293,0.0027161041,0.0,0.0005107204,234.0,0.0,234.0,0.0,
2020-12-15,Région,RSS99,Ensemble du Québec,1174,0,0,1467,0,0,1174,1467,0.0155537585,0.0,0.001601805,1106.0,0.0,1340.0,0.0,
2020-12-16,Région,RSS99,Ensemble du Québec,949,0,0,2416,0,0,949,2416,0.0268128225,0.0,0.0024027075,970.0,0.0,2310.0,0.0,
2020-12-17,Région,RSS99,Ensemble du Québec,904,0,0,3320,0,0,904,3320,0.0376075952,0.0,0.0030759299,930.0,0.0,3240.0,0.0,697.0
2020-12-18,Région,RSS99,Ensemble du Québec,725,0,0,4045,0,0,725,4045,0.0464639517,0.0,0.0040625489,763.0,0.0,4003.0,0.0,728.0
2020-12-19,Région,RSS99,Ensemble du Québec,718,0,0,4763,0,0,718,4763,0.0548676242,0.0,0.0047938077,724.0,0.0,4727.0,0.0,849.0
2020-12-20,Région,RSS99,Ensemble du Québec,114,0,0,4877,0,0,114,4877,0.056341749,0.0,0.0049679169,127.0,0.0,4854.0,0.0,1251.0
2020-12-21,Région,RSS99,Ensemble du Québec,510,0,0,5387,0,0,510,5387,0.0621802121,0.0,0.0059429286,503.0,0.0,5357.0,0.0,1554.0
2020-12-22,Région,RSS99,Ensemble du Québec,2024,0,0,7411,0,0,2024,7411,0.0832010006,0.0,0.0093438624,1811.0,0.0,7168.0,0.0,1450.0
2020-12-23,Région,RSS99,Ensemble du Québec,3759,0,0,11170,0,0,3759,11170,0.1259390146,0.0,0.013847488,3682.0,0.0,10850.0,0.0,1795.0
2020-12-24,Région,RSS99,Ensemble du Québec,3025,0,0,14195,0,0,3025,14195,0.1598438867,0.0,0.0165984139,2921.0,0.0,13771.0,0.0,2105.0
2020-12-25,Région,RSS99,Ensemble du Québec,0,0,0,14195,0,0,0,14195,0.1599831741,0.0,0.0165984139,12.0,0.0,13783.0,0.0,2391.0
2020-12-26,Région,RSS99,Ensemble du Québec,3132,0,0,17327,0,0,3132,17327,0.1957219968,0.0,0.0199877404,3079.0,0.0,16862.0,0.0,2439.0
2020-12-27,Région,RSS99,Ensemble du Québec,2284,0,0,19611,0,0,2284,19611,0.2224651755,0.0,0.0225877717,2304.0,0.0,19166.0,0.0,2340.0
2020-12-28,Région,RSS99,Ensemble du Québec,2514,1,0,22125,1,0,2515,22126,0.2520753531,0.0,0.0259887054,2551.0,0.0,21717.0,0.0,1957.0
2020-12-29,Région,RSS99,Ensemble du Québec,2359,0,0,24484,1,0,2359,24485,0.2804783733,0.0,0.0287512386,2447.0,0.0,24164.0,0.0,1959.0
2020-12-30,Région,RSS99,Ensemble du Québec,3066,0,0,27550,1,0,3066,27551,0.316960062,0.0,0.0325236054,3143.0,0.0,27307.0,0.0,1602.0
2020-12-31,Région,RSS99,Ensemble du Québec,345,0,0,27895,1,0,345,27896,0.3216494041,0.0,0.0326745001,404.0,0.0,27711.0,0.0,1496.0
2021-01-01,Région,RSS99,Ensemble du Québec,9,0,0,27904,1,0,9,27905,0.3225547722,0.0,0.0326977147,78.0,0.0,27789.0,0.0,1534.0
2021-01-02,Région,RSS99,Ensemble du Québec,635,0,0,28539,1,0,635,28540,0.3307030844,0.0,0.0334870099,702.0,0.0,28491.0,0.0,2051.0
2021-01-03,Région,RSS99,Ensemble du Québec,1545,0,0,30084,1,0,1545,30085,0.3495997403,0.0,0.0349959566,1628.0,0.0,30119.0,0.0,3150.0
2021-01-04,Région,RSS99,Ensemble du Québec,2782,0,0,32866,1,0,2782,32867,0.3820653093,1.16073e-05,0.0389076108,2797.0,1.0,32916.0,1.0,5068.0
2021-01-05,Région,RSS99,Ensemble du Québec,5975,1,0,38841,2,0,5976,38843,0.4480411028,0.0001044655,0.0483443314,5684.0,8.0,38600.0,9.0,6981.0
2021-01-06,Région,RSS99,Ensemble du Québec,10754,1,0,49595,3,0,10755,49598,0.5664934202,0.0003482185,0.0606480508,10205.0,21.0,48805.0,30.0,8146.0
2021-01-07,Région,RSS99,Ensemble du Québec,13773,1,0,63368,4,0,13774,63372,0.7118978476,0.0006616151,0.0807402568,12527.0,27.0,61332.0,57.0,8938.0
2021-01-08,Région,RSS99,Ensemble du Québec,13399,2,0,76767,6,0,13401,76773,0.8575808497,0.000986619,0.0973154561,12551.0,28.0,73883.0,85.0,9595.0
2021-01-09,Région,RSS99,Ensemble du Québec,8789,1,0,85556,7,0,8790,85563,0.9556159573,0.0011142991,0.1069030714,8446.0,11.0,82329.0,96.0,9887.0
2021-01-10,Région,RSS99,Ensemble du Québec,7087,2,0,92643,9,0,7089,92652,1.0361008538,0.0011723355,0.1132406476,6934.0,5.0,89263.0,101.0,9662.0
2021-01-11,Région,RSS99,Ensemble du Québec,7379,1,0,100022,10,0,7380,100032,1.1183036282,0.0014160885,0.1214586036,7082.0,21.0,96345.0,122.0,9388.0
2021-01-12,Région,RSS99,Ensemble du Québec,8014,4,0,108036,14,0,8018,108050,1.2088868605,0.0016250195,0.1279354672,7804.0,18.0,104149.0,140.0,9080.0
2021-01-13,Région,RSS99,Ensemble du Québec,9175,5,0,117211,19,0,9180,117230,1.3136077628,0.0018455579,0.1357935974,9022.0,19.0,113171.0,159.0,9032.0
2021-01-14,Région,RSS99,Ensemble du Québec,11858,2,0,129069,21,0,11860,129090,1.4491692146,0.0020428817,0.145183889,11679.0,17.0,124850.0,176.0,9040.0
2021-01-15,Région,RSS99,Ensemble du Québec,11236,6,0,140305,27,0,11242,140332,1.5804940083,0.0027161041,0.153610776,11314.0,58.0,136164.0,234.0,9506.0
2021-01-16,Région,RSS99,Ensemble du Québec,8452,5,0,148757,32,0,8457,148789,1.6775192823,0.0035634357,0.1604126435,8359.0,73.0,144523.0,307.0,9840.0
2021-01-17,Région,RSS99,Ensemble du Québec,7139,1,0,155896,33,0,7140,155929,1.755914868,0.0036911158,0.1663207503,6754.0,11.0,151277.0,318.0,10168.0
