date,Regroupement,Croisement,Nom,new_doses_1d,new_doses_2d,new_doses_3d,total_doses_1d,total_doses_2d,total_doses_3d,new_doses,total_doses,perc_1d,perc_2d,cvac_cum_tot_ade_p,per_quo_1_n,per_quo_2_n,per_cum_1_n,per_cum_2_n,vac_quo_tot_m
2020-12-14,Région,RSS06,06 - Montréal,143,0,0,143,0,0,143,143,0.0058731512,0.0,0.0021449769,115.0,0.0,115.0,0.0,
2020-12-15,Région,RSS06,06 - Montréal,377,0,0,520,0,0,377,520,0.0241054552,0.0,0.0050560171,357.0,0.0,472.0,0.0,
2020-12-16,Région,RSS06,06 - Montréal,311,0,0,831,0,0,311,831,0.040345995,0.0,0.0064349308,318.0,0.0,790.0,0.0,
2020-12-17,Région,RSS06,06 - Montréal,296,0,0,1127,0,0,296,1127,0.0559226133,0.0,0.0073031358,305.0,0.0,1095.0,0.0,
2020-12-18,Région,RSS06,06 - Montréal,143,0,0,1270,0,0,143,1270,0.064145025,0.0,0.0083756243,161.0,0.0,1256.0,0.0,
2020-12-19,Région,RSS06,06 - Montréal,84,0,0,1354,0,0,84,1354,0.068792475,0.0,0.0089884748,91.0,0.0,1347.0,0.0,
2020-12-20,Région,RSS06,06 - Montréal,80,0,0,1434,0,0,80,1434,0.0732867124,0.0,0.0096013254,88.0,0.0,1435.0,0.0,
2020-12-21,Région,RSS06,06 - Montréal,320,0,0,1754,0,0,320,1754,0.0890165434,0.0,0.0129209326,308.0,0.0,1743.0,0.0,
2020-12-22,Région,RSS06,06 - Montréal,576,0,0,2330,0,0,576,2330,0.1141944871,0.0,0.0206837063,493.0,0.0,2236.0,0.0,
2020-12-23,Région,RSS06,06 - Montréal,478,0,0,2808,0,0,478,2808,0.1379935171,0.0,0.0233904629,466.0,0.0,2702.0,0.0,
2020-12-24,Région,RSS06,06 - Montréal,187,0,0,2995,0,0,187,2995,0.1476969842,0.0,0.0248204476,190.0,0.0,2892.0,0.0,
2020-12-25,Région,RSS06,06 - Montréal,0,0,0,2995,0,0,0,2995,0.1483098348,0.0,0.0248204476,12.0,0.0,2904.0,0.0,
2020-12-26,Région,RSS06,06 - Montréal,220,0,0,3215,0,0,220,3215,0.1599029245,0.0,0.0269143536,227.0,0.0,3131.0,0.0,
2020-12-27,Région,RSS06,06 - Montréal,200,0,0,3415,0,0,200,3415,0.171138518,0.0,0.028037913,220.0,0.0,3351.0,0.0,
2020-12-28,Région,RSS06,06 - Montréal,586,0,0,4001,0,0,586,4001,0.2028535343,0.0,0.0328385757,621.0,0.0,3972.0,0.0,
2020-12-29,Région,RSS06,06 - Montréal,550,0,0,4551,0,0,550,4551,0.2335982039,0.0,0.0362092537,602.0,0.0,4574.0,0.0,
2020-12-30,Région,RSS06,06 - Montréal,563,0,0,5114,0,0,563,5114,0.2645471571,0.0,0.0408567038,606.0,0.0,5180.0,0.0,
2020-12-31,Région,RSS06,06 - Montréal,38,0,0,5152,0,0,38,5152,0.2677646225,0.0,0.0410099164,63.0,0.0,5243.0,0.0,
2021-01-01,Région,RSS06,06 - Montréal,6,0,0,5158,0,0,6,5158,0.2695010324,0.0,0.0411120582,34.0,0.0,5277.0,0.0,
2021-01-02,Région,RSS06,06 - Montréal,15,0,0,5173,0,0,15,5173,0.2713395841,0.0,0.0411631291,36.0,0.0,5313.0,0.0,
2021-01-03,Région,RSS06,06 - Montréal,15,0,0,5188,0,0,15,5188,0.2737399154,0.0,0.0411631291,47.0,0.0,5360.0,0.0,
2021-01-04,Région,RSS06,06 - Montréal,575,0,0,5763,0,0,575,5763,0.3030035295,0.0,0.0495387533,573.0,0.0,5933.0,0.0,
2021-01-05,Région,RSS06,06 - Montréal,1897,0,0,7660,0,0,1897,7660,0.3965653812,0.0001532126,0.0725717201,1832.0,3.0,7765.0,3.0,
2021-01-06,Région,RSS06,06 - Montréal,2735,1,0,10395,1,0,2736,10396,0.5290943141,0.0005107088,0.1004053496,2595.0,7.0,10360.0,10.0,
2021-01-07,Région,RSS06,06 - Montréal,4125,0,0,14520,1,0,4125,14521,0.7205079714,0.000868205,0.1501994573,3748.0,7.0,14108.0,17.0,
2021-01-08,Région,RSS06,06 - Montréal,3795,1,0,18315,2,0,3796,18317,0.9021160198,0.0014299846,0.1922307913,3556.0,11.0,17664.0,28.0,
2021-01-09,Région,RSS06,06 - Montréal,2049,0,0,20364,2,0,2049,20366,1.0031342199,0.0018385517,0.211484513,1978.0,8.0,19642.0,36.0,
2021-01-10,Région,RSS06,06 - Montréal,1415,1,0,21779,3,0,1416,21782,1.0755527274,0.0020428352,0.2242011621,1418.0,4.0,21060.0,40.0,
2021-01-11,Région,RSS06,06 - Montréal,1616,1,0,23395,4,0,1617,23399,1.1579811273,0.0026556857,0.2394202842,1614.0,12.0,22674.0,52.0,
2021-01-12,Région,RSS06,06 - Montréal,1117,2,0,24512,6,0,1119,24518,1.2195726082,0.0032174654,0.2450891519,1206.0,11.0,23880.0,63.0,
2021-01-13,Région,RSS06,06 - Montréal,1311,0,0,25823,6,0,1311,25829,1.2919911157,0.003830316,0.2505026651,1418.0,12.0,25298.0,75.0,
2021-01-14,Région,RSS06,06 - Montréal,1904,1,0,27727,7,0,1905,27734,1.3943371587,0.0044431665,0.2621468257,2004.0,12.0,27302.0,87.0,
2021-01-15,Région,RSS06,06 - Montréal,1814,1,0,29541,8,0,1815,29549,1.4915250429,0.0052092297,0.2699095994,1903.0,15.0,29205.0,102.0,
2021-01-16,Région,RSS06,06 - Montréal,1139,3,0,30680,11,0,1142,30691,1.5517376101,0.0057710094,0.2761402468,1179.0,11.0,30384.0,113.0,
2021-01-17,Région,RSS06,06 - Montréal,944,1,0,31624,12,0,945,31636,1.6004081585,0.0063327891,0.2821155397,953.0,11.0,31337.0,124.0,
2021-01-18,Région,RSS06,06 - Montréal,1092,5,0,32716,17,0,1097,32733,1.657505402,0.0079670572,0.29258507,1118.0,32.0,32455.0,156.0,
2021-01-19,Région,RSS06,06 - Montréal,1328,0,0,34044,17,0,1328,34061,1.7284939249,0.0092949001,0.3003989146,1390.0,26.0,33845.0,182.0,
2021-01-20,Région,RSS06,06 - Montréal,1584,1,0,35628,18,0,1585,35646,1.8152633495,0.0101120342,0.3071913416,1699.0,16.0,35544.0,198.0,
2021-01-21,Région,RSS06,06 - Montréal,1964,4,0,37592,22,0,1968,37614,1.9210311415,0.0113888062,0.3165373126,2071.0,25.0,37615.0,223.0,
2021-01-22,Région,RSS06,06 - Montréal,2195,3,0,39787,25,0,2198,39812,2.0381877396,0.0122059403,0.3247597243,2294.0,16.0,39909.0,239.0,
2021-01-23,Région,RSS06,06 - Montréal,1273,4,0,41060,29,0,1277,41089,2.1063673641,0.0128187908,0.3287432529,1335.0,12.0,41244.0,251.0,
2021-01-24,Région,RSS06,06 - Montréal,395,1,0,41455,30,0,396,41485,2.1285321259,0.013584854,0.3306839463,434.0,15.0,41678.0,266.0,
2021-01-25,Région,RSS06,06 - Montréal,627,4,0,42082,34,0,631,42116,2.1650478049,0.0154744766,0.3340035535,715.0,37.0,42393.0,303.0,
2021-01-26,Région,RSS06,06 - Montréal,776,27,0,42858,61,0,803,42919,2.2094283994,0.0203262101,0.3411534767,869.0,95.0,43262.0,398.0,
2021-01-27,Région,RSS06,06 - Montréal,703,10,0,43561,71,0,713,43632,2.2494168982,0.0244118805,0.3468223443,783.0,80.0,44045.0,478.0,
