date,Regroupement,Croisement,Nom,new_doses_1d,new_doses_2d,new_doses_3d,vac_quo_4_n,total_doses_1d,total_doses_2d,total_doses_3d,vac_cum_4_n,new_doses,total_doses,perc_1d,perc_2d,cvac_cum_tot_ade_p,per_quo_1_n,per_quo_2_n,per_cum_1_n,per_cum_2_n,vac_quo_tot_m
2020-12-14,Région,RSS06,06 - Montréal,143,0,0,0,143,0,0,0,143,143,0.0056992177,0.0,0.0020863208,112.0,0.0,112.0,0.0,
2020-12-15,Région,RSS06,06 - Montréal,376,0,0,0,519,0,0,0,376,519,0.0237637023,0.0,0.0049868155,355.0,0.0,467.0,0.0,
2020-12-16,Région,RSS06,06 - Montréal,314,0,0,0,833,0,0,0,314,833,0.0400471814,0.0,0.006360734,320.0,0.0,787.0,0.0,
2020-12-17,Région,RSS06,06 - Montréal,295,0,0,0,1128,0,0,0,295,1128,0.0555164865,0.0,0.0072257938,304.0,0.0,1091.0,0.0,
2020-12-18,Région,RSS06,06 - Montréal,144,0,0,0,1272,0,0,0,144,1272,0.0637599978,0.0,0.0082943972,162.0,0.0,1253.0,0.0,
2020-12-19,Région,RSS06,06 - Montréal,83,0,0,0,1355,0,0,0,83,1355,0.0683397263,0.0,0.0089050276,90.0,0.0,1343.0,0.0,
2020-12-20,Région,RSS06,06 - Montréal,80,0,0,0,1435,0,0,0,80,1435,0.0729194548,0.0,0.0095156581,90.0,0.0,1433.0,0.0,
2020-12-21,Région,RSS06,06 - Montréal,320,0,0,0,1755,0,0,0,320,1755,0.0884396458,0.0,0.0127723539,305.0,0.0,1738.0,0.0,
2020-12-22,Région,RSS06,06 - Montréal,577,0,0,0,2332,0,0,0,577,2332,0.1132719514,0.0,0.0204561206,488.0,0.0,2226.0,0.0,
2020-12-23,Région,RSS06,06 - Montréal,478,0,0,0,2810,0,0,0,478,2810,0.1366794526,0.0,0.0231530718,460.0,0.0,2686.0,0.0,
2020-12-24,Région,RSS06,06 - Montréal,184,0,0,0,2994,0,0,0,184,2994,0.1461951107,0.0,0.0245269904,187.0,0.0,2873.0,0.0,
2020-12-25,Région,RSS06,06 - Montréal,0,0,0,0,2994,0,0,0,0,2994,0.1468057411,0.0,0.0245269904,12.0,0.0,2885.0,0.0,
2020-12-26,Région,RSS06,06 - Montréal,219,0,0,0,3213,0,0,0,219,3213,0.1583059483,0.0,0.0266133111,226.0,0.0,3111.0,0.0,
2020-12-27,Région,RSS06,06 - Montréal,200,0,0,0,3413,0,0,0,200,3413,0.1695008401,0.0,0.0277328003,220.0,0.0,3331.0,0.0,
