date,Regroupement,Croisement,Nom,new_doses_1d,new_doses_2d,new_doses_3d,vac_quo_4_n,total_doses_1d,total_doses_2d,total_doses_3d,vac_cum_4_n,new_doses,total_doses,cvac_comp_tot_p,rap_cvac_comp_p,_1dose_15aout_p,cvac_comp_tot_n,rap_tot_n,_1dose_15aout_n,pop_tot_n,vac_quo_tot_m
2020-12-14,Région,RSS99,Ensemble du Québec,311,0,0,0,311,0,0,0,311,311,0,,0,0,0,0,8744719,
2020-12-15,Région,RSS99,Ensemble du Québec,1189,0,0,0,1500,0,0,0,1189,1500,0,,0,0,0,0,8744719,
2020-12-16,Région,RSS99,Ensemble du Québec,971,0,0,0,2471,0,0,0,971,2471,0,,0,0,0,0,8744719,
2020-12-17,Région,RSS99,Ensemble du Québec,914,0,0,0,3385,0,0,0,914,3385,0,,0,0,0,0,8744719,708
2020-12-18,Région,RSS99,Ensemble du Québec,742,0,0,0,4127,0,0,0,742,4127,0,,0,0,0,0,8744719,739
2020-12-19,Région,RSS99,Ensemble du Québec,718,0,0,0,4845,0,0,0,718,4845,0,,0,0,0,0,8744719,859
2020-12-20,Région,RSS99,Ensemble du Québec,114,0,0,0,4959,0,0,0,114,4959,0,,0,0,0,0,8744719,1258
2020-12-21,Région,RSS99,Ensemble du Québec,522,0,0,0,5481,0,0,0,522,5481,0,,0,0,0,0,8744719,1559
2020-12-22,Région,RSS99,Ensemble du Québec,2030,0,0,0,7511,0,0,0,2030,7511,0,,0,0,0,0,8744719,1453
2020-12-23,Région,RSS99,Ensemble du Québec,3766,0,0,0,11277,0,0,0,3766,11277,0,,0,0,0,0,8744719,1798
2020-12-24,Région,RSS99,Ensemble du Québec,3024,0,0,0,14301,0,0,0,3024,14301,0,,0,0,0,0,8744719,2107
2020-12-25,Région,RSS99,Ensemble du Québec,0,0,0,0,14301,0,0,0,0,14301,0,,0,0,0,0,8744719,2395
2020-12-26,Région,RSS99,Ensemble du Québec,3127,0,0,0,17428,0,0,0,3127,17428,0,,0,0,0,0,8744719,2442
2020-12-27,Région,RSS99,Ensemble du Québec,2283,0,0,0,19711,0,0,0,2283,19711,0,,0,0,0,0,8744719,2342
2020-12-28,Région,RSS99,Ensemble du Québec,2533,0,0,0,22244,0,0,0,2533,22244,0,,0,0,0,0,8744719,1959
2020-12-29,Région,RSS99,Ensemble du Québec,2363,0,0,0,24607,0,0,0,2363,24607,0,,0,0,0,0,8744719,1960
2020-12-30,Région,RSS99,Ensemble du Québec,3065,0,0,0,27672,0,0,0,3065,27672,0,,0,0,0,0,8744719,1604
2020-12-31,Région,RSS99,Ensemble du Québec,343,0,0,0,28015,0,0,0,343,28015,0,,0,0,0,0,8744719,1498
2021-01-01,Région,RSS99,Ensemble du Québec,9,0,0,0,28024,0,0,0,9,28024,0,,0,0,0,0,8744719,1536
2021-01-02,Région,RSS99,Ensemble du Québec,635,0,0,0,28659,0,0,0,635,28659,0.0000114355,,0,1,0,0,8744719,2054
2021-01-03,Région,RSS99,Ensemble du Québec,1540,0,0,0,30199,0,0,0,1540,30199,0.0000114355,,0,1,0,0,8744719,3157
2021-01-04,Région,RSS99,Ensemble du Québec,2780,17,0,0,32979,17,0,0,2797,32996,0.0000114355,,0,1,0,0,8744719,5075
