date,Regroupement,Croisement,Nom,new_doses_1d,new_doses_2d,new_doses_3d,vac_quo_4_n,total_doses_1d,total_doses_2d,total_doses_3d,vac_cum_4_n,new_doses,total_doses,cvac_comp_tot_p,rap_cvac_comp_p,_1dose_15aout_p,cvac_comp_tot_n,rap_tot_n,_1dose_15aout_n,pop_tot_n,vac_quo_tot_m
2020-12-14,Région,RSS06,06 - Montréal,147,0,0,0,147,0,0,0,147,147,0,,0,0,0,0,2046111,
2020-12-15,Région,RSS06,06 - Montréal,375,0,0,0,522,0,0,0,375,522,0,,0,0,0,0,2046111,
2020-12-16,Région,RSS06,06 - Montréal,318,0,0,0,840,0,0,0,318,840,0,,0,0,0,0,2046111,
2020-12-17,Région,RSS06,06 - Montréal,291,0,0,0,1131,0,0,0,291,1131,0,,0,0,0,0,2046111,
2020-12-18,Région,RSS06,06 - Montréal,144,0,0,0,1275,0,0,0,144,1275,0,,0,0,0,0,2046111,
2020-12-19,Région,RSS06,06 - Montréal,83,0,0,0,1358,0,0,0,83,1358,0,,0,0,0,0,2046111,
2020-12-20,Région,RSS06,06 - Montréal,80,0,0,0,1438,0,0,0,80,1438,0,,0,0,0,0,2046111,
2020-12-21,Région,RSS06,06 - Montréal,319,0,0,0,1757,0,0,0,319,1757,0,,0,0,0,0,2046111,
2020-12-22,Région,RSS06,06 - Montréal,580,0,0,0,2337,0,0,0,580,2337,0,,0,0,0,0,2046111,
2020-12-23,Région,RSS06,06 - Montréal,488,0,0,0,2825,0,0,0,488,2825,0,,0,0,0,0,2046111,
2020-12-24,Région,RSS06,06 - Montréal,182,0,0,0,3007,0,0,0,182,3007,0,,0,0,0,0,2046111,
2020-12-25,Région,RSS06,06 - Montréal,0,0,0,0,3007,0,0,0,0,3007,0,,0,0,0,0,2046111,
2020-12-26,Région,RSS06,06 - Montréal,221,0,0,0,3228,0,0,0,221,3228,0,,0,0,0,0,2046111,
2020-12-27,Région,RSS06,06 - Montréal,202,0,0,0,3430,0,0,0,202,3430,0,,0,0,0,0,2046111,
2020-12-28,Région,RSS06,06 - Montréal,590,0,0,0,4020,0,0,0,590,4020,0,,0,0,0,0,2046111,
2020-12-29,Région,RSS06,06 - Montréal,559,0,0,0,4579,0,0,0,559,4579,0,,0,0,0,0,2046111,
2020-12-30,Région,RSS06,06 - Montréal,584,0,0,0,5163,0,0,0,584,5163,0,,0,0,0,0,2046111,
2020-12-31,Région,RSS06,06 - Montréal,32,0,0,0,5195,0,0,0,32,5195,0,,0,0,0,0,2046111,
2021-01-01,Région,RSS06,06 - Montréal,4,0,0,0,5199,0,0,0,4,5199,0,,0,0,0,0,2046111,
2021-01-02,Région,RSS06,06 - Montréal,14,0,0,0,5213,0,0,0,14,5213,0.0000488732,,0,1,0,0,2046111,
2021-01-03,Région,RSS06,06 - Montréal,14,0,0,0,5227,0,0,0,14,5227,0.0000488732,,0,1,0,0,2046111,
2021-01-04,Région,RSS06,06 - Montréal,560,4,0,0,5787,4,0,0,564,5791,0.0000488732,,0,1,0,0,2046111,
2021-01-05,Région,RSS06,06 - Montréal,1895,6,0,0,7682,10,0,0,1901,7692,0.0000488732,,0,1,0,0,2046111,
2021-01-06,Région,RSS06,06 - Montréal,2744,7,0,0,10426,17,0,0,2751,10443,0.0000977464,,0,2,0,0,2046111,
2021-01-07,Région,RSS06,06 - Montréal,4118,0,0,0,14544,17,0,0,4118,14561,0.0001954928,,0,4,0,0,2046111,
2021-01-08,Région,RSS06,06 - Montréal,3788,4,0,0,18332,21,0,0,3792,18353,0.0001954928,,0,4,0,0,2046111,
2021-01-09,Région,RSS06,06 - Montréal,2038,0,0,0,20370,21,0,0,2038,20391,0.0001954928,,0,4,0,0,2046111,
2021-01-10,Région,RSS06,06 - Montréal,1411,1,0,0,21781,22,0,0,1412,21803,0.0001954928,,0,4,0,0,2046111,
2021-01-11,Région,RSS06,06 - Montréal,1608,2,0,0,23389,24,0,0,1610,23413,0.000244366,,0,5,0,0,2046111,
2021-01-12,Région,RSS06,06 - Montréal,1094,1,0,0,24483,25,0,0,1095,24508,0.000244366,,0,5,0,0,2046111,
2021-01-13,Région,RSS06,06 - Montréal,1281,0,0,0,25764,25,0,0,1281,25789,0.000244366,,0,5,0,0,2046111,
2021-01-14,Région,RSS06,06 - Montréal,1887,1,0,0,27651,26,0,0,1888,27677,0.000244366,,0,5,0,0,2046111,
2021-01-15,Région,RSS06,06 - Montréal,1768,1,0,0,29419,27,0,0,1769,29446,0.0002932392,,0,6,0,0,2046111,
2021-01-16,Région,RSS06,06 - Montréal,1150,1,0,0,30569,28,0,0,1151,30597,0.0002932392,,0,6,0,0,2046111,
2021-01-17,Région,RSS06,06 - Montréal,962,0,0,0,31531,28,0,0,962,31559,0.0002932392,,0,6,0,0,2046111,
2021-01-18,Région,RSS06,06 - Montréal,1098,7,0,0,32629,35,0,0,1105,32664,0.0003421124,,0,7,0,0,2046111,
2021-01-19,Région,RSS06,06 - Montréal,1296,0,0,0,33925,35,0,0,1296,33960,0.0003909856,,0,8,0,0,2046111,
2021-01-20,Région,RSS06,06 - Montréal,1583,1,0,0,35508,36,0,0,1584,35544,0.0004398588,,0,9,0,0,2046111,
2021-01-21,Région,RSS06,06 - Montréal,1962,5,0,0,37470,41,0,0,1967,37511,0.0005864784,,0,12,0,0,2046111,
2021-01-22,Région,RSS06,06 - Montréal,2207,4,0,0,39677,45,0,0,2211,39722,0.0006353517,,0,13,0,0,2046111,
2021-01-23,Région,RSS06,06 - Montréal,1266,3,0,0,40943,48,0,0,1269,40991,0.0006842249,,0,14,0,0,2046111,
2021-01-24,Région,RSS06,06 - Montréal,385,1,0,0,41328,49,0,0,386,41377,0.0006842249,,0,14,0,0,2046111,
2021-01-25,Région,RSS06,06 - Montréal,633,3,0,0,41961,52,0,0,636,42013,0.0008308445,,0,17,0,0,2046111,
2021-01-26,Région,RSS06,06 - Montréal,768,21,0,0,42729,73,0,0,789,42802,0.0010263373,,0,21,0,0,2046111,
2021-01-27,Région,RSS06,06 - Montréal,704,7,0,0,43433,80,0,0,711,43513,0.0012218301,,0,25,0,0,2046111,
2021-01-28,Région,RSS06,06 - Montréal,851,19,0,0,44284,99,0,0,870,44383,0.0013684497,,0,28,0,0,2046111,
2021-01-29,Région,RSS06,06 - Montréal,204,12,0,0,44488,111,0,0,216,44599,0.0016616889,,0,34,0,0,2046111,
2021-01-30,Région,RSS06,06 - Montréal,34,26,0,0,44522,137,0,0,60,44659,0.0020038014,,0,41,0,0,2046111,
2021-01-31,Région,RSS06,06 - Montréal,6,7,0,0,44528,144,0,0,13,44672,0.0021992942,,0,45,0,0,2046111,
2021-02-01,Région,RSS06,06 - Montréal,19,15,0,0,44547,159,0,0,34,44706,0.0025902798,,0,53,0,0,2046111,
2021-02-02,Région,RSS06,06 - Montréal,73,46,0,0,44620,205,0,0,119,44825,0.003127885,,0,64,0,0,2046111,
2021-02-03,Région,RSS06,06 - Montréal,2193,33,0,0,46813,238,0,0,2226,47051,0.0032256315,,0,66,0,0,2046111,
2021-02-04,Région,RSS06,06 - Montréal,3383,18,0,0,50196,256,0,0,3401,50452,0.0036166171,,0,74,0,0,2046111,
2021-02-05,Région,RSS06,06 - Montréal,3418,31,0,0,53614,287,0,0,3449,53901,0.0040076027,,0,82,0,0,2046111,
2021-02-06,Région,RSS06,06 - Montréal,1482,11,0,0,55096,298,0,0,1493,55394,0.0041053491,,0,84,0,0,2046111,
2021-02-07,Région,RSS06,06 - Montréal,459,3,0,0,55555,301,0,0,462,55856,0.0043497151,,0,89,0,0,2046111,
2021-02-08,Région,RSS06,06 - Montréal,1138,25,0,0,56693,326,0,0,1163,57019,0.0048873204,,0,100,0,0,2046111,
2021-02-09,Région,RSS06,06 - Montréal,530,13,0,0,57223,339,0,0,543,57562,0.0051316864,,0,105,0,0,2046111,
2021-02-10,Région,RSS06,06 - Montréal,1155,20,0,0,58378,359,0,0,1175,58737,0.005522672,,0,113,0,0,2046111,
2021-02-11,Région,RSS06,06 - Montréal,1784,23,0,0,60162,382,0,0,1807,60544,0.0062068969,,0,127,0,0,2046111,
2021-02-12,Région,RSS06,06 - Montréal,1826,19,0,0,61988,401,0,0,1845,62389,0.0066467557,,0,136,0,0,2046111,
2021-02-13,Région,RSS06,06 - Montréal,77,6,0,0,62065,407,0,0,83,62472,0.0066956289,,0,137,0,0,2046111,
2021-02-14,Région,RSS06,06 - Montréal,56,5,0,0,62121,412,0,0,61,62533,0.0067933753,,0,139,0,0,2046111,
2021-02-15,Région,RSS06,06 - Montréal,834,16,0,0,62955,428,0,0,850,63383,0.0069399949,,0,142,0,0,2046111,
2021-02-16,Région,RSS06,06 - Montréal,166,20,0,0,63121,448,0,0,186,63569,0.0072821074,,0,149,0,0,2046111,
2021-02-17,Région,RSS06,06 - Montréal,409,11,0,0,63530,459,0,0,420,63989,0.0074776002,,0,153,0,0,2046111,
2021-02-18,Région,RSS06,06 - Montréal,2414,16,0,0,65944,475,0,0,2430,66419,0.0077219662,,0,158,0,0,2046111,
2021-02-19,Région,RSS06,06 - Montréal,3897,8,0,0,69841,483,0,0,3905,70324,0.0083084447,,0,170,0,0,2046111,
2021-02-20,Région,RSS06,06 - Montréal,2542,6,0,0,72383,489,0,0,2548,72872,0.0084061911,,0,172,0,0,2046111,
2021-02-21,Région,RSS06,06 - Montréal,1938,6,0,0,74321,495,0,0,1944,74816,0.0086016839,,0,176,0,0,2046111,
2021-02-22,Région,RSS06,06 - Montréal,2169,19,0,0,76490,514,0,0,2188,77004,0.0088460499,,0,181,0,0,2046111,
2021-02-23,Région,RSS06,06 - Montréal,1607,21,0,0,78097,535,0,0,1628,78632,0.0092859087,,0,190,0,0,2046111,
2021-02-24,Région,RSS06,06 - Montréal,1900,15,0,0,79997,550,0,0,1915,80547,0.0097746408,,0,200,0,0,2046111,
2021-02-25,Région,RSS06,06 - Montréal,3626,14,0,0,83623,564,0,0,3640,84187,0.01006788,,0,206,0,0,2046111,
2021-02-26,Région,RSS06,06 - Montréal,4621,18,0,0,88244,582,0,0,4639,88826,0.0101167532,,0,207,0,0,2046111,
2021-02-27,Région,RSS06,06 - Montréal,3488,16,0,0,91732,598,0,0,3504,92330,0.010312246,,0,211,0,0,2046111,
2021-02-28,Région,RSS06,06 - Montréal,2271,2,0,0,94003,600,0,0,2273,94603,0.010312246,,0,211,0,0,2046111,
2021-03-01,Région,RSS06,06 - Montréal,10895,16,0,0,104898,616,0,0,10911,105514,0.0104099924,,0,213,0,0,2046111,
2021-03-02,Région,RSS06,06 - Montréal,10787,21,0,0,115685,637,0,0,10808,116322,0.0107521048,,0,220,0,0,2046111,
2021-03-03,Région,RSS06,06 - Montréal,10903,17,0,0,126588,654,0,0,10920,127242,0.0108987245,,0,223,0,0,2046111,
2021-03-04,Région,RSS06,06 - Montréal,11286,15,0,0,137874,669,0,0,11301,138543,0.0111430905,,0,228,0,0,2046111,
2021-03-05,Région,RSS06,06 - Montréal,10584,18,0,0,148458,687,0,0,10602,149145,0.0114363297,,0,234,0,0,2046111,
2021-03-06,Région,RSS06,06 - Montréal,8966,9,0,0,157424,696,0,0,8975,158120,0.0114852029,,0,235,0,0,2046111,
2021-03-07,Région,RSS06,06 - Montréal,8645,4,0,0,166069,700,0,0,8649,166769,0.0116318225,,0,238,0,0,2046111,
2021-03-08,Région,RSS06,06 - Montréal,9638,333,0,0,175707,1033,0,0,9971,176740,0.0182785782,,0,374,0,0,2046111,
2021-03-09,Région,RSS06,06 - Montréal,10095,477,0,0,185802,1510,0,0,10572,187312,0.0277599798,,0,568,0,0,2046111,
2021-03-10,Région,RSS06,06 - Montréal,8592,421,0,0,194394,1931,0,0,9013,196325,0.0365082833,,0,747,0,0,2046111,
2021-03-11,Région,RSS06,06 - Montréal,9578,197,0,0,203972,2128,0,0,9775,206100,0.0408091252,,0,835,0,0,2046111,
2021-03-12,Région,RSS06,06 - Montréal,10661,164,1,0,214633,2292,1,0,10826,216926,0.0443768691,,0,908,0,0,2046111,
2021-03-13,Région,RSS06,06 - Montréal,9559,9,0,0,224192,2301,1,0,9568,226494,0.0444257423,,0,909,0,0,2046111,
2021-03-14,Région,RSS06,06 - Montréal,9493,7,0,0,233685,2308,1,0,9500,235994,0.0445723619,,0,912,0,0,2046111,
2021-03-15,Région,RSS06,06 - Montréal,9697,15,0,0,243382,2323,1,0,9712,245706,0.0446212351,,0,913,0,0,2046111,
2021-03-16,Région,RSS06,06 - Montréal,9525,14,0,0,252907,2337,1,0,9539,255245,0.0449633475,,0,920,0,0,2046111,
2021-03-17,Région,RSS06,06 - Montréal,7214,16,0,0,260121,2353,1,0,7230,262475,0.0452565868,,0,926,0,0,2046111,
2021-03-18,Région,RSS06,06 - Montréal,6800,27,0,0,266921,2380,1,0,6827,269302,0.0457453188,,0,936,0,0,2046111,
2021-03-19,Région,RSS06,06 - Montréal,6513,8,0,0,273434,2388,1,0,6521,275823,0.0458430652,,0,938,0,0,2046111,
2021-03-20,Région,RSS06,06 - Montréal,4476,4,0,0,277910,2392,1,0,4480,280303,0.0459408116,,0,940,0,0,2046111,
2021-03-21,Région,RSS06,06 - Montréal,4060,9,0,0,281970,2401,1,0,4069,284372,0.0461363044,,0,944,0,0,2046111,
2021-03-22,Région,RSS06,06 - Montréal,11340,22,0,0,293310,2423,1,0,11362,295734,0.0464295437,,0,950,0,0,2046111,
2021-03-23,Région,RSS06,06 - Montréal,14099,22,1,0,307409,2445,2,0,14122,309856,0.0470160221,,0,962,0,0,2046111,
2021-03-24,Région,RSS06,06 - Montréal,14715,22,0,0,322124,2467,2,0,14737,324593,0.0473581345,,0,969,0,0,2046111,
2021-03-25,Région,RSS06,06 - Montréal,13799,32,0,0,335923,2499,2,0,13831,338424,0.0476025005,,0,974,0,0,2046111,
2021-03-26,Région,RSS06,06 - Montréal,12696,19,0,0,348619,2518,2,0,12715,351139,0.0477979934,,0,978,0,0,2046111,
2021-03-27,Région,RSS06,06 - Montréal,9872,19,0,0,358491,2537,2,0,9891,361030,0.0479934862,,0,982,0,0,2046111,
2021-03-28,Région,RSS06,06 - Montréal,8765,7,0,0,367256,2544,2,0,8772,369802,0.0481401058,,0,985,0,0,2046111,
2021-03-29,Région,RSS06,06 - Montréal,10756,19,0,0,378012,2563,2,0,10775,380577,0.0482867254,,0,988,0,0,2046111,
2021-03-30,Région,RSS06,06 - Montréal,11116,43,0,0,389128,2606,2,0,11159,391736,0.0488732038,,0,1000,0,0,2046111,
2021-03-31,Région,RSS06,06 - Montréal,10599,43,0,0,399727,2649,2,0,10642,402378,0.0494108091,,0,1011,0,0,2046111,
2021-04-01,Région,RSS06,06 - Montréal,9040,17,0,0,408767,2666,2,0,9057,411435,0.0499484143,,0,1022,0,0,2046111,
2021-04-02,Région,RSS06,06 - Montréal,7052,22,0,0,415819,2688,2,0,7074,418509,0.0503394,,0,1030,0,0,2046111,
2021-04-03,Région,RSS06,06 - Montréal,5251,17,0,0,421070,2705,2,0,5268,423777,0.0504371464,,0,1032,0,0,2046111,
2021-04-04,Région,RSS06,06 - Montréal,3378,10,0,0,424448,2715,2,0,3388,427165,0.0506815124,,0,1037,0,0,2046111,
2021-04-05,Région,RSS06,06 - Montréal,3864,21,0,0,428312,2736,2,0,3885,431050,0.0511213712,,0,1046,0,0,2046111,
2021-04-06,Région,RSS06,06 - Montréal,4118,64,0,0,432430,2800,2,0,4182,435232,0.0516101033,,0,1056,0,0,2046111,
2021-04-07,Région,RSS06,06 - Montréal,6006,75,0,0,438436,2875,2,0,6081,441313,0.0524409477,,0,1073,0,0,2046111,
2021-04-08,Région,RSS06,06 - Montréal,10547,66,0,0,448983,2941,2,0,10613,451926,0.0535161582,,0,1095,0,0,2046111,
2021-04-09,Région,RSS06,06 - Montréal,11465,97,0,0,460448,3038,2,0,11562,463488,0.0548846079,,0,1123,0,0,2046111,
2021-04-10,Région,RSS06,06 - Montréal,6912,27,0,0,467360,3065,2,0,6939,470427,0.0550801007,,0,1127,0,0,2046111,
