date,Regroupement,Croisement,Nom,new_doses,total_doses,cv_xbb_tot_n,pop_tot_n,cv_xbb_tot_p,vac_quo_tot_m
2020-12-14,Région,RSS06,06 - Montréal,148,148,,,,
2020-12-15,Région,RSS06,06 - Montréal,373,521,,,,
2020-12-16,Région,RSS06,06 - Montréal,319,840,,,,
2020-12-17,Région,RSS06,06 - Montréal,289,1129,,,,
2020-12-18,Région,RSS06,06 - Montréal,145,1274,,,,
2020-12-19,Région,RSS06,06 - Montréal,83,1357,,,,
2020-12-20,Région,RSS06,06 - Montréal,80,1437,,,,
2020-12-21,Région,RSS06,06 - Montréal,317,1754,,,,
2020-12-22,Région,RSS06,06 - Montréal,579,2333,,,,
2020-12-23,Région,RSS06,06 - Montréal,485,2818,,,,
2020-12-24,Région,RSS06,06 - Montréal,184,3002,,,,
2020-12-25,Région,RSS06,06 - Montréal,0,3002,,,,
2020-12-26,Région,RSS06,06 - Montréal,218,3220,,,,
2020-12-27,Région,RSS06,06 - Montréal,201,3421,,,,
2020-12-28,Région,RSS06,06 - Montréal,584,4005,,,,
2020-12-29,Région,RSS06,06 - Montréal,557,4562,,,,
2020-12-30,Région,RSS06,06 - Montréal,581,5143,,,,
2020-12-31,Région,RSS06,06 - Montréal,32,5175,,,,
2021-01-01,Région,RSS06,06 - Montréal,4,5179,,,,
2021-01-02,Région,RSS06,06 - Montréal,14,5193,,,,
2021-01-03,Région,RSS06,06 - Montréal,15,5208,,,,
2021-01-04,Région,RSS06,06 - Montréal,564,5772,,,,
2021-01-05,Région,RSS06,06 - Montréal,1897,7669,,,,
2021-01-06,Région,RSS06,06 - Montréal,2740,10409,,,,
2021-01-07,Région,RSS06,06 - Montréal,4109,14518,,,,
2021-01-08,Région,RSS06,06 - Montréal,3784,18302,,,,
2021-01-09,Région,RSS06,06 - Montréal,2029,20331,,,,
2021-01-10,Région,RSS06,06 - Montréal,1408,21739,,,,
2021-01-11,Région,RSS06,06 - Montréal,1610,23349,,,,
2021-01-12,Région,RSS06,06 - Montréal,1081,24430,,,,
2021-01-13,Région,RSS06,06 - Montréal,1272,25702,,,,
2021-01-14,Région,RSS06,06 - Montréal,1877,27579,,,,
2021-01-15,Région,RSS06,06 - Montréal,1758,29337,,,,
2021-01-16,Région,RSS06,06 - Montréal,1147,30484,,,,
2021-01-17,Région,RSS06,06 - Montréal,960,31444,,,,
2021-01-18,Région,RSS06,06 - Montréal,1102,32546,,,,
2021-01-19,Région,RSS06,06 - Montréal,1294,33840,,,,
2021-01-20,Région,RSS06,06 - Montréal,1572,35412,,,,
2021-01-21,Région,RSS06,06 - Montréal,1959,37371,,,,
2021-01-22,Région,RSS06,06 - Montréal,2200,39571,,,,
2021-01-23,Région,RSS06,06 - Montréal,1264,40835,,,,
2021-01-24,Région,RSS06,06 - Montréal,385,41220,,,,
2021-01-25,Région,RSS06,06 - Montréal,635,41855,,,,
2021-01-26,Région,RSS06,06 - Montréal,789,42644,,,,
2021-01-27,Région,RSS06,06 - Montréal,707,43351,,,,
2021-01-28,Région,RSS06,06 - Montréal,870,44221,,,,
2021-01-29,Région,RSS06,06 - Montréal,215,44436,,,,
2021-01-30,Région,RSS06,06 - Montréal,59,44495,,,,
2021-01-31,Région,RSS06,06 - Montréal,13,44508,,,,
2021-02-01,Région,RSS06,06 - Montréal,34,44542,,,,
2021-02-02,Région,RSS06,06 - Montréal,118,44660,,,,
2021-02-03,Région,RSS06,06 - Montréal,2229,46889,,,,
2021-02-04,Région,RSS06,06 - Montréal,3386,50275,,,,
2021-02-05,Région,RSS06,06 - Montréal,3442,53717,,,,
2021-02-06,Région,RSS06,06 - Montréal,1490,55207,,,,
2021-02-07,Région,RSS06,06 - Montréal,461,55668,,,,
2021-02-08,Région,RSS06,06 - Montréal,1158,56826,,,,
2021-02-09,Région,RSS06,06 - Montréal,548,57374,,,,
2021-02-10,Région,RSS06,06 - Montréal,1175,58549,,,,
2021-02-11,Région,RSS06,06 - Montréal,1803,60352,,,,
2021-02-12,Région,RSS06,06 - Montréal,1843,62195,,,,
2021-02-13,Région,RSS06,06 - Montréal,82,62277,,,,
2021-02-14,Région,RSS06,06 - Montréal,61,62338,,,,
2021-02-15,Région,RSS06,06 - Montréal,850,63188,,,,
2021-02-16,Région,RSS06,06 - Montréal,182,63370,,,,
2021-02-17,Région,RSS06,06 - Montréal,421,63791,,,,
2021-02-18,Région,RSS06,06 - Montréal,2424,66215,,,,
2021-02-19,Région,RSS06,06 - Montréal,3883,70098,,,,
2021-02-20,Région,RSS06,06 - Montréal,2529,72627,,,,
2021-02-21,Région,RSS06,06 - Montréal,1939,74566,,,,
2021-02-22,Région,RSS06,06 - Montréal,2184,76750,,,,
2021-02-23,Région,RSS06,06 - Montréal,1624,78374,,,,
2021-02-24,Région,RSS06,06 - Montréal,1915,80289,,,,
2021-02-25,Région,RSS06,06 - Montréal,3623,83912,,,,
2021-02-26,Région,RSS06,06 - Montréal,4632,88544,,,,
2021-02-27,Région,RSS06,06 - Montréal,3489,92033,,,,
2021-02-28,Région,RSS06,06 - Montréal,2275,94308,,,,
2021-03-01,Région,RSS06,06 - Montréal,10887,105195,,,,
2021-03-02,Région,RSS06,06 - Montréal,10788,115983,,,,
2021-03-03,Région,RSS06,06 - Montréal,10908,126891,,,,
2021-03-04,Région,RSS06,06 - Montréal,11280,138171,,,,
2021-03-05,Région,RSS06,06 - Montréal,10581,148752,,,,
2021-03-06,Région,RSS06,06 - Montréal,8966,157718,,,,
2021-03-07,Région,RSS06,06 - Montréal,8638,166356,,,,
2021-03-08,Région,RSS06,06 - Montréal,9946,176302,,,,
2021-03-09,Région,RSS06,06 - Montréal,10551,186853,,,,
2021-03-10,Région,RSS06,06 - Montréal,8994,195847,,,,
2021-03-11,Région,RSS06,06 - Montréal,9765,205612,,,,
2021-03-12,Région,RSS06,06 - Montréal,10818,216430,,,,
2021-03-13,Région,RSS06,06 - Montréal,9554,225984,,,,
2021-03-14,Région,RSS06,06 - Montréal,9478,235462,,,,
2021-03-15,Région,RSS06,06 - Montréal,9696,245158,,,,
2021-03-16,Région,RSS06,06 - Montréal,9515,254673,,,,
2021-03-17,Région,RSS06,06 - Montréal,7212,261885,,,,
2021-03-18,Région,RSS06,06 - Montréal,6825,268710,,,,
2021-03-19,Région,RSS06,06 - Montréal,6526,275236,,,,
2021-03-20,Région,RSS06,06 - Montréal,4480,279716,,,,
2021-03-21,Région,RSS06,06 - Montréal,4066,283782,,,,
2021-03-22,Région,RSS06,06 - Montréal,11336,295118,,,,
2021-03-23,Région,RSS06,06 - Montréal,14096,309214,,,,
2021-03-24,Région,RSS06,06 - Montréal,14703,323917,,,,
2021-03-25,Région,RSS06,06 - Montréal,13797,337714,,,,
2021-03-26,Région,RSS06,06 - Montréal,12665,350379,,,,
2021-03-27,Région,RSS06,06 - Montréal,9879,360258,,,,
2021-03-28,Région,RSS06,06 - Montréal,8744,369002,,,,
2021-03-29,Région,RSS06,06 - Montréal,10750,379752,,,,
2021-03-30,Région,RSS06,06 - Montréal,11129,390881,,,,
2021-03-31,Région,RSS06,06 - Montréal,10617,401498,,,,
2021-04-01,Région,RSS06,06 - Montréal,9035,410533,,,,
2021-04-02,Région,RSS06,06 - Montréal,7046,417579,,,,
2021-04-03,Région,RSS06,06 - Montréal,5260,422839,,,,
2021-04-04,Région,RSS06,06 - Montréal,3375,426214,,,,
2021-04-05,Région,RSS06,06 - Montréal,3880,430094,,,,
2021-04-06,Région,RSS06,06 - Montréal,4171,434265,,,,
2021-04-07,Région,RSS06,06 - Montréal,6063,440328,,,,
2021-04-08,Région,RSS06,06 - Montréal,10569,450897,,,,
2021-04-09,Région,RSS06,06 - Montréal,11527,462424,,,,
2021-04-10,Région,RSS06,06 - Montréal,6929,469353,,,,
2021-04-11,Région,RSS06,06 - Montréal,6134,475487,,,,
2021-04-12,Région,RSS06,06 - Montréal,10285,485772,,,,
2021-04-13,Région,RSS06,06 - Montréal,11671,497443,,,,
2021-04-14,Région,RSS06,06 - Montréal,11421,508864,,,,
2021-04-15,Région,RSS06,06 - Montréal,11110,519974,,,,
2021-04-16,Région,RSS06,06 - Montréal,11302,531276,,,,
2021-04-17,Région,RSS06,06 - Montréal,8385,539661,,,,
2021-04-18,Région,RSS06,06 - Montréal,6334,545995,,,,
2021-04-19,Région,RSS06,06 - Montréal,9121,555116,,,,
2021-04-20,Région,RSS06,06 - Montréal,10599,565715,,,,
2021-04-21,Région,RSS06,06 - Montréal,16298,582013,,,,
2021-04-22,Région,RSS06,06 - Montréal,13826,595839,,,,
2021-04-23,Région,RSS06,06 - Montréal,12084,607923,,,,
2021-04-24,Région,RSS06,06 - Montréal,7174,615097,,,,
2021-04-25,Région,RSS06,06 - Montréal,5028,620125,,,,
2021-04-26,Région,RSS06,06 - Montréal,8021,628146,,,,
2021-04-27,Région,RSS06,06 - Montréal,8152,636298,,,,
2021-04-28,Région,RSS06,06 - Montréal,9602,645900,,,,
2021-04-29,Région,RSS06,06 - Montréal,10124,656024,,,,
2021-04-30,Région,RSS06,06 - Montréal,10569,666593,,,,
2021-05-01,Région,RSS06,06 - Montréal,7806,674399,,,,
2021-05-02,Région,RSS06,06 - Montréal,7811,682210,,,,
2021-05-03,Région,RSS06,06 - Montréal,10416,692626,,,,
2021-05-04,Région,RSS06,06 - Montréal,13885,706511,,,,
2021-05-05,Région,RSS06,06 - Montréal,15364,721875,,,,
2021-05-06,Région,RSS06,06 - Montréal,18451,740326,,,,
2021-05-07,Région,RSS06,06 - Montréal,16520,756846,,,,
2021-05-08,Région,RSS06,06 - Montréal,15055,771901,,,,
2021-05-09,Région,RSS06,06 - Montréal,13770,785671,,,,
2021-05-10,Région,RSS06,06 - Montréal,17337,803008,,,,
2021-05-11,Région,RSS06,06 - Montréal,17579,820587,,,,
2021-05-12,Région,RSS06,06 - Montréal,20526,841113,,,,
2021-05-13,Région,RSS06,06 - Montréal,22091,863204,,,,
2021-05-14,Région,RSS06,06 - Montréal,22036,885240,,,,
2021-05-15,Région,RSS06,06 - Montréal,18590,903830,,,,
2021-05-16,Région,RSS06,06 - Montréal,16699,920529,,,,
2021-05-17,Région,RSS06,06 - Montréal,19849,940378,,,,
2021-05-18,Région,RSS06,06 - Montréal,18369,958747,,,,
2021-05-19,Région,RSS06,06 - Montréal,19674,978421,,,,
2021-05-20,Région,RSS06,06 - Montréal,20203,998624,,,,
2021-05-21,Région,RSS06,06 - Montréal,18716,1017340,,,,
2021-05-22,Région,RSS06,06 - Montréal,17434,1034774,,,,
2021-05-23,Région,RSS06,06 - Montréal,16123,1050897,,,,
2021-05-24,Région,RSS06,06 - Montréal,15330,1066227,,,,
2021-05-25,Région,RSS06,06 - Montréal,17324,1083551,,,,
2021-05-26,Région,RSS06,06 - Montréal,20050,1103601,,,,
2021-05-27,Région,RSS06,06 - Montréal,21270,1124871,,,,
2021-05-28,Région,RSS06,06 - Montréal,20636,1145507,,,,
2021-05-29,Région,RSS06,06 - Montréal,22264,1167771,,,,
2021-05-30,Région,RSS06,06 - Montréal,18317,1186088,,,,
2021-05-31,Région,RSS06,06 - Montréal,20300,1206388,,,,
2021-06-01,Région,RSS06,06 - Montréal,18635,1225023,,,,
2021-06-02,Région,RSS06,06 - Montréal,20636,1245659,,,,
2021-06-03,Région,RSS06,06 - Montréal,20766,1266425,,,,
2021-06-04,Région,RSS06,06 - Montréal,20760,1287185,,,,
2021-06-05,Région,RSS06,06 - Montréal,19790,1306975,,,,
2021-06-06,Région,RSS06,06 - Montréal,16165,1323140,,,,
2021-06-07,Région,RSS06,06 - Montréal,16606,1339746,,,,
2021-06-08,Région,RSS06,06 - Montréal,19587,1359333,,,,
2021-06-09,Région,RSS06,06 - Montréal,25211,1384544,,,,
2021-06-10,Région,RSS06,06 - Montréal,26488,1411032,,,,
2021-06-11,Région,RSS06,06 - Montréal,29244,1440276,,,,
2021-06-12,Région,RSS06,06 - Montréal,22023,1462299,,,,
2021-06-13,Région,RSS06,06 - Montréal,20748,1483047,,,,
2021-06-14,Région,RSS06,06 - Montréal,26483,1509530,,,,
2021-06-15,Région,RSS06,06 - Montréal,24106,1533636,,,,
2021-06-16,Région,RSS06,06 - Montréal,25484,1559120,,,,
2021-06-17,Région,RSS06,06 - Montréal,24533,1583653,,,,
2021-06-18,Région,RSS06,06 - Montréal,24032,1607685,,,,
2021-06-19,Région,RSS06,06 - Montréal,15371,1623056,,,,
2021-06-20,Région,RSS06,06 - Montréal,11821,1634877,,,,
2021-06-21,Région,RSS06,06 - Montréal,19737,1654614,,,,
2021-06-22,Région,RSS06,06 - Montréal,20039,1674653,,,,
2021-06-23,Région,RSS06,06 - Montréal,24179,1698832,,,,
2021-06-24,Région,RSS06,06 - Montréal,16568,1715400,,,,
2021-06-25,Région,RSS06,06 - Montréal,23282,1738682,,,,
2021-06-26,Région,RSS06,06 - Montréal,18937,1757619,,,,
2021-06-27,Région,RSS06,06 - Montréal,16584,1774203,,,,
2021-06-28,Région,RSS06,06 - Montréal,22723,1796926,,,,
2021-06-29,Région,RSS06,06 - Montréal,25376,1822302,,,,
2021-06-30,Région,RSS06,06 - Montréal,24913,1847215,,,,
2021-07-01,Région,RSS06,06 - Montréal,19075,1866290,,,,
2021-07-02,Région,RSS06,06 - Montréal,23329,1889619,,,,
2021-07-03,Région,RSS06,06 - Montréal,18303,1907922,,,,
2021-07-04,Région,RSS06,06 - Montréal,16642,1924564,,,,
2021-07-05,Région,RSS06,06 - Montréal,22282,1946846,,,,
2021-07-06,Région,RSS06,06 - Montréal,23616,1970462,,,,
2021-07-07,Région,RSS06,06 - Montréal,24747,1995209,,,,
2021-07-08,Région,RSS06,06 - Montréal,23478,2018687,,,,
2021-07-09,Région,RSS06,06 - Montréal,26430,2045117,,,,
2021-07-10,Région,RSS06,06 - Montréal,20193,2065310,,,,
2021-07-11,Région,RSS06,06 - Montréal,16608,2081918,,,,
2021-07-12,Région,RSS06,06 - Montréal,22096,2104014,,,,
2021-07-13,Région,RSS06,06 - Montréal,21973,2125987,,,,
2021-07-14,Région,RSS06,06 - Montréal,22793,2148780,,,,
2021-07-15,Région,RSS06,06 - Montréal,21191,2169971,,,,
2021-07-16,Région,RSS06,06 - Montréal,22468,2192439,,,,
2021-07-17,Région,RSS06,06 - Montréal,17427,2209866,,,,
2021-07-18,Région,RSS06,06 - Montréal,14448,2224314,,,,
2021-07-19,Région,RSS06,06 - Montréal,19098,2243412,,,,
2021-07-20,Région,RSS06,06 - Montréal,20242,2263654,,,,
2021-07-21,Région,RSS06,06 - Montréal,20884,2284538,,,,
2021-07-22,Région,RSS06,06 - Montréal,18281,2302819,,,,
2021-07-23,Région,RSS06,06 - Montréal,20595,2323414,,,,
2021-07-24,Région,RSS06,06 - Montréal,16271,2339685,,,,
2021-07-25,Région,RSS06,06 - Montréal,13184,2352869,,,,
2021-07-26,Région,RSS06,06 - Montréal,15876,2368745,,,,
2021-07-27,Région,RSS06,06 - Montréal,16528,2385273,,,,
2021-07-28,Région,RSS06,06 - Montréal,15504,2400777,,,,
2021-07-29,Région,RSS06,06 - Montréal,13348,2414125,,,,
2021-07-30,Région,RSS06,06 - Montréal,17872,2431997,,,,
2021-07-31,Région,RSS06,06 - Montréal,14788,2446785,,,,
2021-08-01,Région,RSS06,06 - Montréal,9624,2456409,,,,
2021-08-02,Région,RSS06,06 - Montréal,11735,2468144,,,,
2021-08-03,Région,RSS06,06 - Montréal,10098,2478242,,,,
2021-08-04,Région,RSS06,06 - Montréal,10027,2488269,,,,
2021-08-05,Région,RSS06,06 - Montréal,9976,2498245,,,,
2021-08-06,Région,RSS06,06 - Montréal,13056,2511301,,,,
2021-08-07,Région,RSS06,06 - Montréal,10344,2521645,,,,
2021-08-08,Région,RSS06,06 - Montréal,6045,2527690,,,,
2021-08-09,Région,RSS06,06 - Montréal,9534,2537224,,,,
2021-08-10,Région,RSS06,06 - Montréal,8776,2546000,,,,
2021-08-11,Région,RSS06,06 - Montréal,8690,2554690,,,,
2021-08-12,Région,RSS06,06 - Montréal,9253,2563943,,,,
2021-08-13,Région,RSS06,06 - Montréal,11621,2575564,,,,
2021-08-14,Région,RSS06,06 - Montréal,10527,2586091,,,,
2021-08-15,Région,RSS06,06 - Montréal,8514,2594605,,,,
2021-08-16,Région,RSS06,06 - Montréal,10133,2604738,,,,
2021-08-17,Région,RSS06,06 - Montréal,9338,2614076,,,,
2021-08-18,Région,RSS06,06 - Montréal,9010,2623086,,,,
2021-08-19,Région,RSS06,06 - Montréal,8363,2631449,,,,
