date,Regroupement,Croisement,Nom,new_doses,total_doses,cv_xbb_tot_n,pop_tot_n,cv_xbb_tot_p,vac_quo_tot_m
2020-12-14,Région,RSS99,Ensemble du Québec,311,311,,,,
2020-12-15,Région,RSS99,Ensemble du Québec,1188,1499,,,,
2020-12-16,Région,RSS99,Ensemble du Québec,971,2470,,,,
2020-12-17,Région,RSS99,Ensemble du Québec,914,3384,,,,708
2020-12-18,Région,RSS99,Ensemble du Québec,742,4126,,,,738
2020-12-19,Région,RSS99,Ensemble du Québec,718,4844,,,,859
2020-12-20,Région,RSS99,Ensemble du Québec,115,4959,,,,1258
2020-12-21,Région,RSS99,Ensemble du Québec,520,5479,,,,1559
2020-12-22,Région,RSS99,Ensemble du Québec,2030,7509,,,,1453
2020-12-23,Région,RSS99,Ensemble du Québec,3765,11274,,,,1797
2020-12-24,Région,RSS99,Ensemble du Québec,3024,14298,,,,2107
2020-12-25,Région,RSS99,Ensemble du Québec,0,14298,,,,2394
2020-12-26,Région,RSS99,Ensemble du Québec,3127,17425,,,,2441
2020-12-27,Région,RSS99,Ensemble du Québec,2281,19706,,,,2340
2020-12-28,Région,RSS99,Ensemble du Québec,2531,22237,,,,1957
2020-12-29,Région,RSS99,Ensemble du Québec,2357,24594,,,,1957
2020-12-30,Région,RSS99,Ensemble du Québec,3060,27654,,,,1601
2020-12-31,Région,RSS99,Ensemble du Québec,342,27996,,,,1495
2021-01-01,Région,RSS99,Ensemble du Québec,4,28000,,,,1532
2021-01-02,Région,RSS99,Ensemble du Québec,630,28630,,,,2050
2021-01-03,Région,RSS99,Ensemble du Québec,1538,30168,,,,3151
2021-01-04,Région,RSS99,Ensemble du Québec,2793,32961,,,,5067
2021-01-05,Région,RSS99,Ensemble du Québec,5983,38944,,,,6981
2021-01-06,Région,RSS99,Ensemble du Québec,10769,49713,,,,8144
2021-01-07,Région,RSS99,Ensemble du Québec,13749,63462,,,,8935
2021-01-08,Région,RSS99,Ensemble du Québec,13408,76870,,,,9589
2021-01-09,Région,RSS99,Ensemble du Québec,8765,85635,,,,9871
2021-01-10,Région,RSS99,Ensemble du Québec,7076,92711,,,,9639
2021-01-11,Région,RSS99,Ensemble du Québec,7370,100081,,,,9367
2021-01-12,Région,RSS99,Ensemble du Québec,7958,108039,,,,9050
2021-01-13,Région,RSS99,Ensemble du Québec,9146,117185,,,,9003
2021-01-14,Région,RSS99,Ensemble du Québec,11844,129029,,,,9011
2021-01-15,Région,RSS99,Ensemble du Québec,11191,140220,,,,9478
2021-01-16,Région,RSS99,Ensemble du Québec,8434,148654,,,,9819
2021-01-17,Région,RSS99,Ensemble du Québec,7132,155786,,,,10150
2021-01-18,Région,RSS99,Ensemble du Québec,10644,166430,,,,10425
2021-01-19,Région,RSS99,Ensemble du Québec,10341,176771,,,,10527
2021-01-20,Région,RSS99,Ensemble du Québec,11467,188238,,,,10536
2021-01-21,Région,RSS99,Ensemble du Québec,13763,202001,,,,9815
2021-01-22,Région,RSS99,Ensemble du Québec,11907,213908,,,,8935
2021-01-23,Région,RSS99,Ensemble du Québec,8496,222404,,,,8045
2021-01-24,Région,RSS99,Ensemble du Québec,2084,224488,,,,6947
2021-01-25,Région,RSS99,Ensemble du Québec,4486,228974,,,,5461
2021-01-26,Région,RSS99,Ensemble du Québec,4113,233087,,,,4086
2021-01-27,Région,RSS99,Ensemble du Québec,3782,236869,,,,2956
2021-01-28,Région,RSS99,Ensemble du Québec,3362,240231,,,,2770
2021-01-29,Région,RSS99,Ensemble du Québec,2279,242510,,,,2188
2021-01-30,Région,RSS99,Ensemble du Québec,584,243094,,,,1702
2021-01-31,Région,RSS99,Ensemble du Québec,782,243876,,,,1588
2021-02-01,Région,RSS99,Ensemble du Québec,415,244291,,,,1841
2021-02-02,Région,RSS99,Ensemble du Québec,711,245002,,,,2240
2021-02-03,Région,RSS99,Ensemble du Québec,2981,247983,,,,2622
2021-02-04,Région,RSS99,Ensemble du Québec,5137,253120,,,,2841
2021-02-05,Région,RSS99,Ensemble du Québec,5072,258192,,,,3281
2021-02-06,Région,RSS99,Ensemble du Québec,3253,261445,,,,3700
2021-02-07,Région,RSS99,Ensemble du Québec,2319,263764,,,,4115
2021-02-08,Région,RSS99,Ensemble du Québec,3496,267260,,,,4791
2021-02-09,Région,RSS99,Ensemble du Québec,3643,270903,,,,5536
2021-02-10,Région,RSS99,Ensemble du Québec,5887,276790,,,,5308
2021-02-11,Région,RSS99,Ensemble du Québec,9870,286660,,,,5111
2021-02-12,Région,RSS99,Ensemble du Québec,10282,296942,,,,5046
2021-02-13,Région,RSS99,Ensemble du Québec,1658,298600,,,,4812
2021-02-14,Région,RSS99,Ensemble du Québec,942,299542,,,,4352
2021-02-15,Région,RSS99,Ensemble du Québec,3042,302584,,,,4646
2021-02-16,Région,RSS99,Ensemble du Québec,2006,304590,,,,5807
2021-02-17,Région,RSS99,Ensemble du Québec,2663,307253,,,,7696
2021-02-18,Région,RSS99,Ensemble du Québec,11927,319180,,,,8880
2021-02-19,Région,RSS99,Ensemble du Québec,18410,337590,,,,10163
