Date,Cumul des personnes avec des analyses négatives,Cumul de cas confirmés,Nouveaux cas,Nombre cumulatif de décès,Nouveaux décès,Hospitalisations,Soins intensifs,Personnes testées,Cas actifs,Tests (Volumétrie),Hospitalisations (nouvelle méthode),,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,,CHSLD,RPA,Domicile,Autres - Inconnu,,Montréal et Laval,Régions à proximité,Autres régions,,Cas Labo,Cas Lien Épi,Cas Total,Cumul Labo,,NV CHSLD,NV RPA,NV Dom,NV Autres
27/02/2020,91,1,,,,0,,92,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,#REF!,#REF!,#REF!,,0,0,0,1,,,,,
28/02/2020,104,1,0,,0,0,,105,1,,,,0,0,0.1323698573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,,1,0,1,1,,,,,
29/02/2020,138,1,0,,0,0,,139,1,,,,0,0,0.1323698573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0.0219437367,,0,0,0,1,,,,,
01/03/2020,189,1,0,,0,0,,190,1,,,,0,0,0.1323698573,0,0,0.04841074777,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0.0219437367,,0,1,1,1,,,,,
02/03/2020,203,1,0,,0,0,,204,1,,,,0,0,0.1323698573,0,0,0.1452322433,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.03986601829,0,0.0219437367,,2,0,2,1,,,,,
03/03/2020,203,1,0,,0,0,,204,1,,,,0,0,0.1323698573,0,0,0.1452322433,0,0,0,0,0,0,0,0,0.1594977734,0.06979579843,0,0,,,,,,,0.1195980549,0,0.0219437367,,2,0,2,1,,,,,
04/03/2020,242,2,1,,0,0,,244,2,,,,0,0,0.1323698573,0,0,0.1452322433,0,0,0,0,0,0,0,0,0.1594977734,0.06979579843,0,0,,,,,,,0.1195980549,0,0.06583121009,,0,0,0,2,,,,,
05/03/2020,260,3,1,,0,0,,263,3,,,,0,0,0.1323698573,0,0,0.1452322433,0,0,0,0,0,0,0,0,0.1594977734,0.1395915969,0,0,,,,,,,0.1195980549,0,0.06583121009,,1,0,1,3,,,,,
06/03/2020,303,3,0,,0,0,,306,3,,,,0,0,0.1323698573,0,0,0.1452322433,0,0,0,0,0,0,0,0,0.3189955468,0.2093873953,0,0,,,,,,,0.1195980549,0.06786277062,0.06583121009,,2,0,2,3,,,,,
07/03/2020,340,4,1,,0,0,,344,4,,,,0,0,0.1323698573,0,0,0.1452322433,0,0,0,0,0,0,0,0,0.3189955468,0.2093873953,0,0,,,,,,,0.1195980549,0.1357255412,0.08777494679,,0,0,0,4,,,,,
08/03/2020,376,4,0,,0,0,,380,4,353,,,0,0,0.1323698573,0,0,0.1936429911,0,0,0,0,0,0,0,0,0.3189955468,0.2093873953,0,0,,,,,,,0.1195980549,0.1357255412,0.08777494679,,1,0,1,4,,,,,
09/03/2020,465,5,1,,0,0,,470,5,68,,,0,0,0.1323698573,0,0,0.1936429911,0,0,0,0,0,0,0,0,0.3189955468,0.2093873953,0,0,,,,,,,0.1594640731,0.1357255412,0.08777494679,,0,0,0,5,,,,,
10/03/2020,570,8,3,,0,0,,578,8,145,,,0,0,0.1323698573,0,0,0.3388752344,0,0,0,0,0,0,0,0,0.3189955468,0.2093873953,0,0,,,,,,,0.1594640731,0.1357255412,0.08777494679,,2,1,3,8,,,,,
11/03/2020,798,13,5,,0,0,,811,13,225,,,0,0,0.1323698573,0.191445818,0.2027727141,0.4841074777,0,0,0,0,0,0.2323911422,0,0,0.4784933202,0.4187747906,0,0,,,,,,,0.279062128,0.1357255412,0.08777494679,,10,0,10,13,,,,,
12/03/2020,1079,17,4,,0,0,,1096,17,377,,,0,0,0.1323698573,0.191445818,0.4055454282,0.629339721,0,0,0,0,0,0.2323911422,0,0,0.6379910936,0.5583663875,0,0,,,,,,,0.3986601829,0.2714510825,0.1974936303,,7,0,7,17,,,,,
13/03/2020,1399,24,7,,0,0,,1423,24,287,,,0,0,0.1323698573,0.191445818,0.4055454282,0.7261612165,0,0,0,0,0,0.2323911422,0,0.1922736747,0.6379910936,0.6281621859,0,0,,,,,,,0.5182582377,0.4071766237,0.2413811037,,4,0,4,24,,,,,
14/03/2020,2270,39,15,,0,0,,2309,39,695,,,0,0,0.3971095718,0.7657832718,0.6083181423,0.9682149553,0,0,0,7.375719133,0,0.2323911422,0,0.1922736747,1.116484414,1.116732775,0,0,,,,,,,0.5979902743,0.542902165,0.2413811037,,22,0,22,39,,,,,
15/03/2020,3079,50,11,0,0,2,0,3129,50,811,,,0.5074236074,0,0.7942191436,0.7657832718,0.6083181423,1.258679442,0,0,0,7.375719133,0,0.6971734265,0,0.576821024,1.116484414,1.186528573,0,0,,0,0,0,0,,0.7973203657,0.8143532474,0.5266496808,,15,0,15,50,,0,0,0,0
16/03/2020,4778,74,24,0,0,5,0,4852,74,1157,,,0.5074236074,0,0.7942191436,0.7657832718,1.01386357,1.500733181,0,0,0,7.375719133,0,0.9295645687,0,0.7690946986,1.275982187,1.395915969,0,0,,0,0,0,0,,1.036516475,0.9500787887,0.6802558376,,13,0,13,74,,0,0,0,0
17/03/2020,5213,94,20,0,0,2,4,5307,94,1459,,,0.5074236074,0,1.191328715,0.7657832718,4.866545138,1.839608415,0.4987133196,0,0,7.375719133,0,2.323911422,0,2.115010421,1.754475508,1.465711767,0,0,,0,1,0,0,,1.235846567,1.153667101,0.7899745211,,49,0,49,94,,0,1,0,0
18/03/2020,6331,121,27,1,1,3,4,6452,119,2246,,,2.02969443,0,1.853178002,0.7657832718,5.880408709,2.130072902,0.9974266393,0.6774333406,0,7.375719133,0,2.323911422,1.129318231,5.960483914,2.232968828,1.535507566,0,0,,1,2,0,0,,1.514908695,1.900157577,1.448286622,,49,2,51,121,,1,1,0,0
19/03/2020,7666,139,18,1,0,4,6,7805,137,3597,,,2.02969443,0.3601890272,2.382657431,0.9572290898,10.34140842,3.872859821,0.9974266393,0.6774333406,0,7.375719133,0,2.323911422,2.258636461,5.960483914,2.232968828,1.884486558,0,0,,1,2,0,0,,1.953434896,3.393138531,1.843273883,,73,1,74,139,,0,0,0,0
