No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,,2,"0,0%"
2,02 - Saguenay – Lac-St-Jean,,21,,,,5,,26,"0,5%"
3,03 - Capitale-Nationale,3,93, 7,,28,,,131,"2,7%"
4,04 - Mauricie - Centre du Québec,5,120, 26,12,41,,,204,"4,2%"
5,05 - Estrie,,1, 6,,15,3,,25,"0,5%"
6,06 - Montréal,166,2117, 236,65,400,26,6,3016,"61,7%"
7,07 - Outaouais,4,13, 3,3,,,,23,"0,5%"
8,08 - Abitibi-Témiscamingue,,, 3,,1,,,4,"0,1%"
9,09 - Côte-Nord,,,,,,,,0,"0,0%"
10,10 - Nord-du-Québec,,,,,,,,0,"0,0%"
11,11 - Gaspésie - Îles-de-la-Madeleine,,2, 1,,5,,,8,"0,2%"
12,12 - Chaudière-Appalaches,1,,,,7,,,8,"0,2%"
13,13 - Laval,1,420, 47,39,115,5,,627,"12,8%"
14,14 - Lanaudière,3,104, 35,2,50,,,194,"4,0%"
15,15 - Laurentides,29,67, 7,15,31,,,149,"3,1%"
16,16 - Montérégie,17,188, 74,24,155,7,3,468,"9,6%"
17,17 - Nunavik,,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,,0,"0,0%"
999,Ensemble du Québec (n),230,3146, 446,160,848,46,9,4885,
9999,Ensemble du Québec (%),"4,7%","64,4%","9,1%","3,3%","17,4%","0,9%","0,2%",,"100,0%"
