No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Inconnu,Dﾃｩcﾃｨs (n),Dﾃｩcﾃｨs (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,,2,"0,0%"
2,02 - Saguenay窶鏑ac-Saint-Jean,,21,,,,5,,26,"0,5%"
3,03 - Capitale-Nationale,2,143, 7,2,31,,,185,"3,3%"
4,04 - Mauricie et Centre-du-Quﾃｩbec,4,124, 28,12,43,,,211,"3,8%"
5,05 - Estrie,,1, 7,,15,3,,26,"0,5%"
6,06 - Montrﾃｩal,183,2396, 267,81,446,33,7,3413,"61,1%"
7,07 - Outaouais,4,18, 3,7,1,,,33,"0,6%"
8,08 - Abitibi-Tﾃｩmiscamingue,,, 3,,1,,,4,"0,1%"
9,09 - Cﾃｴte-Nord,,,,,,,,0,"0,0%"
10,10 - Nord-du-Quﾃｩbec,,,,,,,,0,"0,0%"
11,11 - Gaspﾃｩsie窶禿四es-de-la-Madeleine,,2, 2,,5,,,9,"0,2%"
12,12 - Chaudiﾃｨre-Appalaches,1,,,,7,,,8,"0,1%"
13,13 - Laval,,450, 55,41,121,5,,672,"12,0%"
14,14 - Lanaudiﾃｨre,3,112, 39,5,49,,,208,"3,7%"
15,15 - Laurentides,44,82, 19,15,40,3,,203,"3,6%"
16,16 - Montﾃｩrﾃｩgie,8,252, 96,30,197,6,1,590,"10,6%"
17,17 - Nunavik,,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,,0,"0,0%"
999,Ensemble du Quﾃｩbec,250,3601, 527,193,956,55,8,5590,
9999,,"4,5%","64,4%","9,4%","3,5%","17,1%","1,0%","0,1%",,"100,0%"
