Date,Cumul des personnes avec des analyses nÃ©gatives,Cumul de cas confirmÃ©s,Nouveaux cas,Nombre cumulatif de dÃ©cÃ¨s,Nouveaux dÃ©cÃ¨s,Hospitalisations,Soins intensifs,Personnes testÃ©es,Cas actifs,Tests (VolumÃ©trie),Hospitalisations (nouvelle mÃ©thode),Unnamed: 12,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,Unnamed: 31,CHSLD,RPA,Domicile,Autres - Inconnu,Unnamed: 36,MontrÃ©al et Laval,RÃ©gions Ã  proximitÃ©,Autres rÃ©gions,Unnamed: 40,Cas Labo,Cas Lien Ãpi,Cas Total,Cumul Labo,Cumul Ãpi,NV CHSLD,NV RPA,NV Dom,NV Autres,Moy mobile DÃ©cÃ¨s,Inc Hors-SI,Inc SI,Moy. mobile (cas),Analyses nÃ©g (Nouv.),Cas labo (Nouv.),Cas labo (ancien)
27/02/2020,91.0,1,,,,0.0,,92,1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,,0,0,0,0,0,,,,,,,,,105,0,0.0
28/02/2020,104.0,1,0.0,,0.0,0.0,,105,1,,,,0.0,0.0,0.1323698573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0219437367,,1,0,1,1,0,,,,,,,,,124,0,1.0
29/02/2020,138.0,1,0.0,,0.0,0.0,,139,1,,,,0.0,0.0,0.1323698573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0219437367,,0,0,0,1,0,,,,,,,,,143,0,1.0
01/03/2020,189.0,1,0.0,,0.0,0.0,,190,1,,,,0.0,0.0,0.1323698573,0.0,0.0,0.04841074777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.03986601829,0.0,0.0219437367,,0,1,1,1,1,,,,,,,,1.3,167,0,1.0
02/03/2020,203.0,1,0.0,,0.0,0.0,,204,1,,,,0.0,0.0,0.1323698573,0.0,0.0,0.1452322433,0.0,0.0,0.0,0.0,1.111135803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.1195980549,0.0,0.0438874734,,3,0,3,4,1,,,,,,,,1.4,181,1,4.0
03/03/2020,203.0,1,0.0,,0.0,0.0,,204,1,,,,0.0,0.0,0.1323698573,0.0,0.0,0.1452322433,0.0,0.0,0.0,0.0,1.111135803,0.0,0.0,0.0,0.1594977734,0.06979579843,0.0,0.0,,,,,,,0.1195980549,0.0,0.08777494678999999,,2,0,2,6,1,,,,,,,,1.6,192,1,6.0
04/03/2020,242.0,2,1.0,,0.0,0.0,,244,2,,,,0.0,0.0,0.1323698573,0.0,0.0,0.1452322433,0.0,0.0,0.0,0.0,1.111135803,0.0,0.0,0.0,0.1594977734,0.2093873953,0.0,0.0,,,,,,,0.1195980549,0.0,0.1316624202,,2,0,2,8,1,,,,,,,,1.6,219,1,8.0
05/03/2020,260.0,3,1.0,,0.0,0.0,,263,3,,,,0.0,0.0,0.1323698573,0.0,0.0,0.1452322433,0.0,0.0,0.0,0.0,1.111135803,0.0,0.0,0.0,0.1594977734,0.2791831937,0.0,0.0,,,,,,,0.1195980549,0.06786277062000001,0.1316624202,,1,0,1,9,1,,,,,,,,1.6,244,2,9.0
06/03/2020,303.0,3,0.0,,0.0,0.0,,306,3,,,,0.0,0.0,0.1323698573,0.0,0.0,0.1452322433,0.0,0.0,0.0,0.0,1.111135803,0.0,0.0,0.0,0.3189955468,0.3489789922,0.0,0.0,,,,,,,0.1195980549,0.1357255412,0.15360615689999998,,2,0,2,11,1,,,,,,,,1.3,290,2,11.0
07/03/2020,340.0,4,1.0,,0.0,0.0,,344,4,,,,0.0,0.0,0.1323698573,0.0,0.0,0.1452322433,0.0,0.0,0.0,0.0,1.111135803,0.0,0.0,0.0,0.3189955468,0.3489789922,0.0,0.0,,,,,,,0.1195980549,0.1357255412,0.15360615689999998,,0,0,0,11,1,,,,,,,,1.3,326,2,11.0
