Groupe d'âge;Nombre de cas confirmés;Répartition des cas (%);Taux de cas pour 100 000 personnes;Nombre de décès;Taux de mortalité pour 100 000 personnes
0-4 ans;410;1,4;373,3;0;
5-9 ans;359;1,2;333,7;0;
10-19 ans;1272;4,3;639,5;0;
20-29 ans;4221;14,2;1296,5;< 5;n.p.
30-39 ans;3979;13,3;1212,3;< 5;n.p.
40-49 ans;4060;13,6;1462,6;15;*5,4
50-59 ans;3645;12,2;1421,1;69;26,9
60-69 ans;2505;8,4;1157,9;223;103,1
70-79 ans;2457;8,2;1700,3;594;411
80 ans et +;6900;23,1;6859,5;2564;2548,9
Manquant;87;;;;
Total;29895;;1447,2;3472;168,1
