No,RSS,CH,CHSLD,Domicile,RI,RPA,Autre,Dﾃｩcﾃｨs (n),Dﾃｩcﾃｨs (%)
1,01 - Bas-Saint-Laurent,1,, 1,,,,2,"0,0%"
2,02 - Saguenay窶鏑ac-Saint-Jean,,21,,,,5,26,"0,5%"
3,03 - Capitale-Nationale,2,149, 7,2,36,,196,"3,4%"
4,04 - Mauricie et Centre-du-Quﾃｩbec,4,124, 28,12,43,,211,"3,7%"
5,05 - Estrie,,1, 7,,15,3,26,"0,5%"
6,06 - Montrﾃｩal,183,2437, 298,102,420,35,3475,"60,2%"
7,07 - Outaouais,4,18, 3,7,1,,33,"0,6%"
8,08 - Abitibi-Tﾃｩmiscamingue,,, 3,,1,,4,"0,1%"
9,09 - Cﾃｴte-Nord,,,,,,,0,"0,0%"
10,10 - Nord-du-Quﾃｩbec,,,,,,,0,"0,0%"
11,11 - Gaspﾃｩsie窶禿四es-de-la-Madeleine,,2, 2,,5,,9,"0,2%"
12,12 - Chaudiﾃｨre-Appalaches,1,,,,7,,8,"0,1%"
13,13 - Laval,1,452, 56,41,122,5,677,"11,7%"
14,14 - Lanaudiﾃｨre,3,122, 43,5,48,,221,"3,8%"
15,15 - Laurentides,59,88, 41,21,52,7,268,"4,6%"
16,16 - Montﾃｩrﾃｩgie,10,259, 104,30,200,8,611,"10,6%"
17,17 - Nunavik,,,,,,,0,"0,0%"
18,18 - Terres-Cries-de-la-Baie-James,,,,,,,0,"0,0%"
99,Inconnu,,,,,,,0,"0,0%"
999,Ensemble du Quﾃｩbec,268,3673, 593,220,950,63,5767,
9999,,"4,6%","63,7%","10,3%","3,8%","16,5%","1,1%",,"100,0%"
