No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
1,01 - Bas-Saint-Laurent,3,7,4,4,6,0,24,0.3 %
2,02 - Saguenay–Lac-Saint-Jean,1,67,70,1,73,7,219,2.7 %
3,03 - Capitale-Nationale,3,353,96,7,203,16,678,8.2 %
4,04 - Mauricie et Centre-du-Québec,6,124,120,20,79,5,354,4.3 %
5,05 - Estrie,1,89,21,8,44,8,171,2.1 %
6,06 - Montréal,199,2563,443,112,496,49,3862,46.9 %
7,07 - Outaouais,7,39,28,11,32,0,117,1.4 %
8,08 - Abitibi-Témiscamingue,0,0,3,0,1,0,4,0.0 %
9,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie–Îles-de-la-Madeleine,0,14,16,0,13,0,43,0.5 %
12,12 - Chaudière-Appalaches,5,69,46,6,55,4,185,2.2 %
13,13 - Laval,2,473,83,46,150,6,760,9.2 %
14,14 - Lanaudière,3,221,75,7,84,2,392,4.8 %
15,15 - Laurentides,59,132,63,30,63,12,359,4.4 %
16,16 - Montérégie,13,492,186,48,301,13,1053,12.8 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,1,0,0,1,2,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),302,4643,1258,300,1600,123,8226,
9999,Ensemble du Québec (%),3.7 %,56.4 %,15.3 %,3.6 %,19.5 %,1.5 %,           .,100.0 %
