Ahuntsic–Cartierville;73;945;703,9;6022;4485,8;8;n.p.;391;291,3
Anjou;21;341;796,8;1964;4589,2;5;n.p.;58;135,5
Baie D'urfé;0;6;n.p.;60;1569,4;0;;< 5;n.p.
Beaconsfield;< 5;24;* 124,2;253;1309,3;< 5;n.p.;11;* 56,9
Côte-des-Neiges–Notre-Dame-de-Grâce;69;1106;664,2;6861;4120,2;11;*6,6;316;189,8
Côte-Saint-Luc;14;209;644,1;1701;5242,2;< 5;n.p.;96;295,9
Dollard-des-Ormeaux;39;287;586,9;1541;3151,4;< 5;n.p.;103;210,6
Dorval;< 5;65;342,5;509;2681,8;0;;65;342,5
Hampstead;< 5;36;* 516,3;223;3198;0;;< 5;n.p.
Kirkland;12;74;367,2;428;2124;< 5;n.p.;30;* 148,9
Lachine;30;238;535;1726;3879,6;< 5;n.p.;124;278,7
LaSalle;47;506;658,4;3351;4360,3;9;n.p.;200;260,2
L'Île-Bizard–Sainte-Geneviève;14;145;787,5;649;3524,7;7;n.p.;63;342,1
Mercier–Hochelaga-Maisonneuve;61;768;564,6;5368;3946,4;7;n.p.;398;292,6
Montréal Est;< 5;31;* 805,2;154;4000;0;;5;n.p.
Montréal-Nord;40;767;910,6;5834;6925,9;15;*17,8;279;331,2
Montréal-Ouest;0;19;* 376,2;92;1821,8;0;;< 5;n.p.
Mont-Royal;< 5;91;448,8;753;3713,8;0;;91;448,8
Outremont;< 5;146;609,5;882;3682,1;< 5;n.p.;17;* 71
Pierrefonds–Roxboro;37;463;668,1;2314;3339,2;< 5;n.p.;67;96,7
Plateau Mont-Royal;26;357;343,3;2763;2656,7;< 5;n.p.;138;132,7
Pointe-Claire;8;117;372,8;683;2176,5;6;n.p.;44;140,2
Rivière-des-Prairies–Pointe-aux-Trembles;51;738;691,4;5372;5032,6;6;n.p.;269;252
Rosemont–La Petite Patrie;29;645;462,1;4560;3266,7;6;n.p.;274;196,3
Sainte-Anne-de-Bellevue;0;12;* 242;87;1754,7;< 5;n.p.;12;* 242
Saint-Laurent;51;700;708,3;4178;4227,5;< 5;n.p.;117;118,4
Saint-Léonard;47;828;1057,4;4310;5504,1;13;*16,6;76;97,1
Senneville;0;< 5;n.p.;20;* 2171,6;0;;0;
Sud-Ouest;23;320;409,5;2496;3193,8;< 5;n.p.;191;244,4
Verdun;21;232;335,1;1992;2877,4;< 5;n.p.;177;255,7
Ville-Marie;25;466;522,6;2962;3321,7;5;n.p.;97;108,8
Villeray–Saint-Michel–Parc-Extension;58;998;693,8;6444;4479,6;< 5;n.p.;141;98
Westmount;0;47;231,4;486;2392,7;0;;52;256
Territoire à confirmer;28;255;0;1496;0;< 5;0;49;0
Total à Montréal;837;11983;;78534;;129;;3958;
0;0;0;0;0;0;0;0;0;0
