Regions;Number of administered doses of the vaccine
01-   Bas-Saint-Laurent;2534
02 - Saguenay – Lac-Saint-Jean;3537
03 - Capitale-Nationale;11870
04 - Mauricie-et-Centre-du-Québec;4861
05 - Estrie;3942
06 - Montréal;28600
07 - Outaouais;3581
08 - Abitibi-Témiscamingue;1864
09 - Côte-Nord;1886
10 - Nord-du-Québec;106
11 - Gaspésie – Îles-de-la-Madeleine;2414
11 - Îles-de-la-Madeleine;391
12 - Chaudière-Appalaches;4300
13 - Laval;4406
14 - Lanaudière;4141
15 - Laurentides;5122
16 - Montérégie;13916
18 - Terres-Cries-de-la-Baie-James;1218
Opitciwan;540
Wemotaci;281
Total;99510
