Régions;Nombre de doses de vaccins administrés
01-   Bas-Saint-Laurent;2534
02 - Saguenay – Lac-Saint-Jean;4459
03 - Capitale-Nationale;14967
04 - Mauricie-et-Centre-du-Québec;6334
05 - Estrie;5758
06 - Montréal;34032
07 - Outaouais;4387
08 - Abitibi-Témiscamingue;2347
09 - Côte-Nord;2315
10 - Nord-du-Québec;106
11 - Gaspésie – Îles-de-la-Madeleine;2823
11 - Îles-de-la-Madeleine;391
12 - Chaudière-Appalaches;6346
13 - Laval;6415
14 - Lanaudière;5042
15 - Laurentides;7131
16 - Montérégie;19537
18 - Terres-Cries-de-la-Baie-James;1248
Opitciwan;580
Wemotaci;321
Total;127 073
