Arrondissement ou ville liée;Nombre de nouveaux cas rapportés, les dernières 24 heures;Nombre de cas, les derniers 14 jours;Taux de cas pour 100 000 personnes, les derniers 14 jours;Nombre de cas cumulatif, depuis le début de la pandémie;Taux de cas pour 100 000 personnes cumulatif, depuis le début de la pandémie;Nombre de décès, les derniers 14 jours;Taux de mortalité pour 100 000 personnes, les derniers 14 jours;Nombre de décès cumulatif, depuis le début de la pandémie;Taux de mortalité pour 100 000 personnes cumulatif, depuis le début de la pandémie
Ahuntsic–Cartierville;45;1058;788,1;6832;5089,2;17;*12,7;406;302,4
Anjou;16;321;750,1;2190;5117,3;5;n.p.;61;142,5
Baie D'urfé;0;5;n.p.;63;1647,9;0;;< 5;n.p.
Beaconsfield;< 5;39;201,8;288;1490,4;< 5;n.p.;12;* 62,1
Côte-des-Neiges–Notre-Dame-de-Grâce;77;1069;642;7609;4569,4;6;n.p.;320;192,2
Côte-Saint-Luc;< 5;185;570,1;1822;5615,1;< 5;n.p.;102;314,3
Dollard-des-Ormeaux;5;256;523,5;1727;3531,8;< 5;n.p.;105;214,7
Dorval;< 5;35;* 184,4;536;2824;< 5;n.p.;67;353
Hampstead;< 5;48;688,4;259;3714,3;0;;< 5;n.p.
Kirkland;0;56;277,9;459;2277,8;0;;30;* 148,9
Lachine;0;185;415,8;2012;4522,5;5;n.p.;158;355,1
LaSalle;33;578;752,1;3756;4887,3;8;n.p.;206;268
L'Île-Bizard–Sainte-Geneviève;5;111;602,8;729;3959,2;5;n.p.;66;358,4
Mercier–Hochelaga-Maisonneuve;49;774;569;5924;4355,1;12;*8,8;404;297
Montréal Est;< 5;40;1039;187;4857,1;0;;5;n.p.
Montréal-Nord;63;781;927,2;6461;7670,3;11;*13,1;287;340,7
Montréal-Ouest;0;25;* 495;111;2198;0;;< 5;n.p.
Mont-Royal;< 5;78;384,7;802;3955,4;0;;91;448,8
Outremont;< 5;59;246,3;920;3840,7;< 5;n.p.;19;* 79,3
Pierrefonds–Roxboro;14;353;509,4;2570;3708,7;< 5;n.p.;71;102,5
Plateau Mont-Royal;17;389;374;3064;2946,2;10;*9,6;147;141,3
Pointe-Claire;< 5;81;258,1;740;2358,2;< 5;n.p.;46;146,6
Rivière-des-Prairies–Pointe-aux-Trembles;49;872;816,9;6067;5683,7;13;*12,2;280;262,3
Rosemont–La Petite Patrie;38;597;427,7;5007;3586,9;9;n.p.;283;202,7
Sainte-Anne-de-Bellevue;0;10;* 201,7;93;1875,8;0;;12;* 242
Saint-Laurent;34;624;631,4;4652;4707,2;< 5;n.p.;118;119,4
Saint-Léonard;53;787;1005;4923;6287;17;*21,7;89;113,7
Senneville;0;< 5;n.p.;20;* 2171,6;0;;0;
Sud-Ouest;11;325;415,9;2731;3494,5;< 5;n.p.;196;250,8
Verdun;10;209;301,9;2143;3095,5;< 5;n.p.;180;260
Ville-Marie;23;436;489;3294;3694,1;7;n.p.;103;115,5
Villeray–Saint-Michel–Parc-Extension;68;923;641,6;7153;4972,4;11;*7,6;151;105
Westmount;< 5;41;201,9;516;2540,4;0;;52;256
Territoire à confirmer;14;249;;1479;;0;;21;
Total à Montréal;646;11600;561,6;87139;4218,5;162;7,8;4095;198,2
