,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,1456,0,1441,15,29,0,1403,24,196795,739.86,12.20,14.74
02,02 - Saguenay–Lac-Saint-Jean,8717,17,8532,185,259,0,8302,156,277378,3142.64,56.24,93.37
03,03 - Capitale-Nationale,21098,65,20777,321,899,10,19124,1075,760147,2775.52,141.42,118.27
04,04 - Mauricie et Centre-du-Québec,12027,50,11801,226,435,4,10892,700,524322,2293.82,133.51,82.96
05,05 - Estrie,10384,41,9972,412,264,4,9539,581,496770,2090.30,116.96,53.14
06,06 - Montréal,91813,479,88986,2827,4268,20,80941,6604,2078464,4417.35,317.73,205.34
07,07 - Outaouais,5761,9,5383,378,150,0,5432,179,404456,1424.38,44.26,37.09
08,08 - Abitibi-Témiscamingue,684,6,650,34,5,0,632,47,147658,463.23,31.83,3.39
09,09 - Côte-Nord,340,0,326,14,3,0,331,6,89368,380.45,6.71,3.36
10,10 - Nord-du-Québec,87,0,85,2,0,0,86,1,13485,645.16,7.42,0.00
11,11 - Gaspésie–Îles-de-la-Madeleine,1686,1,1667,19,45,0,1632,9,89648,1880.69,10.04,50.20
12,12 - Chaudière-Appalaches,10747,27,10487,260,246,4,9968,533,431910,2488.25,123.41,56.96
13,13 - Laval,21581,121,20141,1440,817,4,19532,1232,446572,4832.59,275.88,182.95
14,14 - Lanaudière,18279,59,17569,710,456,1,16878,945,524642,3484.09,180.12,86.92
15,15 - Laurentides,14126,69,13524,602,417,2,12818,891,633508,2229.81,140.65,65.82
16,16 - Montérégie,36849,218,35363,1486,1282,7,32997,2570,1443701,2552.40,178.01,88.80
17,17 - Nunavik,38,-1,36,2,0,0,35,3,14413,263.65,20.81,0.00
18,18 - Terres-Cries-de-la-Baie-James,107,5,107,0,2,0,56,49,18629,574.37,263.03,10.74
98,Inconnu,5,0,5,0,0,0,5,0,           .,         .  ,         .  ,         .  
99,Hors Québec,217,0,213,4,0,0,200,17,           .,         .  ,         .  ,         .  
999,Ensemble du Québec,256002,1166,247065,8937,9577,56,230803,15622,8591866,2979.59,181.82,111.47
