No,RSS,NoRLS,RLS,Cas,Cas actifs,Population,Cas pour 100 000,Cas actifs pour 100 000
01,01 - Bas-Saint-Laurent,0111,0111 - RLS de Kamouraska,166,n.d.,20742,      800.31,n.d.
01,01 - Bas-Saint-Laurent,0112,0112 - RLS de Rivière-du-Loup,264,n.d.,34840,      757.75,n.d.
01,01 - Bas-Saint-Laurent,0113,0113 - RLS de Témiscouata,87,n.d.,19055.5,      456.56,n.d.
01,01 - Bas-Saint-Laurent,0114,0114 - RLS des Basques,28,0,8507,      329.14,        0.00
01,01 - Bas-Saint-Laurent,0115,0115 - RLS de Rimouski,583,n.d.,57728,     1009.91,n.d.
01,01 - Bas-Saint-Laurent,0116,0116 - RLS de La Mitis,83,n.d.,17948.5,      462.43,n.d.
01,01 - Bas-Saint-Laurent,0117,0117 - RLS de Matane,207,n.d.,20658.5,     1002.01,n.d.
01,01 - Bas-Saint-Laurent,0118,0118 - RLS de La Matapédia,50,n.d.,17455,      286.45,n.d.
01,01 - Bas-Saint-Laurent,,Total,1482,15,196934.5,      752.53,        7.62
02,02 - Saguenay–Lac-Saint-Jean,0211,0211 - RLS du Domaine-du-Roy,315,n.d.,31025,     1015.31,n.d.
02,02 - Saguenay–Lac-Saint-Jean,0212,0212 - RLS de Maria-Chapdelaine,681,5,25019.5,     2721.88,       20.02
02,02 - Saguenay–Lac-Saint-Jean,0213,0213 - RLS de Lac-Saint-Jean-Est,2309,n.d.,52281,     4416.52,n.d.
02,02 - Saguenay–Lac-Saint-Jean,0214,0214 - RLS de Jonquière,2051,7,67384,     3043.75,       10.39
02,02 - Saguenay–Lac-Saint-Jean,0215,0215 - RLS de Chicoutimi,2786,5,79237.5,     3516.01,        6.31
02,02 - Saguenay–Lac-Saint-Jean,0216,0216 - RLS de La Baie,621,n.d.,22558,     2752.90,n.d.
02,02 - Saguenay–Lac-Saint-Jean,,Total,8771,26,277505,     3160.66,        9.37
03,03 - Capitale-Nationale,0311,0311 - RLS de Portneuf,1364,30,55121,     2474.56,       54.20
03,03 - Capitale-Nationale,0312,0312 - RLS de Québec-Sud,10125,320,321832.5,     3146.05,       99.18
03,03 - Capitale-Nationale,0313,0313 - RLS de Québec-Nord,9537,216,352784,     2703.35,       60.99
03,03 - Capitale-Nationale,0314,0314 - RLS de Charlevoix,505,n.d.,28065.5,     1799.36,n.d.
03,03 - Capitale-Nationale,,Total,21747,574,757803,     2869.74,       75.51
04,04 - Mauricie et Centre-du-Québec,0411,0411 - RLS du Haut-Saint-Maurice,346,40,15002,     2306.36,      266.95
04,04 - Mauricie et Centre-du-Québec,0412,0412 - RLS de la Vallée de la Batiscan,401,16,25591.5,     1566.93,       62.45
04,04 - Mauricie et Centre-du-Québec,0413,0413 - RLS de Maskinongé,536,22,22969.5,     2333.53,       95.74
04,04 - Mauricie et Centre-du-Québec,0414,0414 - RLS du Centre-de-la-Mauricie,1368,72,64680,     2115.03,      111.25
04,04 - Mauricie et Centre-du-Québec,0415,0415 - RLS de Trois-Rivières,3479,93,143710,     2420.85,       64.58
04,04 - Mauricie et Centre-du-Québec,0416,0416 - RLS de Bécancour - Nicolet-Yamaska,753,29,44674,     1685.54,       64.83
04,04 - Mauricie et Centre-du-Québec,0417,0417 - RLS de Drummond,3203,111,108252,     2958.84,      102.18
04,04 - Mauricie et Centre-du-Québec,0418,0418 - RLS d'Arthabaska - de l'Érable,2236,35,98452.5,     2271.15,       35.48
04,04 - Mauricie et Centre-du-Québec,,Total,12426,418,523331.5,     2374.40,       79.72
05,05 - Estrie,0511,0511 - RLS de la Pommeraie,900,66,56363,     1596.79,      116.61
05,05 - Estrie,0512,0512 - RLS de la Haute-Yamaska,2801,68,106352,     2633.71,       63.64
05,05 - Estrie,0513,0513 - RLS de Memphrémagog,659,28,52727.5,     1249.82,       52.89
05,05 - Estrie,0514,0514 - RLS de Coaticook,399,8,18758.5,     2127.04,       42.61
05,05 - Estrie,0515,0515 - RLS de Sherbrooke,3855,94,170859,     2256.25,       54.76
05,05 - Estrie,0516,0516 - RLS de Val Saint-François,585,35,31559.5,     1853.64,      110.66
05,05 - Estrie,0517,0517 - RLS d'Asbestos,513,n.d.,14238.5,     3602.91,n.d.
05,05 - Estrie,0518,0518 - RLS du Haut-Saint-François,389,8,22777.5,     1707.83,       35.08
05,05 - Estrie,0519,0519 - RLS du Granit,788,41,21331,     3694.15,      192.39
