"No","RSS","NoRLS","RLS","Cas","Cas actifs","Population","Cas pour 100 000","Cas actifs pour 100 000"
01,"01 - Bas-Saint-Laurent",0111,"0111 - RLS de Kamouraska",166,"n.d.",20742,800.31,"n.d."
01,"01 - Bas-Saint-Laurent",0112,"0112 - RLS de Rivière-du-Loup",266,5,34840,763.49,14.33
01,"01 - Bas-Saint-Laurent",0113,"0113 - RLS de Témiscouata",91,5,19055.5,477.55,26.32
01,"01 - Bas-Saint-Laurent",0114,"0114 - RLS des Basques",28,0,8507,329.14,0.00
01,"01 - Bas-Saint-Laurent",0115,"0115 - RLS de Rimouski",587,"n.d.",57728,1016.84,"n.d."
01,"01 - Bas-Saint-Laurent",0116,"0116 - RLS de La Mitis",82,0,17948.5,456.86,0.00
01,"01 - Bas-Saint-Laurent",0117,"0117 - RLS de Matane",207,"n.d.",20658.5,1002.01,"n.d."
01,"01 - Bas-Saint-Laurent",0118,"0118 - RLS de La Matapédia",50,0,17455,286.45,0.00
01,"01 - Bas-Saint-Laurent",,"Total",1491,14,196934.5,757.10,7.11
02,"02 - Saguenay-Lac-Saint-Jean",0211,"0211 - RLS du Domaine-du-Roy",315,0,31025,1015.31,0.00
02,"02 - Saguenay-Lac-Saint-Jean",0212,"0212 - RLS de Maria-Chapdelaine",682,"n.d.",25019.5,2725.87,"n.d."
02,"02 - Saguenay-Lac-Saint-Jean",0213,"0213 - RLS de Lac-Saint-Jean-Est",2312,5,52281,4422.26,9.57
02,"02 - Saguenay-Lac-Saint-Jean",0214,"0214 - RLS de Jonquière",2052,"n.d.",67384,3045.23,"n.d."
02,"02 - Saguenay-Lac-Saint-Jean",0215,"0215 - RLS de Chicoutimi",2791,9,79237.5,3522.32,11.35
02,"02 - Saguenay-Lac-Saint-Jean",0216,"0216 - RLS de La Baie",621,"n.d.",22558,2752.90,"n.d."
02,"02 - Saguenay-Lac-Saint-Jean",,"Total",8780,22,277505,3163.91,7.93
03,"03 - Capitale-Nationale",0311,"0311 - RLS de Portneuf",1368,17,55121,2481.81,30.72
03,"03 - Capitale-Nationale",0312,"0312 - RLS de Québec-Sud",10230,244,321832.5,3178.67,75.62
03,"03 - Capitale-Nationale",0313,"0313 - RLS de Québec-Nord",9594,162,352784,2719.51,45.74
03,"03 - Capitale-Nationale",0314,"0314 - RLS de Charlevoix",505,"n.d.",28065.5,1799.36,"n.d."
03,"03 - Capitale-Nationale",,"Total",21911,428,757803,2891.38,56.30
04,"04 - Mauricie et Centre-du-Québec",0411,"0411 - RLS du Haut-Saint-Maurice",360,43,15002,2399.68,286.97
04,"04 - Mauricie et Centre-du-Québec",0412,"0412 - RLS de la Vallée de la Batiscan",402,10,25591.5,1570.83,39.03
04,"04 - Mauricie et Centre-du-Québec",0413,"0413 - RLS de Maskinongé",546,29,22969.5,2377.07,126.21
04,"04 - Mauricie et Centre-du-Québec",0414,"0414 - RLS du Centre-de-la-Mauricie",1375,61,64680,2125.85,94.25
04,"04 - Mauricie et Centre-du-Québec",0415,"0415 - RLS de Trois-Rivières",3496,68,143710,2432.68,47.22
04,"04 - Mauricie et Centre-du-Québec",0416,"0416 - RLS de Bécancour - Nicolet-Yamaska",768,37,44674,1719.12,82.72
04,"04 - Mauricie et Centre-du-Québec",0417,"0417 - RLS de Drummond",3239,110,108252,2992.09,101.26
04,"04 - Mauricie et Centre-du-Québec",0418,"0418 - RLS d'Arthabaska - de l'Érable",2249,34,98452.5,2284.35,34.46
04,"04 - Mauricie et Centre-du-Québec",,"Total",12534,392,523331.5,2395.04,74.76
05,"05 - Estrie",0511,"0511 - RLS de la Pommeraie",929,63,56363,1648.24,111.31
05,"05 - Estrie",0512,"0512 - RLS de la Haute-Yamaska",2844,78,106352,2674.14,73.00
05,"05 - Estrie",0513,"0513 - RLS de Memphrémagog",682,40,52727.5,1293.44,75.56
05,"05 - Estrie",0514,"0514 - RLS de Coaticook",403,11,18758.5,2148.36,58.59
05,"05 - Estrie",0515,"0515 - RLS de Sherbrooke",3910,102,170859,2288.44,59.43
05,"05 - Estrie",0516,"0516 - RLS de Val Saint-François",593,39,31559.5,1878.99,123.30
05,"05 - Estrie",0517,"0517 - RLS d'Asbestos",520,10,14238.5,3652.07,70.32
05,"05 - Estrie",0518,"0518 - RLS du Haut-Saint-François",391,8,22777.5,1716.61,35.08
05,"05 - Estrie",0519,"0519 - RLS du Granit",804,36,21331,3769.16,168.93
05,"05 - Estrie",,"Total",11078,387,494966.5,2238.13,77.90
06,"06 - Montréal",0611,"0611 - RLS de Pierrefonds - Lac Saint-Louis",7511,308,224851,3340.43,136.82
06,"06 - Montréal",0612,"0612 - RLS de Dorval - Lachine - Lasalle",7115,337,149985,4743.81,224.00
06,"06 - Montréal",0621,"0621 - RLS de Côte-Saint-Luc - NDG - Montréal-Ouest",5129,204,131806.5,3891.31,154.32
06,"06 - Montréal",0622,"0622 - RLS de Côte-des-Neiges - Métro - Parc-Extension",11921,580,246803,4830.17,233.96
06,"06 - Montréal",0631,"0631 - RLS de Verdun - Côte St-Paul - St-Henri - Pointe-St-Charles",5655,231,166781,3390.67,138.04
06,"06 - Montréal",0632,"0632 - RLS des Faubourgs - Plateau-Mont-Royal - St-Louis-du-Parc",5426,308,162162,3346.04,188.95
06,"06 - Montréal",0641,"0641 - RLS du Nord de l'Île - Saint-Laurent",8947,544,162793,5495.94,332.33
06,"06 - Montréal",0642,"0642 - RLS d'Ahuntsic - Montréal-Nord",11857,642,172965.5,6855.12,370.21
06,"06 - Montréal",0643,"0643 - RLS de la Petite Patrie - Villeray",4039,254,115764,3488.99,218.88
06,"06 - Montréal",0651,"0651 - RLS de Saint-Léonard - Saint-Michel",9814,568,139539.5,7033.13,405.95
06,"06 - Montréal",0652,"0652 - RLS de Rivière-des-Prairies - Anjou - Montréal-Est",12209,690,209153.5,5837.34,329.21
06,"06 - Montréal",0653,"0653 - RLS de Hochelaga - Mercier-Ouest - Rosemont",8257,419,189456.5,4358.26,220.74
06,"06 - Montréal",,"Total",100203,5184,2072060.5,4835.91,249.41
07,"07 - Outaouais",0711,"0711 - RLS du Pontiac",66,"n.d.",20175.5,327.13,"n.d."
07,"07 - Outaouais",0712,"0712 - RLS de la Vallée-de-la-Gatineau",417,7,20531.5,2031.03,34.13
07,"07 - Outaouais",0713,"0713 - RLS des Collines-de-l'Outaouais",339,5,39071.5,867.64,12.74
07,"07 - Outaouais",0714,"0714 - RLS de Grande-Rivière - Hull - Gatineau",4420,79,265865.5,1662.49,29.56
07,"07 - Outaouais",0715,"0715 - RLS de la Vallée-de-la-Lièvre et de la Petite Nation",741,9,57100,1297.72,15.71
07,"07 - Outaouais",,"Total",5996,105,402744,1488.79,25.96
08,"08 - Abitibi-Témiscamingue",0811,"0811 - RLS de l'Abitibi-Ouest",85,5,20503.5,414.56,24.42
08,"08 - Abitibi-Témiscamingue",0812,"0812 - RLS de l'Abitibi",133,19,24736.5,537.67,76.79
08,"08 - Abitibi-Témiscamingue",0813,"0813 - RLS de Rouyn-Noranda",285,"n.d.",43239,659.13,"n.d."
08,"08 - Abitibi-Témiscamingue",0814,"0814 - RLS de la Vallée-de-l'Or",185,0,43569.5,424.61,0.00
08,"08 - Abitibi-Témiscamingue",0815,"0815 - RLS du Témiscaming",47,0,15588.5,301.50,0.00
08,"08 - Abitibi-Témiscamingue",,"Total",741,25,147637,501.91,16.93
09,"09 - Côte-Nord",0911,"0911 - RLS de Caniapiscau",7,0,3216,217.66,0.00
09,"09 - Côte-Nord",0912,"0912 - RLS de la Haute-Côte-Nord - Manicouagan",132,0,40315.5,327.42,0.00
09,"09 - Côte-Nord",0913,"0913 - RLS de Port-Cartier",88,0,7285.5,1207.88,0.00
09,"09 - Côte-Nord",0914,"0914 - RLS de Sept-Îles",95,"n.d.",27264.5,348.44,"n.d."
09,"09 - Côte-Nord",0915,"0915 - RLS de la Minganie",17,0,6419,264.84,0.00
09,"09 - Côte-Nord",0916,"0916 - RLS de la Basse-Côte-Nord",6,0,4556.5,131.68,0.00
09,"09 - Côte-Nord",0917,"0917 - RLS de Kawawachikamach",0,0,643.5,0.00,0.00
09,"09 - Côte-Nord",,"Total",349,5,89700.5,389.07,5.59
10,"10 - Nord-du-Québec",1001,"1001 - Nord-du-Québec",86,0,13521.5,636.02,0.00
10,"10 - Nord-du-Québec",,"Total",86,0,13521.5,636.02,0.00
11,"11 - Gaspésie-Îles-de-la-Madeleine",1111,"1111 - RLS de la Baie-des-Chaleurs",762,"n.d.",32134,2371.32,"n.d."
11,"11 - Gaspésie-Îles-de-la-Madeleine",1112,"1112 - RLS de la Haute-Gaspésie",40,0,10536.5,379.63,0.00
11,"11 - Gaspésie-Îles-de-la-Madeleine",1113,"1113 - RLS de La Côte-de-Gaspé",439,8,18730,2343.83,42.76
11,"11 - Gaspésie-Îles-de-la-Madeleine",1114,"1114 - RLS du Rocher-Percé",406,"n.d.",15831.5,2564.51,"n.d."
11,"11 - Gaspésie-Îles-de-la-Madeleine",1121,"1121 - RLS des Îles-de-la-Madeleine",37,0,12591,293.86,0.00
11,"11 - Gaspésie-Îles-de-la-Madeleine",,"Total",1700,10,89823,1892.61,11.15
12,"12 - Chaudière-Appalaches",1211,"1211 - RLS Alphonse-Desjardins",6066,140,258909.5,2342.90,53.91
12,"12 - Chaudière-Appalaches",1212,"1212 - RLS de la région de Thetford",1303,59,42474,3067.76,138.99
12,"12 - Chaudière-Appalaches",1213,"1213 - RLS de Beauce",3130,159,73287,4270.88,216.62
12,"12 - Chaudière-Appalaches",1214,"1214 - RLS des Etchemins",407,6,16401.5,2481.48,36.64
12,"12 - Chaudière-Appalaches",1215,"1215 - RLS de Montmagny-L'Islet",536,7,40037.5,1338.74,17.51
12,"12 - Chaudière-Appalaches",,"Total",11473,371,431109.5,2661.27,85.90
13,"13 - Laval",1311,"1311 - RLS de Laval",23339,955,444658.5,5248.75,213.85
13,"13 - Laval",,"Total",23339,955,444658.5,5248.75,213.85
14,"14 - Lanaudière",1411,"1411 - RLS de Lanaudière-Nord",7608,173,224162,3393.97,76.81
14,"14 - Lanaudière",1412,"1412 - RLS de Lanaudière-Sud",11384,410,298205,3817.51,136.93
14,"14 - Lanaudière",,"Total",19359,616,522367,3706.02,117.41
15,"15 - Laurentides",1511,"1511 - RLS d'Antoine-Labelle",632,45,35581,1776.23,126.47
15,"15 - Laurentides",1512,"1512 - RLS des Laurentides",815,22,48185,1691.40,45.50
15,"15 - Laurentides",1513,"1513 - RLS des Pays-d'en-Haut",861,14,44594,1930.75,31.23
15,"15 - Laurentides",1514,"1514 - RLS d'Argenteuil",553,19,33534,1649.07,56.47
15,"15 - Laurentides",1515,"1515 - RLS de Deux-Montagnes - Mirabel-Sud",3206,87,125286,2558.95,69.09
15,"15 - Laurentides",1516,"1516 - RLS de la Rivière-du-Nord - Mirabel-Nord",4389,174,179123,2450.27,96.28
15,"15 - Laurentides",1517,"1517 - RLS de Thérèse-De Blainville",4851,130,163935,2959.10,79.06
15,"15 - Laurentides",,"Total",15341,492,630238,2434.16,77.66
16,"16 - Montérégie",1611,"1611 - RLS de Champlain",7084,343,226331,3129.93,150.96
16,"16 - Montérégie",1612,"1612 - RLS du Haut-Richelieu - Rouville",4364,275,196195,2224.32,139.53
16,"16 - Montérégie",1621,"1621 - RLS Pierre-Boucher",8320,316,263144,3161.77,119.77
16,"16 - Montérégie",1622,"1622 - RLS de Richelieu-Yamaska",6671,197,221458.5,3012.30,88.75
16,"16 - Montérégie",1623,"1623 - RLS Pierre-De Saurel",1157,33,51410,2250.53,64.14
16,"16 - Montérégie",1631,"1631 - RLS de Vaudreuil-Soulanges",3595,129,160847,2235.04,79.78
16,"16 - Montérégie",1632,"1632 - RLS du Suroît",1847,68,60776,3039.03,111.42
16,"16 - Montérégie",1633,"1633 - RLS du Haut-Saint-Laurent",555,17,24414,2273.29,69.44
16,"16 - Montérégie",1634,"1634 - RLS de Jardins-Roussillon",6403,255,233650.5,2740.42,108.54
16,"16 - Montérégie",,"Total",40050,1640,1438226,2784.68,113.60
17,"17 - Nunavik",1701,"1701 - Nunavik",40,"n.d.",14336.5,279.01,"n.d."
