"",,"Nombre de cas confirmé",,,,"Nombre de décès",,"",,,,,
"No","Région sociosanitaire","Total","Confirmé dans les 24 dernières heures","En laboratoire","Par lien épidémiologique","Total","Confirmé dans les 24 dernières heures","Personnes rétablies","Cas actifs","Population en 2021","Cas de COVID-19 par 100 000","Cas actifs pour 100 000","Décès par COVID-19 par 100 000"
01,01 - Bas-Saint-Laurent,1491,4,1474,17,30,0,1447,14,196934.5,757.10,7.11,15.23
02,02 - Saguenay-Lac-Saint-Jean,8780,4,8592,188,262,-1,8496,22,277505,3163.91,7.93,94.41
03,03 - Capitale-Nationale,21911,45,21580,331,959,-1,20524,428,757803,2891.38,56.30,126.55
04,04 - Mauricie et Centre-du-Québec,12534,25,12304,230,486,2,11656,392,523331.5,2395.04,74.76,92.87
05,05 - Estrie,11078,35,10655,423,291,0,10400,387,494966.5,2238.13,77.90,58.79
06,06 - Montréal,100203,432,97352,2851,4434,10,90585,5184,2072060.5,4835.91,249.41,213.99
07,07 - Outaouais,5996,7,5601,395,157,1,5734,105,402744,1488.79,25.96,38.98
08,08 - Abitibi-Témiscamingue,741,4,708,33,7,0,709,25,147637,501.91,16.93,4.74
09,09 - Côte-Nord,349,0,334,15,3,0,341,5,89700.5,389.07,5.59,3.34
10,10 - Nord-du-Québec,86,0,84,2,0,0,86,0,13521.5,636.02,0.00,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1700,7,1681,19,45,0,1645,10,89823,1892.61,11.15,50.10
12,12 - Chaudière-Appalaches,11473,57,11210,263,279,2,10823,371,431109.5,2661.27,85.90,64.72
13,13 - Laval,23339,103,21871,1468,852,1,21532,955,444658.5,5248.75,213.85,191.61
14,14 - Lanaudière,19359,65,18647,712,479,1,18264,616,522367,3706.02,117.41,91.70
15,15 - Laurentides,15341,61,14742,599,457,0,14392,492,630238,2434.16,77.66,72.51
16,16 - Montérégie,40050,137,38402,1648,1430,9,36980,1640,1438226,2784.68,113.60,99.43
17,17 - Nunavik,40,-1,38,2,0,0,38,2,14336.5,279.01,13.88,0.00
18,18 - Terres-Cries-de-la-Baie-James,115,-1,115,0,2,0,109,4,18507,621.39,21.47,10.81
98,Inconnu,4,0,4,0,0,0,4,0,".",".",".","."
99,Hors Québec,241,0,237,4,0,0,236,5,".",".",".","."
999,Ensemble du Québec,274831,984,265631,9200,10173,24,254001,10657,8565469.5,3208.59,124.04,118.77
