Régions;Nombre de doses de vaccins administrées
01-   Bas-Saint-Laurent;12117
02 - Saguenay – Lac-Saint-Jean;14235
03 - Capitale-Nationale;41963
04 - Mauricie-et-Centre-du-Québec;26441
05 - Estrie;21172
06 - Montréal;158 972
07 - Outaouais;13306
08 - Abitibi-Témiscamingue;11414
09 - Côte-Nord;17 466
10 - Nord-du-Québec;8312
11 - Gaspésie – Îles-de-la-Madeleine;9952
12 - Chaudière-Appalaches;22732
13 - Laval;23940
14 - Lanaudière;24403
15 - Laurentides;24375
16 - Montérégie;63029
17 - Nunavik;4744
18 - Terres-Cries-de-la-Baie-James;10232
Inconnu;1674
Total;510 479
