RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,Autres variants,TOTAL CONFIRMÉS,Présomptifs reçus,TOTAL PRÉSOMPTIFS moins confirmés
01 - Bas-Saint-Laurent,,,,,0,2,2
02 - Saguenay–Lac-Saint-Jean,,,,,0,2,2
03 - Capitale-Nationale,3,,,,3,190,187
04 - Mauricie et Centre-du-Québec,,,,,0,12,12
05 - Estrie,5,,,,5,40,35
06 - Montréal,193,1,1,2,197,1256,1059
07 - Outaouais,,,,,0,101,101
08 - Abitibi-Témiscamingue,,95,,,95,155,60
09 - Côte-Nord,,,,,0,0,0
10 - Nord-du-Québec,,,,,0,0,0
11 - Gaspésie–Îles-de-la-Madeleine,,,,,0,0,0
12 - Chaudière-Appalaches,,,,,0,22,22
13 - Laval,17,,,,17,289,272
14 - Lanaudière,6,1,,,7,106,99
15 - Laurentides,13,1,,,14,202,188
16 - Montérégie,4,,,,4,92,88
Inconnu,,1,,,1,119,118
Hors Québec,,,,,0,0,0
Ensemble du Québec,241,99,1,2,343,2588,2245
