RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,Autres variants,TOTAL CONFIRMÉS,Présomptifs reçus,TOTAL PRÉSOMPTIFS moins confirmés,Taux pour 100 000
01 - Bas-Saint-Laurent,0,0,0,0,0,20,20,10.16
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,2,2,0.72
03 - Capitale-Nationale,27,0,0,0,27,299,272,35.78
04 - Mauricie et Centre-du-Québec,1,0,0,0,1,27,26,4.96
05 - Estrie,9,0,0,0,9,55,46,9.26
06 - Montréal,459,1,1,2,463,1995,1532,73.71
07 - Outaouais,0,0,0,0,0,188,188,46.48
08 - Abitibi-Témiscamingue,0,100,0,0,100,160,60,40.63
09 - Côte-Nord,0,0,0,0,0,0,0,0.00
10 - Nord-du-Québec,0,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,0,0,0.00
12 - Chaudière-Appalaches,0,0,0,0,0,103,103,23.85
13 - Laval,30,0,0,0,30,478,448,100.32
14 - Lanaudière,8,2,0,0,10,178,168,32.02
15 - Laurentides,33,1,0,0,34,273,239,37.73
16 - Montérégie,27,2,0,0,29,183,154,10.67
Inconnu,0,1,0,0,1,164,163,-
Hors Québec,0,0,0,0,0,2,2,-
Ensemble du Québec,594,107,1,2,704,4127,3423,39.84
