RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL CONFIRMÉS,Présomptifs reçus,TOTAL PRÉSOMPTIFS moins confirmés,Taux pour 100 000
01 - Bas-Saint-Laurent,0,0,0,0,0,36,36,18.29
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,2,2,0.72
03 - Capitale-Nationale,26,0,0,0,26,389,363,47.75
04 - Mauricie et Centre-du-Québec,1,0,0,0,1,38,37,7.06
05 - Estrie,9,0,0,0,9,57,48,9.66
06 - Montréal,460,1,1,2,464,2226,1762,84.77
07 - Outaouais,0,0,0,0,0,256,256,63.29
08 - Abitibi-Témiscamingue,0,100,0,0,100,167,67,45.38
09 - Côte-Nord,0,0,0,0,0,0,0,0.00
10 - Nord-du-Québec,0,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,0,0,0.00
12 - Chaudière-Appalaches,0,0,0,0,0,122,122,28.25
13 - Laval,30,0,0,0,30,519,489,109.50
14 - Lanaudière,8,2,0,0,10,181,171,32.59
15 - Laurentides,33,1,0,0,34,302,268,42.30
16 - Montérégie,27,2,0,0,29,207,178,12.33
Inconnu,0,1,0,0,1,178,177,-
Hors Québec,0,0,0,0,0,2,2,-
Ensemble du Québec,594,107,1,2,704,4682,3978,46.30
