RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL CONFIRMÉS,Présomptifs reçus,Taux pour 100 000
01 - Bas-Saint-Laurent,0,0,0,0,0,56,28.46
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,2,0.72
03 - Capitale-Nationale,26,0,0,0,26,452,59.46
04 - Mauricie et Centre-du-Québec,1,0,0,0,1,44,8.39
05 - Estrie,9,0,0,0,9,62,12.48
06 - Montréal,460,1,1,2,464,2369,113.98
07 - Outaouais,0,0,0,0,0,334,82.58
08 - Abitibi-Témiscamingue,0,100,0,0,100,173,117.16
09 - Côte-Nord,0,0,0,0,0,0,0.00
10 - Nord-du-Québec,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,0,0.00
12 - Chaudière-Appalaches,0,0,0,0,0,149,34.50
13 - Laval,30,0,0,0,30,551,123.38
14 - Lanaudière,8,2,0,0,10,192,36.60
15 - Laurentides,33,1,0,0,34,320,50.51
16 - Montérégie,27,2,0,0,29,244,16.90
Inconnu,0,1,0,0,1,199,
Hors Québec,0,0,0,0,0,10,
Ensemble du Québec,594,107,1,2,704,5157,60.02
