Région;Nombre de doses de vaccins administrées
01 - Bas-Saint-Laurent;20399
02 - Saguenay - Lac-Saint-Jean;30154
03 - Capitale-Nationale;90416
04 - Mauricie et Centre-du-Québec;63804
05 - Estrie;50197
06 - Montréal;395845
07 - Outaouais;37715
08 - Abitibi-Témiscamingue;19601
09 - Côte-Nord;23743
10 - Nord-du-Québec;8947
11 - Gaspésie - Îles-de-la-Madeleine;18180
12 - Chaudière-Appalaches;49903
13 - Laval;60134
14 - Lanaudière;61867
15 - Laurentides;66325
16 - Montérégie;157692
17 - Nunavik;5303
18 - Terres-Cries-de-la-Baie-James;10611
Inconnue;5834
Total;1176670
