RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000
01 - Bas-Saint-Laurent,0,0,0,0,0,113,57.42
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,5,1.80
03 - Capitale-Nationale,26,0,0,0,26,614,80.77
04 - Mauricie et Centre-du-Québec,1,0,0,0,1,57,10.87
05 - Estrie,9,0,0,0,9,86,17.31
06 - Montréal,461,1,1,2,465,2686,129.23
07 - Outaouais,0,0,0,0,0,380,93.95
08 - Abitibi-Témiscamingue,0,100,0,0,100,178,120.55
09 - Côte-Nord,0,0,0,0,0,0,0.00
10 - Nord-du-Québec,0,0,0,0,0,0,0.00
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,0,0.00
12 - Chaudière-Appalaches,0,0,0,0,0,223,51.63
13 - Laval,30,0,0,0,30,617,138.16
14 - Lanaudière,8,2,0,0,10,221,42.12
15 - Laurentides,33,1,0,0,34,356,56.20
16 - Montérégie,27,2,0,0,29,338,23.41
Inconnu,0,1,0,0,1,233,
Hors Québec,0,0,0,0,0,11,
Ensemble du Québec,595,107,1,2,705,6118,71.21
