"Région";"Nombre de doses de vaccins administrées"
01 - Bas-Saint-Laurent;25511
02 - Saguenay - Lac-Saint-Jean;37387
03 - Capitale-Nationale;116225
04 - Mauricie et Centre-du-Québec;77488
05 - Estrie;65817
06 - Montréal;467679
07 - Outaouais;51040
08 - Abitibi-Témiscamingue;22635
09 - Côte-Nord;29353
10 - Nord-du-Québec;8978
11 - Gaspésie - Îles-de-la-Madeleine;26923
12 - Chaudière-Appalaches;60240
13 - Laval;74716
14 - Lanaudière;75668
15 - Laurentides;86394
16 - Montérégie;196446
17 - Nunavik;5605
18 - Terres-Cries-de-la-Baie-James;10752
Inconnue;1823
Total;1440680
