Date,Regroupement,Croisement,Nom,vac_quo_1_n,vac_quo_2_n,vac_cum_1_n,vac_cum_2_n,vac_quo_tot_n,vac_cum_tot_n,cvac_cum_tot_1_p
2020-12-14,Région,RSS00,Inconnue,,,,,30,30,0.0086469
2020-12-14,Région,RSS01,01 - Bas-Saint-Laurent,,,,,1,1,0.000508577
2020-12-14,Région,RSS02,02 - Saguenay - Lac-Saint-Jean,,,,,0,0,0
2020-12-14,Région,RSS03,03 - Capitale-Nationale,,,,,131,131,0.0168312
2020-12-14,Région,RSS04,04 - Mauricie et Centre-du-Québec,,,,,0,0,0
2020-12-14,Région,RSS05,05 - Estrie,,,,,0,0,0
2020-12-14,Région,RSS06,06 - Montréal,,,,,122,122,0.00632875
2020-12-14,Région,RSS07,07 - Outaouais,,,,,0,0,0
2020-12-14,Région,RSS08,08 - Abitibi-Témiscamingue,,,,,0,0,0
2020-12-14,Région,RSS09,09 - Côte-Nord,,,,,0,0,0
2020-12-14,Région,RSS10,10 - Nord-du-Québec,,,,,0,0,0
2020-12-14,Région,RSS11,11 - Gaspésie - Îles-de-la-Madeleine,,,,,0,0,0
2020-12-14,Région,RSS12,12 - Chaudière-Appalaches,,,,,5,5,0.00117281
2020-12-14,Région,RSS13,13 - Laval,,,,,2,2,0.00047206
2020-12-14,Région,RSS14,14 - Lanaudière,,,,,0,0,0
2020-12-14,Région,RSS15,15 - Laurentides,,,,,0,0,0
2020-12-14,Région,RSS16,16 - Montérégie,,,,,0,0,0
2020-12-14,Région,RSS17,17 - Nunavik,,,,,0,0,0
2020-12-14,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,,,,,0,0,0
2020-12-14,Région,RSS98,Hors Québec,,,,,0,0,0
2020-12-14,Région,RSS99,Ensemble du Québec,,,,,291,291,0.00319287
2020-12-14,Groupe d'âge 1,GR1_0_15,Moins de 16 ans,,,,,1,1,0
2020-12-14,Groupe d'âge 1,GR1_16_59,16 à 59 ans,,,,,63,63,0.00131393
2020-12-14,Groupe d'âge 1,GR1_60_69,60 à 69 ans,,,,,24,24,0.00205715
2020-12-14,Groupe d'âge 1,GR1_70_79,70 à 79 ans,,,,,35,35,0.00435807
2020-12-14,Groupe d'âge 1,GR1_80_,80 ans et plus,,,,,168,168,0.0367102
2020-12-14,Groupe d'âge 1,TOT,Total,,,,,291,291,0.00319287
2020-12-14,Sexe,FEM,Féminin,,,,,194,194,
2020-12-14,Sexe,INC,Inconnu,,,,,0,0,
2020-12-14,Sexe,MASC,Masculin,,,,,97,97,
2020-12-14,Sexe,TOT,Total,,,,,291,291,
2020-12-14,Groupe prioritaire,GRP-Autres,Autres raisons,,,,,0,0,
2020-12-14,Groupe prioritaire,GRP-CHSLD,Résident en CHSLD,,,,,230,230,
2020-12-14,Groupe prioritaire,GRP-MC,Maladie chronique,,,,,0,0,
2020-12-14,Groupe prioritaire,GRP-RPA,Résident en RPA,,,,,0,0,
2020-12-14,Groupe prioritaire,GRP-TS,Travailleur de la santé,,,,,61,61,
2020-12-14,Groupe prioritaire,TOT,Total,,,,,291,291,
2020-12-15,Région,RSS00,Inconnue,,,,,89,119,0.0373547
2020-12-15,Région,RSS01,01 - Bas-Saint-Laurent,,,,,0,1,0.000508577
2020-12-15,Région,RSS02,02 - Saguenay - Lac-Saint-Jean,,,,,3,3,0.00109385
2020-12-15,Région,RSS03,03 - Capitale-Nationale,,,,,611,742,0.098900961
2020-12-15,Région,RSS04,04 - Mauricie et Centre-du-Québec,,,,,5,5,0.000968339
2020-12-15,Région,RSS05,05 - Estrie,,,,,0,0,0
2020-12-15,Région,RSS06,06 - Montréal,,,,,342,464,0.024824
2020-12-15,Région,RSS07,07 - Outaouais,,,,,0,0,0
2020-12-15,Région,RSS08,08 - Abitibi-Témiscamingue,,,,,0,0,0
2020-12-15,Région,RSS09,09 - Côte-Nord,,,,,1,1,0
2020-12-15,Région,RSS10,10 - Nord-du-Québec,,,,,0,0,0
2020-12-15,Région,RSS11,11 - Gaspésie - Îles-de-la-Madeleine,,,,,0,0,0
2020-12-15,Région,RSS12,12 - Chaudière-Appalaches,,,,,45,50,0.0117281
2020-12-15,Région,RSS13,13 - Laval,,,,,23,25,0.00590075
2020-12-15,Région,RSS14,14 - Lanaudière,,,,,1,1,0.0001922
2020-12-15,Région,RSS15,15 - Laurentides,,,,,8,8,0.00128948
2020-12-15,Région,RSS16,16 - Montérégie,,,,,38,38,0.00271433
2020-12-15,Région,RSS17,17 - Nunavik,,,,,0,0,0
2020-12-15,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,,,,,0,0,0
2020-12-15,Région,RSS98,Hors Québec,,,,,0,0,0
2020-12-15,Région,RSS99,Ensemble du Québec,,,,,1166,1457,0.0166147
2020-12-15,Groupe d'âge 1,GR1_0_15,Moins de 16 ans,,,,,0,1,0
2020-12-15,Groupe d'âge 1,GR1_16_59,16 à 59 ans,,,,,848,911,0.0191791
2020-12-15,Groupe d'âge 1,GR1_60_69,60 à 69 ans,,,,,116,140,0.0125218
2020-12-15,Groupe d'âge 1,GR1_70_79,70 à 79 ans,,,,,43,78,0.0101688
2020-12-15,Groupe d'âge 1,GR1_80_,80 ans et plus,,,,,159,327,0.068348573
2020-12-15,Groupe d'âge 1,TOT,Total,,,,,1166,1457,0.0166147
2020-12-15,Sexe,FEM,Féminin,,,,,820,1014,
2020-12-15,Sexe,INC,Inconnu,,,,,0,0,
2020-12-15,Sexe,MASC,Masculin,,,,,346,443,
2020-12-15,Sexe,TOT,Total,,,,,1166,1457,
2020-12-15,Groupe prioritaire,GRP-Autres,Autres raisons,,,,,6,6,
2020-12-15,Groupe prioritaire,GRP-CHSLD,Résident en CHSLD,,,,,230,460,
2020-12-15,Groupe prioritaire,GRP-MC,Maladie chronique,,,,,0,0,
2020-12-15,Groupe prioritaire,GRP-RPA,Résident en RPA,,,,,3,3,
2020-12-15,Groupe prioritaire,GRP-TS,Travailleur de la santé,,,,,927,988,
2020-12-15,Groupe prioritaire,TOT,Total,,,,,1166,1457,
2020-12-16,Région,RSS00,Inconnue,,,,,76,195,0.063641395
2020-12-16,Région,RSS01,01 - Bas-Saint-Laurent,,,,,0,1,0.000508577
2020-12-16,Région,RSS02,02 - Saguenay - Lac-Saint-Jean,,,,,1,4,0.00145847
2020-12-16,Région,RSS03,03 - Capitale-Nationale,,,,,481,1223,0.165808644
2020-12-16,Région,RSS04,04 - Mauricie et Centre-du-Québec,,,,,3,8,0.00154934
2020-12-16,Région,RSS05,05 - Estrie,,,,,1,1,0.000203976
2020-12-16,Région,RSS06,06 - Montréal,,,,,282,746,0.0402094
2020-12-16,Région,RSS07,07 - Outaouais,,,,,0,0,0
2020-12-16,Région,RSS08,08 - Abitibi-Témiscamingue,,,,,1,1,0.000685876
2020-12-16,Région,RSS09,09 - Côte-Nord,,,,,1,2,0.00111868
2020-12-16,Région,RSS10,10 - Nord-du-Québec,,,,,0,0,0
2020-12-16,Région,RSS11,11 - Gaspésie - Îles-de-la-Madeleine,,,,,0,0,0
2020-12-16,Région,RSS12,12 - Chaudière-Appalaches,,,,,40,90,0.0211106
2020-12-16,Région,RSS13,13 - Laval,,,,,16,41,0.0096772
2020-12-16,Région,RSS14,14 - Lanaudière,,,,,3,4,0.000768799
2020-12-16,Région,RSS15,15 - Laurentides,,,,,5,13,0.00209541
2020-12-16,Région,RSS16,16 - Montérégie,,,,,38,76,0.00542867
2020-12-16,Région,RSS17,17 - Nunavik,,,,,0,0,0
2020-12-16,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,,,,,0,0,0
2020-12-16,Région,RSS98,Hors Québec,,,,,0,0,0
2020-12-16,Région,RSS99,Ensemble du Québec,,,,,948,2405,0.0278252
2020-12-16,Groupe d'âge 1,GR1_0_15,Moins de 16 ans,,,,,0,1,0
2020-12-16,Groupe d'âge 1,GR1_16_59,16 à 59 ans,,,,,851,1762,0.0371079
2020-12-16,Groupe d'âge 1,GR1_60_69,60 à 69 ans,,,,,87,227,0.0207504
2020-12-16,Groupe d'âge 1,GR1_70_79,70 à 79 ans,,,,,9,87,0.0113574
2020-12-16,Groupe d'âge 1,GR1_80_,80 ans et plus,,,,,1,328,0.068590087
2020-12-16,Groupe d'âge 1,TOT,Total,,,,,948,2405,0.0278252
2020-12-16,Sexe,FEM,Féminin,,,,,671,1685,
2020-12-16,Sexe,INC,Inconnu,,,,,3,3,
2020-12-16,Sexe,MASC,Masculin,,,,,274,717,
2020-12-16,Sexe,TOT,Total,,,,,948,2405,
2020-12-16,Groupe prioritaire,GRP-Autres,Autres raisons,,,,,9,15,
2020-12-16,Groupe prioritaire,GRP-CHSLD,Résident en CHSLD,,,,,1,461,
2020-12-16,Groupe prioritaire,GRP-MC,Maladie chronique,,,,,0,0,
2020-12-16,Groupe prioritaire,GRP-RPA,Résident en RPA,,,,,0,3,
2020-12-16,Groupe prioritaire,GRP-TS,Travailleur de la santé,,,,,938,1926,
2020-12-16,Groupe prioritaire,TOT,Total,,,,,948,2405,
2020-12-17,Région,RSS00,Inconnue,,,,,76,271,0.089928058
2020-12-17,Région,RSS01,01 - Bas-Saint-Laurent,,,,,2,3,0.00152573
2020-12-17,Région,RSS02,02 - Saguenay - Lac-Saint-Jean,,,,,1,5,0.00182309
2020-12-17,Région,RSS03,03 - Capitale-Nationale,,,,,442,1665,0.227291379
2020-12-17,Région,RSS04,04 - Mauricie et Centre-du-Québec,,,,,6,14,0.00271135
2020-12-17,Région,RSS05,05 - Estrie,,,,,1,2,0.000407952
2020-12-17,Région,RSS06,06 - Montréal,,,,,267,1013,0.0547765
2020-12-17,Région,RSS07,07 - Outaouais,,,,,2,2,0.000528562
2020-12-17,Région,RSS08,08 - Abitibi-Témiscamingue,,,,,0,1,0.000685876
2020-12-17,Région,RSS09,09 - Côte-Nord,,,,,0,2,0.00111868
2020-12-17,Région,RSS10,10 - Nord-du-Québec,,,,,0,0,0
2020-12-17,Région,RSS11,11 - Gaspésie - Îles-de-la-Madeleine,,,,,0,0,0
2020-12-17,Région,RSS12,12 - Chaudière-Appalaches,,,,,34,124,0.0290857
2020-12-17,Région,RSS13,13 - Laval,,,,,16,57,0.0134537
2020-12-17,Région,RSS14,14 - Lanaudière,,,,,6,10,0.001922
2020-12-17,Région,RSS15,15 - Laurentides,,,,,6,19,0.00306252
2020-12-17,Région,RSS16,16 - Montérégie,,,,,40,116,0.0082859
2020-12-17,Région,RSS17,17 - Nunavik,,,,,0,0,0
2020-12-17,Région,RSS18,18 - Terres-Cries-de-la-Baie-James,,,,,0,0,0
2020-12-17,Région,RSS98,Hors Québec,,,,,0,0,0
2020-12-17,Région,RSS99,Ensemble du Québec,,,,,899,3304,0.0384563
2020-12-17,Groupe d'âge 1,GR1_0_15,Moins de 16 ans,,,,,0,1,0
2020-12-17,Groupe d'âge 1,GR1_16_59,16 à 59 ans,,,,,807,2569,0.0540406
2020-12-17,Groupe d'âge 1,GR1_60_69,60 à 69 ans,,,,,79,306,0.0285317
