RÉGION SOCIOSANITAIRE	,B.1.1.7,B.1.351,P.1,B.1.525,TOTAL SÉQUENCAGE,CRIBLAGE,Taux pour 100 000,Criblage positif (7 jours)
01 - Bas-Saint-Laurent,67,0,0,0,67,733,372.47,"97,6"
02 - Saguenay–Lac-Saint-Jean,0,0,0,0,0,228,82.20,"57,5"
03 - Capitale-Nationale,230,2,0,6,238,5844,768.80,"98,7"
04 - Mauricie et Centre-du-Québec,11,0,0,0,11,523,99.75,"84,0"
05 - Estrie,49,0,1,0,50,561,112.93,"72,5"
06 - Montréal,1930,15,8,7,1960,6978,335.73,"71,3"
07 - Outaouais,223,2,0,5,230,2349,580.78,"87,1"
08 - Abitibi-Témiscamingue,0,132,0,0,132,227,153.73,"41,7"
09 - Côte-Nord,0,0,0,0,0,36,40.28,"90,9"
10 - Nord-du-Québec,0,0,0,0,0,0,0.00,.
11 - Gaspésie–Îles-de-la-Madeleine,0,0,0,0,0,43,47.97,"94,1"
12 - Chaudière-Appalaches,127,0,0,0,127,1252,289.88,"96,3"
13 - Laval,212,3,0,5,220,1664,372.62,"75,4"
14 - Lanaudière,144,5,1,1,151,805,153.44,"71,6"
15 - Laurentides,184,6,3,0,193,1216,191.95,"81,5"
16 - Montérégie,114,3,3,0,120,1782,123.43,"72,8"
Inconnu,0,1,0,0,1,844,,"72,1"
Hors Québec,13,0,0,1,14,39,,"100,0"
Ensemble du Québec,3304,169,16,25,3514,25124,292.42,"81,0"
