,,Nombre de cas confirmé,,,,Nombre de décès,,,,,,,
No,Région sociosanitaire,Total,Confirmé dans les 24 dernières heures,En laboratoire,Par lien épidémiologique,Total,Confirmé dans les 24 dernières heures,Personnes rétablies,Cas actifs,Population en 2021,Cas de COVID-19 par 100 000,Cas actifs pour 100 000,Décès par COVID-19 par 100 000
01,01 - Bas-Saint-Laurent,2944,58,2923,21,37,0,2564,343,196934.5,1494.91,174.29,18.79
02,02 - Saguenay-Lac-Saint-Jean,10216,29,10005,211,266,0,9733,217,277505,3681.38,78.23,95.85
03,03 - Capitale-Nationale,31015,117,30665,350,1077,2,28618,1320,757803,4092.75,173.65,142.12
04,04 - Mauricie et Centre-du-Québec,14131,21,13894,237,509,0,13361,261,523331.5,2700.20,49.78,97.26
05,05 - Estrie,13186,61,12677,509,332,0,12411,443,494966.5,2664.02,89.18,67.08
06,06 - Montréal,124999,273,122087,2912,4676,-3,117538,2785,2072060.5,6032.59,133.99,225.67
07,07 - Outaouais,11224,55,10776,448,195,1,10390,639,402744,2786.88,157.99,48.42
08,08 - Abitibi-Témiscamingue,1098,0,1065,33,9,0,1076,13,147637,743.72,8.80,6.10
09,09 - Côte-Nord,513,4,495,18,3,0,426,84,89700.5,571.90,93.99,3.34
10,10 - Nord-du-Québec,93,1,91,2,0,0,90,3,13521.5,687.79,22.25,0.00
11,11 - Gaspésie-Îles-de-la-Madeleine,1833,5,1814,19,45,0,1770,18,89823,2040.68,20.08,50.10
12,12 - Chaudière-Appalaches,16617,109,16340,277,321,1,15241,1055,431109.5,3854.47,244.26,74.46
13,13 - Laval,29616,85,27861,1755,899,1,28078,639,444658.5,6660.39,143.09,202.18
14,14 - Lanaudière,22995,53,22284,711,509,0,22088,398,522367,4402.08,75.86,97.44
15,15 - Laurentides,19673,58,19068,605,497,0,18707,469,630238,3121.52,74.03,78.86
16,16 - Montérégie,48058,112,46124,1934,1535,3,45271,1252,1438226,3341.48,86.72,106.73
17,17 - Nunavik,46,0,44,2,0,0,46,0,14336.5,320.86,0.00,0.00
18,18 - Terres-Cries-de-la-Baie-James,119,0,119,0,3,0,116,0,18507,643.00,0.00,16.21
98,Inconnu,3,0,3,0,0,0,3,0,.,.,.,.
99,Hors Québec,353,1,348,5,0,0,338,15,.,.,.,.
999,Ensemble du Québec,348732,1042,338683,10049,10913,5,327865,9954,8565469.5,4071.37,115.85,127.41

