Régions sociosanitaires;2021-05-02;2021-05-03;2021-05-04;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;32;49;23;3 175
02 - Saguenay – Lac-Saint-Jean;8;19;16;10 350
03 - Capitale-Nationale;84;75;89;31 582
04 - Mauricie-et-Centre-du-Québec;26;37;46;14 365
05 - Estrie;47;48;53;13 486
06 - Montréal;206;190;255;126 532
07 - Outaouais;15;32;59;11 488
08 - Abitibi-Témiscamingue;0;0;1;1 099
09 - Côte-Nord;5;5;1;534
10 - Nord-du-Québec;0;0;0;94
11 - Gaspésie – Îles-de-la-Madeleine;4;5;10;1 858
12 - Chaudière-Appalaches;99;121;120;17 295
13 - Laval;88;62;57;30 062
14 - Lanaudière;35;33;34;23 215
15 - Laurentides;32;36;60;19 955
16 - Montérégie;116;83;88;48 764
17 - Nunavik;0;0;-1;46
18 - Terres-Cries-de-la-Baie-James;0;0;0;119
Hors Québec;1;2;4;368
Région à déterminer;0;0;0;3
Total;798;797;915;354 390
