Date;Nouveaux cas;Cumulatif de cas;
2020-02-25;1;1;
2020-02-26;0;1;
2020-02-27;0;1;
2020-02-28;0;1;
2020-02-29;0;1;
2020-03-01;1;2;
2020-03-02;2;4;
2020-03-03;0;4;
2020-03-04;0;4;
2020-03-05;0;4;
2020-03-06;0;4;
2020-03-07;0;4;
2020-03-08;1;5;
2020-03-09;1;6;
2020-03-10;2;8;
2020-03-11;3;11;
2020-03-12;3;14;
2020-03-13;2;16;
2020-03-14;5;21;
2020-03-15;6;27;
2020-03-16;5;32;
2020-03-17;7;39;
2020-03-18;6;45;
2020-03-19;36;81;
2020-03-20;49;130;
2020-03-21;91;221;
2020-03-22;88;309;
2020-03-23;132;441;
2020-03-24;145;586;
2020-03-25;184;770;
2020-03-26;179;949;
2020-03-27;239;1188;
2020-03-28;198;1386;
2020-03-29;258;1644;
2020-03-30;264;1908;
2020-03-31;330;2238;
2020-04-01;303;2541;
2020-04-02;408;2949;
2020-04-03;347;3296;
2020-04-04;340;3636;
2020-04-05;258;3894;
2020-04-06;455;4349;
2020-04-07;421;4770;
2020-04-08;372;5142;
2020-04-09;350;5492;
2020-04-10;305;5797;
2020-04-11;261;6058;
2020-04-12;328;6386;
2020-04-13;542;6928;
2020-04-14;468;7396;
2020-04-15;612;8008;
2020-04-16;496;8504;
2020-04-17;570;9074;
2020-04-18;330;9404;
2020-04-19;428;9832;
2020-04-20;480;10312;
2020-04-21;456;10768;
2020-04-22;529;11297;
2020-04-23;526;11823;
2020-04-24;491;12314;
2020-04-25;312;12626;
2020-04-26;282;12908;
2020-04-27;461;13369;
2020-04-28;470;13839;
2020-04-29;517;14356;
2020-04-30;588;14944;
2020-05-01;612;15556;
2020-05-02;525;16081;
2020-05-03;345;16426;
2020-05-04;419;16845;
2020-05-05;467;17312;
2020-05-06;569;17881;
2020-05-07;429;18310;
2020-05-08;427;18737;
2020-05-09;312;19049;
2020-05-10;297;19346;
2020-05-11;363;19709;
2020-05-12;426;20135;
2020-05-13;400;20535;
2020-05-14;353;20888;
2020-05-15;344;21232;
2020-05-16;271;21503;
2020-05-17;342;21845;
2020-05-18;331;22176;
2020-05-19;319;22495;
2020-05-20;405;22900;
2020-05-21;377;23277;
2020-05-22;257;23534;
2020-05-23;216;23750;
2020-05-24;216;23966;
2020-05-25;203;24169;
2020-05-26;240;24409;
2020-05-27;252;24661;
2020-05-28;193;24854;
2020-05-29;192;25046;
2020-05-30;205;25251;
2020-05-31;140;25391;
2020-06-01;155;25546;
2020-06-02;97;25643;
2020-06-03;114;25757;
2020-06-04;126;25883;
2020-06-05;109;25992;
2020-06-06;105;26097;
2020-06-07;75;26172;
2020-06-08;51;26223;
2020-06-09;78;26301;
2020-06-10;67;26368;
2020-06-11;66;26434;
2020-06-12;72;26506;
2020-06-13;66;26572;
2020-06-14;28;26600;
2020-06-15;56;26656;
2020-06-16;74;26730;
2020-06-17;53;26783;
2020-06-18;48;26831;
2020-06-19;64;26895;
2020-06-20;33;26928;
2020-06-21;27;26955;
2020-06-22;41;26996;
2020-06-23;40;27036;
2020-06-24;29;27065;
2020-06-25;45;27110;
2020-06-26;42;27152;
2020-06-27;30;27182;
2020-06-28;18;27200;
2020-06-29;16;27216;
2020-06-30;39;27255;
2020-07-01;24;27279;
2020-07-02;16;27295;
2020-07-03;17;27312;
2020-07-04;16;27328;
2020-07-05;7;27335;
2020-07-06;16;27351;
2020-07-07;21;27372;
2020-07-08;33;27405;
2020-07-09;52;27457;
2020-07-10;48;27505;
2020-07-11;22;27527;
2020-07-12;13;27540;
2020-07-13;75;27615;
2020-07-14;64;27679;
2020-07-15;69;27748;
2020-07-16;66;27814;
2020-07-17;99;27913;
2020-07-18;97;28010;
2020-07-19;55;28065;
2020-07-20;37;28102;
2020-07-21;62;28164;
2020-07-22;78;28242;
2020-07-23;94;28336;
2020-07-24;69;28405;
2020-07-25;34;28439;
2020-07-26;52;28491;
2020-07-27;33;28524;
2020-07-28;37;28561;
2020-07-29;69;28630;
2020-07-30;58;28688;
2020-07-31;57;28745;
2020-08-01;50;28795;
2020-08-02;31;28826;
2020-08-03;45;28871;
2020-08-04;65;28936;
2020-08-05;46;28982;
2020-08-06;21;29003;
2020-08-07;46;29049;
2020-08-08;35;29084;
2020-08-09;37;29121;
2020-08-10;34;29155;
2020-08-11;36;29191;
2020-08-12;35;29226;
2020-08-13;38;29264;
2020-08-14;30;29294;
2020-08-15;14;29308;
2020-08-16;12;29320;
2020-08-17;17;29337;
2020-08-18;17;29354;
2020-08-19;22;29376;
2020-08-20;34;29410;
2020-08-21;32;29442;
2020-08-22;19;29461;
2020-08-23;21;29482;
2020-08-24;8;29490;
2020-08-25;29;29519;
2020-08-26;41;29560;
2020-08-27;43;29603;
2020-08-28;25;29628;
2020-08-29;54;29682;
2020-08-30;14;29696;
2020-08-31;32;29728;
2020-09-01;36;29764;
2020-09-02;36;29800;
2020-09-03;72;29872;
2020-09-04;49;29921;
2020-09-05;63;29984;
2020-09-06;57;30041;
2020-09-07;50;30091;
2020-09-08;71;30162;
2020-09-09;70;30232;
2020-09-10;90;30322;
2020-09-11;108;30430;
2020-09-12;71;30501;
2020-09-13;98;30599;
2020-09-14;71;30670;
2020-09-15;93;30763;
2020-09-16;79;30842;
2020-09-17;70;30912;
2020-09-18;198;31110;
2020-09-19;141;31251;
2020-09-20;201;31452;
2020-09-21;140;31592;
2020-09-22;168;31760;
2020-09-23;254;32014;
2020-09-24;235;32249;
2020-09-25;286;32535;
2020-09-26;352;32887;
2020-09-27;274;33161;
2020-09-28;281;33442;
2020-09-29;355;33797;
2020-09-30;317;34114;
2020-10-01;312;34426;
2020-10-02;416;34842;
2020-10-03;365;35207;
2020-10-04;298;35505;
2020-10-05;277;35782;
2020-10-06;254;36036;
2020-10-07;301;36337;
2020-10-08;346;36683;
2020-10-09;284;36967;
2020-10-10;194;37161;
2020-10-11;325;37486;
2020-10-12;268;37754;
2020-10-13;201;37955;
