No,RSS,CH,CHSLD,Domicile et Inconnu,RI,RPA,Autre,Décès (n),Décès (%)
01,01 - Bas-Saint-Laurent,3,8,15,4,9,0,39,0.4 %
02,02 - Saguenay-Lac-Saint-Jean,0,94,75,4,85,8,266,2.4 %
03,03 - Capitale-Nationale,3,517,197,31,320,26,1094,10.0 %
04,04 - Mauricie et Centre-du-Québec,6,151,227,21,103,5,513,4.7 %
05,05 - Estrie,3,125,67,17,110,12,334,3.0 %
06,06 - Montréal,202,2730,867,133,682,74,4688,42.7 %
07,07 - Outaouais,11,76,55,14,46,3,205,1.9 %
08,08 - Abitibi-Témiscamingue,0,0,8,0,1,0,9,0.1 %
09,09 - Côte-Nord,0,0,3,0,0,0,3,0.0 %
10,10 - Nord-du-Québec,0,0,0,0,0,0,0,0.0 %
11,11 - Gaspésie-Îles-de-la-Madeleine,0,15,17,0,13,0,45,0.4 %
12,12 - Chaudière-Appalaches,5,116,86,6,112,5,330,3.0 %
13,13 - Laval,2,509,150,53,184,5,903,8.2 %
14,14 - Lanaudière,3,249,125,12,118,3,510,4.6 %
15,15 - Laurentides,64,177,113,50,81,14,499,4.5 %
16,16 - Montérégie,15,615,378,61,462,9,1540,14.0 %
17,17 - Nunavik,0,0,0,0,0,0,0,0.0 %
18,18 - Terres-Cries-de-la-Baie-James,0,0,2,0,0,1,3,0.0 %
98,Inconnu,0,0,0,0,0,0,0,0.0 %
99,Hors Québec,0,0,0,0,0,0,0,0.0 %
999,Ensemble du Québec (n),317,5382,2385,406,2326,165,10981,
9999,Ensemble du Québec (%),2.9 %,49.0 %,21.7 %,3.7 %,21.2 %,1.5 %,.,100.0 %

