Régions sociosanitaires;2021-05-16;2021-05-17;2021-05-18;2021-05-19;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;25;25;20;18;3 785
02 - Saguenay – Lac-Saint-Jean;28;8;20;35;10 732
03 - Capitale-Nationale;18;28;38;32;32 336
04 - Mauricie-et-Centre-du-Québec;25;30;27;38;14 905
05 - Estrie;29;43;43;53;14 296
06 - Montréal;189;173;162;193;129 599
07 - Outaouais;19;26;25;21;11 929
08 - Abitibi-Témiscamingue;0;0;1;1;1 109
09 - Côte-Nord;6;0;0;1;567
10 - Nord-du-Québec;0;0;0;3;105
11 - Gaspésie – Îles-de-la-Madeleine;3;7;11;20;1 978
12 - Chaudière-Appalaches;50;65;45;61;18 543
13 - Laval;43;52;46;44;30 908
14 - Lanaudière;29;15;18;26;23 607
15 - Laurentides;21;28;36;49;20 505
16 - Montérégie;63;54;92;64;50 169
17 - Nunavik;0;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;-1;0;0;119
Hors Québec;3;2;0;3;400
Région à déterminer;0;-6;0;0;3
Total;551;549;584;662;365 642
