Régions sociosanitaires;2021-05-30;2021-05-31;2021-06-01;2021-06-02;2021-06-03;2021-06-04;2021-06-05;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;6;3;4;1;11;3;-1;3 924
02 - Saguenay – Lac-Saint-Jean;7;5;17;10;21;11;9;10 969
03 - Capitale-Nationale;16;9;15;14;9;12;10;32 647
04 - Mauricie-et-Centre-du-Québec;3;9;9;9;8;11;5;15 120
05 - Estrie;20;28;16;6;14;7;17;14 791
06 - Montréal;79;35;99;100;89;66;57;131 619
07 - Outaouais;16;18;8;6;11;11;12;12 267
08 - Abitibi-Témiscamingue;0;1;0;0;2;1;4;1 121
09 - Côte-Nord;0;0;1;0;0;0;0;572
10 - Nord-du-Québec;0;0;0;0;0;0;0;109
11 - Gaspésie – Îles-de-la-Madeleine;3;2;0;0;1;1;0;2 021
12 - Chaudière-Appalaches;31;28;28;27;34;38;20;19 072
13 - Laval;17;11;20;18;20;15;13;31 314
14 - Lanaudière;9;14;15;10;6;7;4;23 832
15 - Laurentides;13;11;26;12;12;14;8;20 834
16 - Montérégie;56;34;27;45;37;29;19;50 940
17 - Nunavik;0;0;0;0;0;0;0;47
18 - Terres-Cries-de-la-Baie-James;0;0;0;0;0;0;0;119
Hors Québec;0;0;3;9;4;2;2;446
Région à déterminer;0;0;0;0;0;0;0;3
Total;276;208;288;267;279;228;179;371 767
