Régions sociosanitaires;2021-06-06;Total des cas confirmés depuis le début de la pandémie
01 - Bas-Saint-Laurent;3;3 927
02 - Saguenay – Lac-Saint-Jean;10;10 979
03 - Capitale-Nationale;6;32 653
04 - Mauricie-et-Centre-du-Québec;10;15 130
05 - Estrie;15;14 806
06 - Montréal;66;131 685
07 - Outaouais;16;12 283
08 - Abitibi-Témiscamingue;9;1 130
09 - Côte-Nord;0;572
10 - Nord-du-Québec;0;109
11 - Gaspésie – Îles-de-la-Madeleine;3;2 024
12 - Chaudière-Appalaches;11;19 083
13 - Laval;9;31 323
14 - Lanaudière;4;23 836
15 - Laurentides;5;20 839
16 - Montérégie;26;50 966
17 - Nunavik;0;47
18 - Terres-Cries-de-la-Baie-James;0;119
Hors Québec;0;446
Région à déterminer;0;3
Total;193;371 960
